id,name,plugin1,plugin2,plugin3,plugin4,plugin5,plugin6
5299,plexi*dly*,Stomp,Amp,Delay,None,None,None
5300,HB*Boston3,Filter_EQ,Amp,Filter_EQ,None,None,None
5301,_Clean****,Dynamics,Filter_EQ,Dynamics,None,None,None
5303,_2tone****,Stomp,Delay,Amp,None,None,None
5304,Numb______,Stomp,Delay,Amp,None,None,None
5307,_Ethereal,Filter_EQ,Amp,Delay,None,None,None
5347,The*Solo**,Reverb,Dynamics,Combination Fx,None,None,None
5350,AC*DC*****,Dynamics,Amp,Reverb,None,None,None
5352,M1*Thom***,Modulation,Amp,Dynamics,None,None,None
5355,Slash*****,Dynamics,Stomp,Amp,None,None,None
5357,ACDC******,Delay,Amp,Reverb,None,None,None
5358,DearPruden,Amp,Modulation,Delay,None,None,None
5359,PaganBaby*,Amp,Reverb,Pedal Fx,None,None,None
5360,WalkOnWate,Amp,Reverb,Pedal Fx,None,None,None
5367,Clean,Dynamics,Combination Fx,Filter_EQ,None,None,None
5368,solo*4*b*,Filter_EQ,Stomp,Combination Fx,None,None,None
5371,Blues*****,Filter_EQ,Amp,Reverb,None,None,None
5372,Money4Noth,Dynamics,Amp,Reverb,None,None,None
5375,Blvd*of*BD,Amp,Stomp,Modulation,None,None,None
5381,Lightning*,Stomp,Modulation,Amp,None,None,None
5398,WickedGame,Amp,Reverb,Delay,None,None,None
5401,JoanJett**,Dynamics,Amp,Reverb,None,None,None
5402,Get*Back**,Amp,Reverb,Pedal Fx,None,None,None
5424,AC-Solo,Amp,Filter_EQ,Pedal Fx,None,None,None
5429,Djent*****,Stomp,Filter_EQ,Modulation,None,None,None
5431,Shredding,Stomp,Amp,Reverb,None,None,None
5435,REM*******,Delay,Combination Fx,Combination Fx,None,None,None
5438,Rocking,Stomp,Modulation,Dynamics,None,None,None
5453,barracuda*,Amp,Reverb,Modulation,None,None,None
5475,Djent*****,Dynamics,Stomp,Filter_EQ,None,None,None
5476,Petrucci**,Amp,Stomp,Filter_EQ,None,None,None
5478,11Th*HOUR*,Amp,Dynamics,Combination Fx,None,None,None
5481,HB*eVh****,Modulation,Amp,Delay,None,None,None
5482,DZ*DRIVE**,Reverb,Dynamics,Reverb,None,None,None
5485,TeleLead**,Dynamics,Amp,Filter_EQ,None,None,None
5487,JIMI*FUZZ*,Stomp,SFX,Reverb,None,None,None
5655,Slash*****,Filter_EQ,Amp,Combination Fx,None,None,None
5671,HBChevelle,Dynamics,Amp,Filter_EQ,None,None,None
5695,Wylde*****,Stomp,Amp,Modulation,None,None,None
5696,Foo*Fight*,Stomp,Amp,Dynamics,None,None,None
5703,Bush******,Stomp,Amp,Dynamics,None,None,None
5705,Clapton***,Stomp,Amp,Dynamics,None,None,None
5730,LonnieMack,SFX,Amp,Modulation,None,None,None
5731,RGallagher,Amp,Stomp,Dynamics,None,None,None
5732,RGallagh*2,Amp,Dynamics,Dynamics,None,None,None
5734,TheShadows,Modulation,Filter_EQ,Dynamics,None,None,None
5735,TheShadow2,Delay,Delay,Pedal Fx,None,None,None
5740,_fuzzy****,Dynamics,Stomp,Modulation,None,None,None
5743,Metallica*,Stomp,Amp,Filter_EQ,None,None,None
5751,Via-FTLOG*,Modulation,Amp,Combination Fx,None,None,None
5756,ComBkLifeI,Amp,Delay,Combination Fx,None,None,None
5757,ComBkLfe2a,Amp,Filter_EQ,Modulation,None,None,None
5760,Sidewalk**,Amp,Modulation,Reverb,None,None,None
5763,Cowboys***,Amp,Reverb,Filter_EQ,None,None,None
5765,LaGngClean,Amp,Filter_EQ,Amp,None,None,None
5768,LaGrngHumB,Reverb,Filter_EQ,Modulation,None,None,None
5815,OldSmith**,Dynamics,Amp,Dynamics,None,None,None
5832,Twin*Set**,Dynamics,Amp,Reverb,None,None,None
5849,SLaYeR****,Dynamics,Stomp,Amp,None,None,None
5853,StHillage*,Stomp,Delay,Modulation,None,None,None
5875,GILMOUR***,Amp,Modulation,Delay,None,None,None
5877,Gary*Moore,Amp,Reverb,Dynamics,None,None,None
5878,Healing***,Amp,Combination Fx,Amp,None,None,None
5891,ZKUN*Drive,Dynamics,Amp,Reverb,None,None,None
5892,LowMansLyr,Amp,Modulation,Reverb,None,None,None
5893,Fuel******,Dynamics,Stomp,Amp,None,None,None
5938,Smells****,Dynamics,Amp,Pedal Fx,None,None,None
5939,Cowboys***,Dynamics,Reverb,Reverb,None,None,None
5940,master*of*,Reverb,Combination Fx,Dynamics,None,None,None
5991,DIME*LIKE*,Filter_EQ,Amp,Filter_EQ,None,None,None
6026,PERSIANA**,Amp,Modulation,Combination Fx,None,None,None
6070,AH*Clean**,Amp,Amp,Delay,Delay,Delay,Delay
6071,AH*lead1**,Stomp,Amp,Dynamics,Filter_EQ,Delay,Delay
6072,AH*lead2**,Stomp,Filter_EQ,Amp,Dynamics,Delay,Delay
6075,SLO*SHIM**,Modulation,Dynamics,Delay,Delay,Delay,Combination Fx
6076,LEAD*SHIM*,Amp,Dynamics,Modulation,Delay,Delay,Combination Fx
6150,SweetChild,Filter_EQ,Stomp,Amp,Dynamics,Reverb,Reverb
6168,SURVIVOR,Stomp,Dynamics,Modulation,None,None,None
6170,0LA*Beybe*,Dynamics,Stomp,Stomp,Filter_EQ,Dynamics,Amp
6176,HBRecharge,Dynamics,Stomp,Amp,Modulation,Reverb,None
6177,TeenSpirit,Stomp,Amp,Modulation,Dynamics,Reverb,Reverb
6209,Petrucci,Dynamics,Modulation,Stomp,Amp,Filter_EQ,Reverb
6210,JP-Clean,Dynamics,Stomp,Modulation,Filter_EQ,Delay,Reverb
6230,TimeHsCome,Dynamics,Stomp,Stomp,Amp,Delay,Reverb
6232,Hossana***,Dynamics,Stomp,Amp,Delay,Delay,Reverb
6233,Strings***,Amp,Dynamics,Delay,Delay,Combination Fx,None
6234,POP*PUNK**,Dynamics,Stomp,Amp,Modulation,Dynamics,Reverb
6259,Randy*****,Dynamics,Stomp,Modulation,Amp,Reverb,None
6261,Rock******,Modulation,Amp,Dynamics,None,None,None
6262,Clean*****,Stomp,Delay,Reverb,Filter_EQ,Modulation,None
6275,U2*where4*,Amp,Dynamics,Modulation,Amp,Delay,Delay
6276,U2*still2*,Dynamics,Amp,Amp,Modulation,Delay,Delay
6277,U2*pride**,Amp,Dynamics,Modulation,Amp,Delay,Delay
6278,U2*with4**,Amp,Dynamics,Amp,Delay,Delay,Reverb
6280,U2*Bad****,Amp,Dynamics,Amp,Delay,Delay,Reverb
6281,U2*Myst***,Combination Fx,Filter_EQ,Stomp,Dynamics,Amp,Delay
6287,PF*Shine4*,Dynamics,Combination Fx,Amp,Amp,Delay,Reverb
6288,PF*Shine3*,Combination Fx,Dynamics,Amp,Amp,Delay,Reverb
6289,PF*Anothe2,Amp,Dynamics,Modulation,Amp,Delay,Reverb
6291,PF*Echoes*,Dynamics,Amp,Stomp,Amp,Delay,Reverb
6292,Samba*Pati,Amp,Modulation,Dynamics,Amp,Amp,Delay
6293,Europa****,Amp,Modulation,Dynamics,Amp,Amp,Delay
6341,Ambassador,Stomp,Delay,Amp,Modulation,Modulation,Dynamics
6342,Acoustic**,Reverb,Stomp,Dynamics,Reverb,Filter_EQ,Stomp
6344,Slash*SCOM,Stomp,Amp,Reverb,Dynamics,Reverb,Dynamics
6345,Maiden****,Dynamics,Modulation,Amp,Reverb,None,None
6350,Surf******,Reverb,Amp,Delay,None,None,None
