id,name,plugin1,plugin2,plugin3,plugin4,plugin5,plugin6
5299,plexi*dly*,2,3,6,10,10,10
5300,HB*Boston3,1,3,1,10,10,10
5301,_Clean****,0,1,0,10,10,10
5303,_2tone****,2,6,3,10,10,10
5307,_Ethereal,1,3,6,10,10,10
5347,The*Solo**,7,0,8,10,10,10
5350,AC*DC*****,0,3,7,10,10,10
5352,M1*Thom***,4,3,0,10,10,10
5355,Slash*****,0,2,3,10,10,10
5357,ACDC******,6,3,7,10,10,10
5358,DearPruden,3,4,6,10,10,10
5359,PaganBaby*,3,7,9,10,10,10
5367,Clean,0,8,1,10,10,10
5368,solo*4*b*,1,2,8,10,10,10
5371,Blues*****,1,3,7,10,10,10
5375,Blvd*of*BD,3,2,4,10,10,10
5381,Lightning*,2,4,3,10,10,10
5398,WickedGame,3,7,6,10,10,10
5424,AC-Solo,3,1,9,10,10,10
5429,Djent*****,2,1,4,10,10,10
5431,Shredding,2,3,7,10,10,10
5435,REM*******,6,8,8,10,10,10
5438,Rocking,2,4,0,10,10,10
5453,barracuda*,3,7,4,10,10,10
5475,Djent*****,0,2,1,10,10,10
5476,Petrucci**,3,2,1,10,10,10
5478,11Th*HOUR*,3,0,8,10,10,10
5481,HB*eVh****,4,3,6,10,10,10
5482,DZ*DRIVE**,7,0,7,10,10,10
5485,TeleLead**,0,3,1,10,10,10
5487,JIMI*FUZZ*,2,5,7,10,10,10
5655,Slash*****,1,3,8,10,10,10
5695,Wylde*****,2,3,4,10,10,10
5696,Foo*Fight*,2,3,0,10,10,10
5730,LonnieMack,5,3,4,10,10,10
5731,RGallagher,3,2,0,10,10,10
5732,RGallagh*2,3,0,0,10,10,10
5734,TheShadows,4,1,0,10,10,10
5735,TheShadow2,6,6,9,10,10,10
5740,_fuzzy****,0,2,4,10,10,10
5743,Metallica*,2,3,1,10,10,10
5751,Via-FTLOG*,4,3,8,10,10,10
5756,ComBkLifeI,3,6,8,10,10,10
5757,ComBkLfe2a,3,1,4,10,10,10
5760,Sidewalk**,3,4,7,10,10,10
5763,Cowboys***,3,7,1,10,10,10
5765,LaGngClean,3,1,3,10,10,10
5768,LaGrngHumB,7,1,4,10,10,10
5815,OldSmith**,0,3,0,10,10,10
5853,StHillage*,2,6,4,10,10,10
5877,Gary*Moore,3,7,0,10,10,10
5878,Healing***,3,8,3,10,10,10
5938,Smells****,0,3,9,10,10,10
5939,Cowboys***,0,7,7,10,10,10
5940,master*of*,7,8,0,10,10,10
6026,PERSIANA**,3,4,8,10,10,10
6070,AH*Clean**,3,3,6,6,6,6
6071,AH*lead1**,2,3,0,1,6,6
6072,AH*lead2**,2,1,3,0,6,6
6075,SLO*SHIM**,4,0,6,6,6,8
6076,LEAD*SHIM*,3,0,4,6,6,8
6150,SweetChild,1,2,3,0,7,7
6168,SURVIVOR,2,0,4,10,10,10
6170,0LA*Beybe*,0,2,2,1,0,3
6176,HBRecharge,0,2,3,4,7,10
6177,TeenSpirit,2,3,4,0,7,7
6209,Petrucci,0,4,2,3,1,7
6210,JP-Clean,0,2,4,1,6,7
6230,TimeHsCome,0,2,2,3,6,7
6232,Hossana***,0,2,3,6,6,7
6233,Strings***,3,0,6,6,8,10
6234,POP*PUNK**,0,2,3,4,0,7
6259,Randy*****,0,2,4,3,7,10
6262,Clean*****,2,6,7,1,4,10
6275,U2*where4*,3,0,4,3,6,6
6276,U2*still2*,0,3,3,4,6,6
6278,U2*with4**,3,0,3,6,6,7
6281,U2*Myst***,8,1,2,0,3,6
6287,PF*Shine4*,0,8,3,3,6,7
6288,PF*Shine3*,8,0,3,3,6,7
6289,PF*Anothe2,3,0,4,3,6,7
6291,PF*Echoes*,0,3,2,3,6,7
6292,Samba*Pati,3,4,0,3,3,6
6341,Ambassador,2,6,3,4,4,0
6342,Acoustic**,7,2,0,7,1,2
6344,Slash*SCOM,2,3,7,0,7,0
6345,Maiden****,0,4,3,7,10,10
6350,Surf******,7,3,6,10,10,10
6352,CL-E.Br.U*,0,8,1,6,7,7
6361,My*Hendrix,0,4,1,3,7,7
6380,Surf*3****,0,4,3,6,4,7
6381,*ENGL*BG**,0,3,6,7,2,10
6389,Drive*****,3,0,2,2,0,4
6413,POP*PUNK**,0,2,3,0,6,7
6440,Gilmour***,2,2,3,4,6,10
6451,Clean*****,0,0,6,7,6,10
6452,Juan******,0,3,4,6,7,4
6453,Creepy****,0,0,4,3,6,7
6454,Clean*2***,0,0,3,4,4,10
6455,Funk******,0,0,3,7,10,10
6458,BrownSugar,0,3,6,7,4,7
6459,*ENGL*BG**,0,4,3,6,7,1
6460,EVH.Old***,0,3,1,4,6,7
6490,Us*&*them*,0,3,3,4,6,7
6491,Breath*2**,8,3,3,6,8,7
6492,Try*******,2,2,3,4,6,8
6493,Sweet2Disp,0,3,4,3,6,7
6497,VX*CRUNCH*,0,0,3,10,10,10
6498,VX*SOLO***,0,3,3,1,6,10
6500,FEND*SOLO*,0,2,3,6,10,10
6573,FaitNoMore,0,7,7,3,10,10
6575,WhaleRocea,4,8,0,3,8,7
6576,DelayRocea,0,4,8,3,8,7
6577,Delay0ocea,0,5,8,3,7,7
6578,BeatleHARD,0,3,7,7,1,10
6579,OD*02*Hi**,0,2,1,1,7,7
6582,DS+*01****,0,2,1,1,7,4
6584,BeatleSOFT,0,0,3,7,1,2
6585,BOOWY*CLN*,1,0,6,4,7,10
6586,BOOWY*OD2*,2,2,0,1,7,10
6587,BOOWY*DIST,2,0,1,4,7,7
6588,BOOWY*ER**,2,0,7,7,7,7
6591,Gasoline,0,4,4,4,4,3
6592,DS+*ZEP***,9,0,2,1,1,7
6610,BOOWY*****,0,0,2,1,4,7
6634,sntrium*c*,8,8,0,9,10,10
6679,LaGngClean,2,2,3,1,7,10
6680,LaGrngHumB,3,1,7,10,10,10
6694,PinkSintro,3,0,1,0,6,8
6696,gReNN*dayY,1,0,3,4,7,10
6702,*may*roam*,3,8,8,0,9,0
6710,WAH*BGN***,9,2,1,0,6,7
6717,Metal*test,7,4,1,0,0,3
6718,Comf*Numb1,2,2,1,6,3,0
6719,PF*Shine**,0,0,2,3,6,7
6730,Metalcore*,2,2,0,3,6,2
6734,Slash,1,2,9,3,0,7
6738,Clean*Kirk,0,4,6,8,10,10
6740,Joe*Sat,0,0,3,4,6,7
6742,WAH*BGN***,0,3,4,6,7,10
6743,Metal*Solo,2,3,0,6,10,10
6744,C.O.B*****,2,2,0,3,2,6
6752,house*off*,0,5,3,8,10,10
6766,Acoustic**,0,2,4,7,7,10
6767,BG*Drive**,0,2,3,1,6,7
6776,.Vultures,0,4,0,2,1,4
6776,.Flog,0,1,2,1,1,10
6776,.AC*life,1,4,6,7,10,10
6776,.Aural,0,1,1,10,10,10
6776,.Butter,0,3,1,6,7,10
6776,.Cement,2,6,1,7,10,10
6776,.Costra,4,0,3,1,4,10
6776,.Floats,3,1,6,6,7,10
6776,.Grind*hs,2,0,3,1,4,10
6776,.Hacking,2,0,3,1,4,6
6776,.Leading,0,2,1,4,6,7
6776,.Mayflute,0,9,0,2,7,10
6776,.Over*Me,1,4,6,10,10,10
6776,.Snap,4,3,1,4,6,7
6776,.Thisway,4,1,6,6,7,10
6776,.Under*it,0,0,2,1,4,6
6776,80sWet,0,2,1,4,6,10
6776,Alien*CL,0,2,1,1,7,10
6776,Angra,0,0,3,1,6,10
6776,Bossa,0,2,1,7,10,10
6776,CharaDve,0,0,3,1,10,10
6776,ClasEcho,2,0,3,1,6,7
6776,ClassicD,2,0,3,1,7,10
6776,Cmajor,2,0,3,4,7,10
6776,CryLead,9,0,2,1,1,10
6776,Delta*B,0,3,1,7,10,10
6776,Dynamic,0,3,1,6,10,10
6776,EarlySlp,0,1,4,6,7,10
6776,EZ*Lead,2,0,3,1,6,10
6776,FilterLd,0,2,1,1,6,10
6776,FusionCl,0,1,4,6,10,10
6776,HeadHunt,0,1,0,1,4,7
6776,LeadCho,0,3,1,4,6,10
6776,Low4th,0,2,1,4,10,10
6776,MoogWay,1,0,3,1,6,7
6776,MultiTap,0,0,1,6,10,10
6776,Muppets,0,0,2,1,10,10
6776,NoAttack,0,0,0,1,6,10
6776,OctUp,0,2,1,4,7,10
6776,Octavia,4,0,3,1,10,10
6776,OldJazz,0,1,7,10,10,10
6776,PhaseCL,0,1,4,7,10,10
6776,PhaseCR,0,3,1,4,7,10
6776,RingLead,4,0,3,1,6,7
6776,Sonhos,0,0,4,6,7,10
6776,SprinTap,0,0,1,7,10,10
6776,Swell,0,0,1,4,6,7
6776,Taj,0,4,6,10,10,10
6776,TapClean,0,0,1,4,7,10
6776,Train,4,0,2,1,7,10
6776,Zawi,0,0,3,1,6,7
6787,TomMorello,0,9,2,3,6,6
6788,Acustic***,2,4,1,6,7,0
6806,BassGuitar,4,1,3,0,4,4
6819,Rammstein1,4,0,3,1,1,4
6824,JoesatTone,9,0,3,6,6,7
6825,Shimmer***,0,5,4,7,4,7
6826,Luv*n*H8*C,0,3,4,7,10,10
6827,La*Luna***,0,9,4,3,0,8
6833,hotelcalif,3,0,7,10,10,10
6835,BitDelay,6,4,4,10,10,10
6842,GroovyBass,4,4,0,4,1,3
6846,rodolfo.*a,0,4,1,3,4,6
6847,Sc00ps**,0,3,1,6,6,7
6847,Chalk***,0,0,3,1,7,6
6847,Wowmen**,0,1,3,1,4,7
6847,Synthish,0,4,3,1,4,7
6847,Grossnes,4,0,2,1,4,7
6847,Juice***,0,3,1,4,10,10
6847,JF*Riff*,2,0,3,1,7,7
6847,JM*Lead*,0,0,3,1,4,7
6847,Cowboy**,2,0,2,1,9,6
6847,Every*BG,0,0,3,1,7,10
6847,SL*Back,0,3,1,7,6,7
6847,MB*Shock,0,2,1,6,7,10
6847,ZZ,0,0,2,1,7,10
6847,RSSitar,1,3,1,4,6,7
6847,EricFuzz,0,2,2,1,6,7
6847,Wet*Head,0,1,1,4,6,7
6847,Wackjob,0,9,0,1,4,7
6847,Dreamdrg,0,0,0,4,6,7
6847,Milkyway,0,2,1,1,6,7
6847,Waves,0,3,1,4,6,6
6847,RAT,0,2,1,6,10,10
6847,Z*CLEAN,0,0,3,1,4,6
6847,Auto*Wah,1,0,1,10,10,10
6847,PDLPitch,0,2,9,6,10,10
6847,TapeEcho,0,3,6,10,10,10
6847,PP*Delay,0,1,6,10,10,10
6879,berlin****,0,0,7,7,3,10
6903,WAH*BGN***,9,3,0,4,6,7
6903,TREM*FD***,2,4,3,6,10,10
6903,DZ*Bend***,0,9,3,7,10,10
6903,FunkyWah**,9,8,0,3,7,10
6903,MultiMod**,0,3,4,4,6,10
6903,DriveA-Wah,0,1,3,7,10,10
6903,Taste-AC**,0,0,2,4,7,7
6903,GoodFuzz**,2,3,7,0,10,10
6903,Jazz******,0,4,3,6,10,10
6903,Fripper***,2,0,3,6,7,10
6903,Horn******,0,3,1,7,7,10
6903,Clean*FLNG,0,0,4,3,7,10
6903,DST&VIBRO*,0,9,2,3,7,10
6903,Fast*Filt*,0,0,1,3,6,7
6903,CRY&BLUES*,9,0,3,7,10,10
6903,BoostCity*,9,2,3,0,7,10
6903,Heaven****,0,1,3,4,6,7
6903,StereoFunk,0,1,1,7,10,10
6903,Tele*ClnRW,0,1,4,10,10,10
6903,410BlsSolo,3,0,7,6,10,10
6903,Str*Cln*LD,0,1,4,8,10,10
6903,Washed*Out,3,8,0,10,10,10
6903,BigFatFlng,0,8,3,10,10,10
6903,Fool*Frnds,0,1,2,7,10,10
6903,MatchVibe*,2,3,4,6,7,10
6903,Revolving*,2,3,6,7,10,10
6903,ValleyRock,4,2,3,6,7,10
6903,IndieDrive,9,2,3,6,6,10
6903,MetallicCh,0,9,3,8,10,10
6903,Enfermo***,0,2,3,7,10,10
6903,7*mirrors*,0,0,3,4,6,6
6903,HolyShift*,3,4,6,7,10,10
6903,Honeydrip*,0,2,6,10,10,10
6903,It's*Alive,5,2,6,1,10,10
6903,Tropicana*,1,2,3,0,7,10
6903,Thrash*Em*,2,3,0,7,10,10
6903,Solottery*,0,2,6,3,10,10
6903,Creeper***,8,0,3,7,10,10
6903,Heavy*D***,3,3,0,10,10,10
6903,Wood******,2,1,0,0,3,10
6903,XtremeWah*,1,2,6,0,0,10
6903,HeavyMedal,2,1,0,10,10,10
6903,MetaSynCor,2,1,5,4,6,0
6903,StackedUp*,3,6,7,4,0,0
6903,AngelFaze*,2,8,6,7,10,10
6903,MrGovenor*,2,1,6,7,0,10
6903,PitchedOut,3,1,4,4,4,0
6903,Open*Wah!*,1,0,1,8,10,10
6903,CrunchCore,2,1,4,0,10,10
6903,DreamScape,1,6,0,10,10,10
6903,FD*COMBO**,9,0,7,3,7,10
6903,DELUXE-R**,2,3,7,6,7,10
6903,FD*VIBRO**,4,3,7,7,10,10
6903,US*BLUES**,3,7,6,7,10,10
6903,VX*COMBO**,3,7,4,7,10,10
6903,VX*JMI****,2,3,0,7,7,6
6903,BG*CRUNCH*,3,0,7,6,7,10
6903,MATCH30***,9,3,0,7,10,10
6903,CAR*DRIVE*,9,3,0,7,7,10
6903,TONE*CITY*,3,0,4,7,10,10
6903,HW*STACK**,3,0,7,7,10,10
6903,TANGERINE*,4,3,0,7,7,10
6903,MS*CRUNCH*,2,3,0,7,6,7
6903,MS1959****,4,3,0,6,7,10
6903,MS*DRIVE**,0,3,0,7,7,10
6903,BGN*DRIVE*,3,0,4,6,7,10
6903,ALIEN*****,3,0,6,10,10,10
6903,BrianDL***,0,1,3,6,10,10
6903,Hendrix***,9,2,4,3,10,10
6903,MetalKirk*,9,3,4,7,10,10
6903,Beatle*AC*,0,3,7,7,10,10
6903,J.Page****,9,2,3,7,10,10
6903,Mr.Moore**,0,2,3,6,7,10
6903,JazzFusion,0,3,4,6,10,10
6903,Step*Chord,0,1,3,4,7,10
6903,Theremin**,5,3,6,7,10,10
6903,Atom******,0,3,6,4,7,10
