id,name,plugin1,plugin2,plugin3,plugin4,plugin5,plugin6
5301,_Clean****,3.0,9.0,7.0,55.0,55.0,55.0
5350,AC*DC*****,7.0,52.0,24.0,55.0,55.0,55.0
5358,DearPruden,47.0,14.0,21.0,55.0,55.0,55.0
5359,PaganBaby*,50.0,27.0,30.0,55.0,55.0,55.0
5360,WalkOnWate,47.0,27.0,30.0,55.0,55.0,55.0
5371,Blues*****,9.0,48.0,25.0,55.0,55.0,55.0
5372,Money4Noth,7.0,52.0,28.0,55.0,55.0,55.0
5424,AC-Solo,42.0,9.0,30.0,55.0,55.0,55.0
5431,Shredding,34.0,52.0,29.0,55.0,55.0,55.0
5475,Djent*****,7.0,41.0,9.0,55.0,55.0,55.0
5476,Petrucci**,53.0,33.0,9.0,55.0,55.0,55.0
5482,DZ*DRIVE**,54.0,7.0,25.0,55.0,55.0,55.0
5695,Wylde*****,34.0,52.0,14.0,55.0,55.0,55.0
5696,Foo*Fight*,33.0,50.0,3.0,55.0,55.0,55.0
5732,RGallagh*2,47.0,4.0,7.0,55.0,55.0,55.0
5735,TheShadow2,21.0,21.0,30.0,55.0,55.0,55.0
5832,Twin*Set**,5.0,47.0,28.0,55.0,55.0,55.0
5877,Gary*Moore,53.0,24.0,7.0,55.0,55.0,55.0
5891,ZKUN*Drive,7.0,53.0,24.0,55.0,55.0,55.0
5892,LowMansLyr,47.0,18.0,24.0,55.0,55.0,55.0
5893,Fuel******,7.0,34.0,52.0,55.0,55.0,55.0
5938,Smells****,7.0,53.0,30.0,55.0,55.0,55.0
5939,Cowboys***,7.0,54.0,28.0,55.0,55.0,55.0
6070,AH*Clean**,42.0,43.0,21.0,0.0,0.0,0.0
6071,AH*lead1**,32.0,46.0,6.0,9.0,0.0,0.0
6177,TeenSpirit,37.0,46.0,17.0,6.0,25.0,29.0
6209,Petrucci,6.0,12.0,33.0,46.0,8.0,25.0
6210,JP-Clean,2.0,41.0,13.0,8.0,20.0,23.0
6230,TimeHsCome,3.0,34.0,32.0,52.0,19.0,23.0
6232,Hossana***,2.0,34.0,44.0,21.0,22.0,23.0
6259,Randy*****,6.0,33.0,13.0,49.0,24.0,55.0
6261,Rock******,15.0,50.0,6.0,55.0,55.0,55.0
