id,name,plugin1,plugin2,plugin3,plugin4,plugin5,plugin6
5299,plexi*dly*,74.0,102.0,55.0,107.0,107.0,107.0
5300,HB*Boston3,31.0,102.0,33.0,107.0,107.0,107.0
5301,_Clean****,24.0,31.0,28.0,107.0,107.0,107.0
5303,_2tone****,72.0,57.0,96.0,107.0,107.0,107.0
5304,Numb______,81.0,57.0,100.0,107.0,107.0,107.0
5307,_Ethereal,31.0,109.0,59.0,107.0,107.0,107.0
5347,The*Solo**,105.0,28.0,19.0,107.0,107.0,107.0
5350,AC*DC*****,28.0,103.0,61.0,107.0,107.0,107.0
5352,M1*Thom***,8.0,104.0,28.0,107.0,107.0,107.0
5355,Slash*****,24.0,72.0,102.0,107.0,107.0,107.0
5357,ACDC******,55.0,102.0,61.0,107.0,107.0,107.0
5358,DearPruden,96.0,42.0,55.0,107.0,107.0,107.0
5359,PaganBaby*,100.0,64.0,67.0,107.0,107.0,107.0
5360,WalkOnWate,96.0,64.0,67.0,107.0,107.0,107.0
5367,Clean,24.0,19.0,31.0,107.0,107.0,107.0
5368,solo*4*b*,31.0,78.0,17.0,107.0,107.0,107.0
5371,Blues*****,31.0,98.0,62.0,107.0,107.0,107.0
5372,Money4Noth,28.0,103.0,65.0,107.0,107.0,107.0
5375,Blvd*of*BD,108.0,77.0,39.0,107.0,107.0,107.0
5381,Lightning*,72.0,40.0,96.0,107.0,107.0,107.0
5398,WickedGame,96.0,64.0,57.0,107.0,107.0,107.0
5401,JoanJett**,29.0,103.0,61.0,107.0,107.0,107.0
5402,Get*Back**,97.0,64.0,67.0,107.0,107.0,107.0
5424,AC-Solo,86.0,31.0,67.0,107.0,107.0,107.0
5429,Djent*****,81.0,31.0,45.0,107.0,107.0,107.0
5431,Shredding,73.0,103.0,66.0,107.0,107.0,107.0
5435,REM*******,56.0,17.0,19.0,107.0,107.0,107.0
5438,Rocking,73.0,106.0,28.0,107.0,107.0,107.0
5453,barracuda*,101.0,61.0,48.0,107.0,107.0,107.0
5475,Djent*****,28.0,85.0,31.0,107.0,107.0,107.0
5476,Petrucci**,104.0,72.0,31.0,107.0,107.0,107.0
5478,11Th*HOUR*,104.0,28.0,17.0,107.0,107.0,107.0
5481,HB*eVh****,47.0,103.0,57.0,107.0,107.0,107.0
5482,DZ*DRIVE**,105.0,28.0,62.0,107.0,107.0,107.0
5485,TeleLead**,24.0,108.0,31.0,107.0,107.0,107.0
5487,JIMI*FUZZ*,79.0,2.0,65.0,107.0,107.0,107.0
5655,Slash*****,31.0,103.0,19.0,107.0,107.0,107.0
5671,HBChevelle,28.0,104.0,32.0,107.0,107.0,107.0
