id,name,plugin1,plugin2,plugin3,plugin4,plugin5,plugin6
9467,!!*Cuda',23,27,73,109,106,61
7313,'70s*V.H**,39,30,100,60,107,107
7313,'90s*V.H**,23,99,31,42,53,60
9467,*!!*Wanted,23,27,85,49,60,107
10849,**********,107,107,107,107,107,84
9588,**********,107,107,107,27,107,31
9467,****EMG*81,23,27,72,101,105,107
9467,***MESA*BG,23,27,80,100,107,107
9467,**BIG*FOUR,23,27,72,101,45,61
9467,**CTX-Dave,23,27,80,99,65,107
9467,**Evil-Wah,23,27,68,72,101,53
9467,**JCM*800,23,27,80,98,107,107
6961,**Whammy**,70,100,27,65,46,30
9467,*59'*Plexi,23,27,80,115,107,107
7646,*CRUNCH**,27,71,108,41,30,63
6381,*ENGL*BG**,27,112,56,105,107,77
6459,*ENGL*BG**,27,49,112,56,105,12
9672,*JP*CH.2**,27,24,95,30,45,53
9467,*MAIDEN,23,27,80,98,105,107
9467,*MoonBeam,23,27,85,5,107,107
9472,*S.*Vai***,27,73,84,42,56,71
9467,*S.*Vai**~,23,27,112,51,42,56
9431,*Vai*FTLFG,27,51,24,107,112,56
9467,*Van*Halen,23,27,80,110,46,54
9467,*Z.Z.*Top,23,27,73,103,105,107
9467,*Zepplin,68,28,72,98,60,107
6702,*may*roam*,111,21,18,28,68,27
8183,-FD*2x12**,107,107,92,27,66,107
6776,.AC*life,30,44,53,64,107,107
6776,.Aural,23,33,30,107,107,107
6776,.Butter,28,95,30,57,65,107
6776,.Cement,73,53,30,65,107,107
6776,.Costra,37,28,98,30,42,107
6776,.Floats,86,30,55,53,60,107
6776,.Flog,23,34,85,30,36,107
6776,.Grind*hs,71,27,101,30,49,107
6776,.Hacking,71,29,94,30,48,56
6776,.Hairy,29,88,30,56,63,107
6776,.Leading,27,77,30,44,53,60
6776,.Mayflute,23,68,29,83,61,107
6776,.Mountain,23,28,78,30,42,61
6776,.Over*Me,30,49,53,107,107,107
6776,.Razors,87,30,65,107,107,107
6776,.Simprhyt,77,30,107,107,107,107
6776,.Snap,38,86,30,44,53,60
6776,.Thisway,38,30,55,57,61,107
6776,.Under*it,23,27,74,30,51,53
6776,.Vultures,23,37,27,82,30,44
6170,0LA*Beybe*,24,73,71,30,27,113
10822,11Th*HOUR*,100,27,16,107,107,107
7680,12-24*****,23,86,31,6,6,17
9844,1861******,54,54,53,54,107,107
9444,21*Guns,23,26,29,85,30,66
7906,21st******,25,111,38,48,53,62
7082,2RckEmer50,107,102,107,107,107,107
7672,335Crunsh1,27,25,72,54,96,66
9844,36-24-36**,54,54,58,107,107,107
9467,38*Special,23,27,72,98,61,107
8194,3rdSTAGE,24,30,98,44,44,7
10850,3rdWorld**,102,52,5,105,107,107
7315,3rdWorld**,102,52,5,105,27,107
7769,3s*Company,25,33,104,63,107,107
9844,40*MILES*B,38,54,64,107,107,107
7314,410BlsMnDR,107,27,94,23,107,107
7314,410BlsMnWT,107,94,23,65,107,107
6903,410BlsSolo,94,23,65,59,107,107
10430,410BlsSolo,27,94,23,30,56,71
9472,410BlsSolo,27,94,23,30,59,71
7532,5150******,27,99,44,7,64,107
10938,60`TubeSnd,27,104,30,30,54,71
7673,60sJazzRec,27,63,92,107,107,62
6903,7*mirrors*,24,26,92,44,7,58
8345,7NAT*ARMY*,93,107,107,107,107,107
9307,7Nation***,28,37,69,23,111,60
8440,7thson****,27,110,24,44,62,107
7314,80's*High*,27,112,21,64,107,107
9134,80's*LEAD*,80,100,27,53,60,107
10232,80*SOUND**,24,71,99,107,53,64
7531,80JUDAS,27,24,73,115,61,107
9472,80JUDAS***,27,24,73,115,86,71
6776,80sWet,27,76,30,43,56,107
9401,90*metal**,100,31,30,44,18,27
9467,A.*Smith,23,27,80,98,51,56
8573,A.M*1*****,27,77,54,56,30,97
8574,A.M*2*****,27,73,78,54,30,93
9379,A7X*******,27,73,100,64,66,107
8804,A7X2003,27,73,95,65,23,107
9472,AC*12*STR*,27,24,43,30,85,41
10403,AC*MAY****,27,41,85,24,30,60
9472,AC*MAY****,27,23,85,41,30,60
6847,AC*house,27,85,30,49,60,107
9472,AC*house**,107,27,85,30,49,60
10623,ACCousticE,1,85,21,16,7,64
10623,ACCousticE,23,30,85,38,58,60
10623,ACCousticE,85,31,30,44,56,105
10623,ACCousticE,25,85,43,66,60,27
7051,ACDC******,27,95,60,107,107,107
10403,ACO**CLASC,27,23,85,30,60,17
10403,ACO*DELEY*,27,23,85,30,59,42
9472,ACO*DELEY*,27,25,85,30,59,66
7544,ACO*SIM***,27,24,85,30,66,17
6847,ACOSIM,27,85,30,61,107,107
9775,ACOUS*LEAD,85,44,31,30,56,105
9772,ACOUS*RITH,85,44,31,30,107,61
7638,ACOUST-SFT,85,43,30,24,60,66
9455,ACOUSTIC**,23,85,43,27,64,66
9771,ACOUSTIC**,85,92,31,44,7,63
7220,ACUSTICA**,24,30,18,28,107,107
10201,ACUSTICA**,85,30,60,25,54,107
9467,AC~DC,23,27,72,115,60,107
10403,AGNUS*****,27,92,72,74,61,71
10430,AGNUS*****,27,72,92,74,66,71
7313,AH*Chorus*,27,25,92,30,55,44
6070,AH*Clean**,86,92,55,7,7,7
7313,AH*Solo***,27,30,102,31,30,7
6071,AH*lead1**,71,95,27,31,7,7
6072,AH*lead2**,71,30,114,27,7,7
9672,AKustik***,25,85,60,107,107,107
9844,ALBATROSS*,64,107,107,107,107,107
6903,ALIEN*****,112,27,5,107,107,107
9588,ALIEN*****,107,107,112,31,27,107
8183,ALIEN*****,107,107,112,27,66,107
9304,ALIEN*cl**,111,43,7,24,66,105
9302,ALIEN*rit*,27,73,112,45,105,66
9303,ALIEN*sol*,27,73,112,43,7,66
9345,AMBIENT***,38,55,6,60,105,92
9672,ANDY*TIMMO,27,112,30,53,66,64
9844,APACHE****,54,54,41,107,107,107
9843,APACHE****,23,54,54,41,60,27
7205,APACHE*HP*,23,93,54,54,54,105
10210,APACHECN2*,27,23,93,7,54,63
8393,ARENA*PWR,27,23,76,54,115,66
9844,ARGENTINA*,55,55,107,107,107,107
9843,ATLANTIS**,23,54,54,58,60,27
10430,AWAH******,27,33,23,30,30,59
10403,AWAH*SOLO*,27,23,72,30,33,59
10430,AWAH*SOLO*,27,33,23,72,30,59
7007,AcDc******,27,25,73,98,30,61
9472,AcDc*AGNUS,27,74,98,30,86,71
10237,AcORG1****,85,30,2,17,45,18
9472,Acc*OfDrea,27,23,44,7,105,71
10623,AccousticD,37,23,41,38,54,60
10325,AcouORG5**,27,2,21,85,7,105
10324,AcouORG5**,26,2,21,85,7,105
9467,AcouSky,23,27,85,44,53,61
6776,AcouSky,27,85,30,44,53,61
7315,AcoustiWah,85,36,53,105,54,27
6766,Acoustic**,23,85,41,60,105,107
6342,Acoustic**,60,85,23,66,31,85
9615,Acoustic**,85,31,48,64,107,107
8183,Acoustic**,107,85,92,27,66,107
9672,Acoustic**,85,32,65,64,107,107
9472,Acoustica*,27,25,85,30,43,60
6958,Acust-Fade,27,25,85,43,30,60
6557,Acustic***,27,85,107,107,107,107
6788,Acustic***,85,43,30,7,64,27
9318,Acustica**,107,85,43,66,60,107
8543,Acustica**,92,25,85,43,66,60
10623,AgelessMin,68,74,93,38,41,54
10568,AhchoirBG,69,51,92,59,30,17
6974,AintTalkin,27,23,75,110,46,105
6776,Alien*CL,27,85,30,35,64,107
7698,Always*On*,28,68,31,83,56,17
