,kfold-test,column,is_test,evaluation,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
0,0,0,False,train,MLP-bag_of_words_gaussian_random_projection,12.356552362442017,1.1621534824371338,0.04292500019073486,0.0037919282913208008,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.35361216730038025,0.37123287671232874,0.3620803159973667,0.008803706327024723,4,0.4,0.3548795944233207,0.3774397972116603,0.022560202788339673,0.17676150254934347,0.16671165563862989,0.1719317538694087,0.005021131599473751,6,0.2172580495209847,0.1484988339323592,0.18287844172667195,0.03437960779431276,0.35361216730038025,0.37123287671232874,0.3620803159973667,0.008803706327024723,4,0.4,0.3548795944233207,0.3774397972116603,0.022560202788339673,0.23107881149050674,0.23009378344067585,0.23060542737175982,0.0004921423690644747,6,0.278491777276128,0.20936052194244642,0.2439261496092872,0.03456562766684079
1,0,0,False,train,MLP-bag_of_words_gaussian_random_projection,12.22434115409851,0.8281536102294922,0.09696638584136963,0.023686528205871582,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.36755386565272496,0.4054794520547945,0.3857801184990125,0.018948483693716486,1,0.43561643835616437,0.40430925221799746,0.41996284528708094,0.015653593069083455,0.18604363561323037,0.24197695991786022,0.2129240350486351,0.0279455582383243,5,0.24176017105537875,0.23824483725424292,0.24000250415481084,0.0017576669005679169,0.36755386565272496,0.4054794520547945,0.3857801184990125,0.018948483693716486,1,0.43561643835616437,0.40430925221799746,0.41996284528708094,0.015653593069083455,0.24516472855041213,0.29967103845305526,0.27135933436274223,0.027232589456771893,5,0.308373763735713,0.29093764966280944,0.2996557066992612,0.008718057036451787
2,0,0,False,train,MLP-bag_of_words_gaussian_random_projection,19.64085817337036,2.0058181285858154,0.15862739086151123,0.05248558521270752,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.3700887198986058,0.3972602739726027,0.38314680710994076,0.0135755250781296,2,0.4849315068493151,0.47782002534854245,0.48137576609892874,0.0035557407503863103,0.21269353545558664,0.2722512659039115,0.2413157495617599,0.029756393804190814,4,0.3786261847254479,0.364932001149322,0.371779092937385,0.006847091788062948,0.3700887198986058,0.3972602739726027,0.38314680710994076,0.0135755250781296,2,0.4849315068493151,0.47782002534854245,0.48137576609892874,0.0035557407503863103,0.26567446434123254,0.31759363135114216,0.29062574275942477,0.025939994151940947,3,0.39166617467319603,0.393018453244558,0.392342313958877,0.0006761392856809711
3,0,0,False,train,MLP-bag_of_words_gaussian_random_projection,33.30759406089783,5.235740661621094,0.21640372276306152,0.01425623893737793,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.33713561470215464,0.36164383561643837,0.3489137590520079,0.012244863386765331,6,0.6602739726027397,0.6730038022813688,0.6666388874420542,0.006364914839314562,0.2236043149367853,0.2840536697875043,0.2526550252995403,0.03020186959118518,3,0.6511158594133982,0.6797334852183803,0.6654246723158892,0.01430881290249103,0.33713561470215464,0.36164383561643837,0.3489137590520079,0.012244863386765331,6,0.6602739726027397,0.6730038022813688,0.6666388874420542,0.006364914839314562,0.2659170844193607,0.3118508881838829,0.28799192098822257,0.022949570835770303,4,0.6308564011289363,0.6511342077004009,0.6409953044146686,0.010138903285732304
4,0,0,False,train,MLP-bag_of_words_gaussian_random_projection,45.29280602931976,2.5146254301071167,0.1762486696243286,0.012233138084411621,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.33713561470215464,0.37945205479452054,0.3574720210664911,0.021142253848514547,5,0.9246575342465754,0.8770595690747782,0.9008585516606769,0.023798982585898576,0.2568582686397493,0.31171985601065927,0.2832236134592123,0.027410094142996902,2,0.9306042836439378,0.8839524521062624,0.9072783678751001,0.02332591576883769,0.33713561470215464,0.37945205479452054,0.3574720210664911,0.021142253848514547,5,0.9246575342465754,0.8770595690747782,0.9008585516606769,0.023798982585898576,0.2893570129361383,0.340037201120101,0.3137128637421243,0.025320972211675466,2,0.9220399577798546,0.8711529211169807,0.8965964394484176,0.025443518331436932
5,0,0,False,train,MLP-bag_of_words_gaussian_random_projection,42.415292143821716,3.1705859899520874,0.0799412727355957,0.0016536712646484375,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.3523447401774398,0.3958904109589041,0.37327188940092165,0.02175640539837499,3,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.26456585566771523,0.31725228466281075,0.289885864335536,0.026323335652873155,1,0.9886704125402754,0.9884005374232732,0.9885354749817743,0.00013493755850113587,0.3523447401774398,0.3958904109589041,0.37327188940092165,0.02175640539837499,3,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.2988336474909929,0.3496121425532106,0.32323674255051815,0.025370088559141978,1,0.9849060586626406,0.9858660379361409,0.9853860482993908,0.0004799896367501666
0,0,1,False,train,MLP-bag_of_words_gaussian_random_projection,13.29705262184143,1.4447200298309326,0.06116306781768799,0.024165034294128418,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.13231552162849872,0.12824010914051842,0.130348913759052,0.0020364655061978626,6,0.15416098226466576,0.12213740458015267,0.13814919342240922,0.016011788842256548,0.03892062636100799,0.031429387794559664,0.035305696888192566,0.003743338615235871,6,0.04530373927609788,0.02837838283606114,0.03684106105607951,0.008462678220018371,0.13231552162849872,0.12824010914051842,0.130348913759052,0.0020364655061978626,6,0.15416098226466576,0.12213740458015267,0.13814919342240922,0.016011788842256548,0.05751976198037053,0.049239436814066825,0.05352405536621608,0.004137641681918777,6,0.06613885821617302,0.043836616232594244,0.05498773722438363,0.011151120991789387
1,0,1,False,train,MLP-bag_of_words_gaussian_random_projection,12.56605577468872,1.3172695636749268,0.1467505693435669,0.01860034465789795,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.1450381679389313,0.16371077762619374,0.15404871626069783,0.009330620066301835,1,0.20600272851296045,0.17684478371501272,0.1914237561139866,0.014578972398973863,0.0554416665358697,0.06979454674764805,0.06236771077236314,0.007172070447367635,5,0.12555345322957925,0.08403692391236718,0.10479518857097322,0.020758264658606036,0.1450381679389313,0.16371077762619374,0.15404871626069783,0.009330620066301835,1,0.20600272851296045,0.17684478371501272,0.1914237561139866,0.014578972398973863,0.0800425082580134,0.0935711821905497,0.08657082820044204,0.006760218232992168,5,0.12973412225720168,0.09862307828960205,0.11417860027340188,0.015555521983799815
2,0,1,False,train,MLP-bag_of_words_gaussian_random_projection,24.04893159866333,2.726780652999878,0.17009806632995605,0.0382542610168457,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.13994910941475827,0.1377899045020464,0.13890717577353523,0.0010789450978322573,5,0.3069577080491132,0.32951653944020354,0.3182371237446584,0.011279415695545164,0.08460774054300635,0.08639137724714922,0.08546844212571651,0.0008912753333038733,4,0.23981813931423257,0.2766827593157759,0.25825044931500424,0.018432310000771668,0.13994910941475827,0.1377899045020464,0.13890717577353523,0.0010789450978322573,5,0.3069577080491132,0.32951653944020354,0.3182371237446584,0.011279415695545164,0.09844647880230095,0.10143944726669553,0.09989074864061644,0.0014955730387669684,4,0.25308054280849873,0.27947580253707416,0.2662781726727864,0.013197629864287713
3,0,1,False,train,MLP-bag_of_words_gaussian_random_projection,32.71251571178436,2.908577561378479,0.1821277141571045,0.019673585891723633,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.1361323155216285,0.14597544338335608,0.14088215931533904,0.004918567242609939,4,0.5770804911323328,0.5458015267175572,0.5614410089249451,0.01563948220738781,0.09469643385658758,0.11077369016224556,0.10245458321277408,0.008033733517119473,3,0.5850652193055483,0.5460263518094804,0.5655457855575143,0.019519433748033943,0.1361323155216285,0.14597544338335608,0.14088215931533904,0.004918567242609939,4,0.5770804911323328,0.5458015267175572,0.5614410089249451,0.01563948220738781,0.10834725207198832,0.12197236089355394,0.11492210708594988,0.006808406318414547,3,0.5594630187052925,0.5260252405662565,0.5427441296357745,0.01671888906951796
