,kfold-test,column,is_test,evaluation,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
0,0,0,False,train,SVC-bag_of_words,1.8069015741348267,0.24003660678863525,8.302039623260498,0.3675832748413086,1e-05,linear,"{'C': 1e-05, 'kernel': 'linear'}",0.3181242078580482,0.34383561643835614,0.3304805793285056,0.012846003251247344,5,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.10120301162531063,0.11822293113154438,0.10938243311283573,0.008503538055106742,5,0.11822293113154438,0.10120301162531063,0.1097129713784275,0.008509959753116872,0.3181242078580482,0.34383561643835614,0.3304805793285056,0.012846003251247344,5,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.15355610802378863,0.17594850097049416,0.16431742918974981,0.011187747715109506,5,0.17594850097049416,0.15355610802378863,0.1647523044971414,0.011196196473352765
1,0,0,False,train,SVC-bag_of_words,5.832568526268005,0.1853550672531128,8.518596768379211,0.7966393232345581,0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.3181242078580482,0.34383561643835614,0.3304805793285056,0.012846003251247344,5,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.10120301162531063,0.11822293113154438,0.10938243311283573,0.008503538055106742,5,0.11822293113154438,0.10120301162531063,0.1097129713784275,0.008509959753116872,0.3181242078580482,0.34383561643835614,0.3304805793285056,0.012846003251247344,5,0.34383561643835614,0.3181242078580482,0.33097991214820216,0.01285570429015398,0.15355610802378863,0.17594850097049416,0.16431742918974981,0.011187747715109506,5,0.17594850097049416,0.15355610802378863,0.1647523044971414,0.011196196473352765
2,0,0,False,train,SVC-bag_of_words,5.760334014892578,0.6262962818145752,7.989209294319153,1.0167666673660278,1.0,linear,"{'C': 1.0, 'kernel': 'linear'}",0.42585551330798477,0.4534246575342466,0.4391046741277156,0.013774170141573183,1,0.9575342465753425,0.9581749049429658,0.9578545757591541,0.00032032918381164066,0.3348102179697911,0.3714754971406996,0.35243079321321646,0.018318805598154464,4,0.9578989929057076,0.9570603698595199,0.9574796813826137,0.0004193115230938238,0.42585551330798477,0.4534246575342466,0.4391046741277156,0.013774170141573183,1,0.9575342465753425,0.9581749049429658,0.9578545757591541,0.00032032918381164066,0.3605657561631316,0.4007634754031569,0.3798839490829594,0.02008369282597694,4,0.9549932274632106,0.9551002560390458,0.9550467417511281,5.3514287917610925e-05
3,0,0,False,train,SVC-bag_of_words,5.622266411781311,0.05012357234954834,8.821983218193054,0.13689863681793213,100.0,linear,"{'C': 100.0, 'kernel': 'linear'}",0.4157160963244613,0.4315068493150685,0.42330480579328505,0.007889418567769257,2,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.34127037128590576,0.374979305588549,0.35747018829770927,0.01684174860725002,2,0.9847502174385734,0.9850979168251889,0.9849240671318811,0.00017384969330774824,0.4157160963244613,0.4315068493150685,0.42330480579328505,0.007889418567769257,2,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.36750790489900015,0.39485744338485534,0.38065152773947036,0.013664450129678662,2,0.9833371184841663,0.9842715065123018,0.9838043124982341,0.0004671940140677511
4,0,0,False,train,SVC-bag_of_words,5.0680437088012695,0.900794267654419,6.703535676002502,0.6811050176620483,10000.0,linear,"{'C': 10000.0, 'kernel': 'linear'}",0.4157160963244613,0.4315068493150685,0.42330480579328505,0.007889418567769257,2,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.34549512836237384,0.374979305588549,0.3596646144552691,0.014730964090309755,1,0.9843849206349204,0.9850979168251889,0.9847414187300547,0.0003564980951342167,0.4157160963244613,0.4315068493150685,0.42330480579328505,0.007889418567769257,2,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.3680359995335587,0.39485744338485534,0.3809258310091653,0.013400602065061109,1,0.9836502300301544,0.9842715065123018,0.9839608682712281,0.00031063824107369076
5,0,0,False,train,SVC-bag_of_words,5.609476208686829,1.259273886680603,6.966046452522278,0.39456474781036377,1000000.0,linear,"{'C': 1000000.0, 'kernel': 'linear'}",0.4157160963244613,0.4315068493150685,0.42330480579328505,0.007889418567769257,2,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.34127037128590576,0.374979305588549,0.35747018829770927,0.01684174860725002,2,0.9847502174385734,0.9850979168251889,0.9849240671318811,0.00017384969330774824,0.4157160963244613,0.4315068493150685,0.42330480579328505,0.007889418567769257,2,0.9849315068493151,0.9860583016476553,0.9854949042484852,0.0005633973991701069,0.36750790489900015,0.39485744338485534,0.38065152773947036,0.013664450129678662,2,0.9833371184841663,0.9842715065123018,0.9838043124982341,0.0004671940140677511
0,0,1,False,train,SVC-bag_of_words,1.1704343557357788,0.029365897178649902,8.93232786655426,0.38494980335235596,1e-05,linear,"{'C': 1e-05, 'kernel': 'linear'}",0.09796437659033079,0.10368349249658936,0.10072416063199473,0.0028578167985187294,5,0.10368349249658936,0.09796437659033079,0.10082393454346007,0.0028595579531292825,0.00959701908073215,0.010750266616290301,0.010153523651873773,0.0005762726676621067,5,0.010750266616290301,0.00959701908073215,0.010173642848511227,0.0005766237677790756,0.09796437659033079,0.10368349249658936,0.10072416063199473,0.0028578167985187294,5,0.10368349249658936,0.09796437659033079,0.10082393454346007,0.0028595579531292825,0.017481476239757755,0.01948070563594757,0.01844621300566107,0.0009990060432717171,5,0.01948070563594757,0.017481476239757755,0.018481090937852662,0.0009996146980949076
1,0,1,False,train,SVC-bag_of_words,2.511239767074585,0.42108654975891113,9.175238609313965,0.45196008682250977,0.01,linear,"{'C': 0.01, 'kernel': 'linear'}",0.09796437659033079,0.10368349249658936,0.10072416063199473,0.0028578167985187294,5,0.10368349249658936,0.09796437659033079,0.10082393454346007,0.0028595579531292825,0.00959701908073215,0.010750266616290301,0.010153523651873773,0.0005762726676621067,5,0.010750266616290301,0.00959701908073215,0.010173642848511227,0.0005766237677790756,0.09796437659033079,0.10368349249658936,0.10072416063199473,0.0028578167985187294,5,0.10368349249658936,0.09796437659033079,0.10082393454346007,0.0028595579531292825,0.017481476239757755,0.01948070563594757,0.01844621300566107,0.0009990060432717171,5,0.01948070563594757,0.017481476239757755,0.018481090937852662,0.0009996146980949076
2,0,1,False,train,SVC-bag_of_words,2.3618433475494385,0.01886463165283203,7.415674328804016,0.192724347114563,1.0,linear,"{'C': 1.0, 'kernel': 'linear'}",0.22900763358778625,0.2373806275579809,0.23304805793285055,0.004183947871336681,1,0.9167803547066848,0.9300254452926209,0.9234028999996529,0.006622545292968018,0.19469255949261424,0.20635640767092286,0.20032099972612324,0.005828373092223084,4,0.934044384375395,0.9393324017267667,0.9366883930510809,0.002644008675685816,0.22900763358778625,0.2373806275579809,0.23304805793285055,0.004183947871336681,1,0.9167803547066848,0.9300254452926209,0.9234028999996529,0.006622545292968018,0.19169832419278285,0.207010461491172,0.19908726207278235,0.007651406949922955,4,0.9148844099932593,0.9273922472315609,0.9211383286124101,0.006253918619150811
3,0,1,False,train,SVC-bag_of_words,3.363870620727539,0.5127911567687988,7.335438251495361,0.27257752418518066,100.0,linear,"{'C': 100.0, 'kernel': 'linear'}",0.22264631043256997,0.2291950886766712,0.22580645161290322,0.003272395381126307,2,0.9440654843110505,0.9478371501272265,0.9459513172191385,0.0018858329080879699,0.20149131112953517,0.2107271808943325,0.20594811991004633,0.004615123070662902,1,0.9693560965960989,0.9542284458766983,0.9617922712363987,0.007563825359700294,0.22264631043256997,0.2291950886766712,0.22580645161290322,0.003272395381126307,2,0.9440654843110505,0.9478371501272265,0.9459513172191385,0.0018858329080879699,0.19689475814116475,0.21022515706769546,0.20332739962447416,0.006661141093767011,1,0.9479137041008262,0.9452365384451498,0.946575121272988,0.0013385828278382195
