kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,RBMAlreadyTrainedModel,0.7518104015799868,0.8564845292955892,0.879526003949967,0.8867676102699145,0.8650427913100724,0.7228439763001975,True,train,Accuracy
0,,RBMAlreadyTrainedModel,0.16842105263157894,0.1763157894736842,0.09736842105263158,0.16842105263157894,0.21578947368421053,0.2131578947368421,True,test,Accuracy
1,,RBMAlreadyTrainedModel,0.8729427254772877,0.857801184990125,0.8604344963791969,0.8861092824226465,0.8459512837393022,0.7254772876892692,True,train,Accuracy
1,,RBMAlreadyTrainedModel,0.29210526315789476,0.18157894736842106,0.13421052631578947,0.1736842105263158,0.2236842105263158,0.23157894736842105,True,test,Accuracy
2,,RBMAlreadyTrainedModel,0.7412771560236998,0.8499012508229098,0.859776168531929,0.847926267281106,0.8624094799210007,0.7044107965766951,True,train,Accuracy
2,,RBMAlreadyTrainedModel,0.20526315789473684,0.16052631578947368,0.14210526315789473,0.18157894736842106,0.20526315789473684,0.22631578947368422,True,test,Accuracy
3,,RBMAlreadyTrainedModel,0.8136932192231732,0.8492429229756419,0.8650427913100724,0.8821593153390388,0.892034233048058,0.7366688610928243,True,train,Accuracy
3,,RBMAlreadyTrainedModel,0.2236842105263158,0.17894736842105263,0.1631578947368421,0.17105263157894737,0.2657894736842105,0.21578947368421053,True,test,Accuracy
4,,RBMAlreadyTrainedModel,0.7473684210526316,0.8598684210526316,0.8848684210526315,0.8671052631578947,0.8960526315789473,0.7131578947368421,True,train,Accuracy
4,,RBMAlreadyTrainedModel,0.17678100263852242,0.13984168865435356,0.1741424802110818,0.20844327176781002,0.27440633245382584,0.20316622691292877,True,test,Accuracy
