kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,RBMCFAlreadyTrainedModel,0.8294930875576036,0.8110599078341014,0.804476629361422,0.847267939433838,0.8709677419354839,0.9058591178406846,True,train,Accuracy
0,,RBMCFAlreadyTrainedModel,0.19736842105263158,0.12368421052631579,0.08947368421052632,0.15789473684210525,0.2894736842105263,0.43157894736842106,True,test,Accuracy
1,,RBMCFAlreadyTrainedModel,0.8341013824884793,0.7893350888742594,0.8031599736668861,0.8446346280447663,0.869651086240948,0.9032258064516129,True,train,Accuracy
1,,RBMCFAlreadyTrainedModel,0.22105263157894736,0.1368421052631579,0.11052631578947368,0.19210526315789472,0.3157894736842105,0.4710526315789474,True,test,Accuracy
2,,RBMCFAlreadyTrainedModel,0.7913100724160632,0.7880184331797235,0.8097432521395656,0.859776168531929,0.857801184990125,0.9144173798551679,True,train,Accuracy
2,,RBMCFAlreadyTrainedModel,0.18421052631578946,0.13157894736842105,0.09736842105263158,0.18421052631578946,0.30526315789473685,0.4421052631578947,True,test,Accuracy
3,,RBMCFAlreadyTrainedModel,0.7952600394996708,0.7880184331797235,0.7873601053324556,0.8347597103357473,0.8729427254772877,0.8940092165898618,True,train,Accuracy
3,,RBMCFAlreadyTrainedModel,0.19210526315789472,0.14210526315789473,0.09736842105263158,0.17105263157894737,0.2657894736842105,0.4631578947368421,True,test,Accuracy
4,,RBMCFAlreadyTrainedModel,0.7960526315789473,0.7644736842105263,0.8046052631578947,0.8565789473684211,0.8526315789473684,0.9210526315789473,True,train,Accuracy
4,,RBMCFAlreadyTrainedModel,0.22691292875989447,0.1345646437994723,0.12928759894459102,0.20316622691292877,0.3087071240105541,0.48021108179419525,True,test,Accuracy
