kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,"SVMBagOfWordsGaussianRandom{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.32323897300855825,0.07636603028308098,0.05595786701777485,0.10072416063199473,0.11323238973008558,0.4555628703094141,True,train,Accuracy
0,,"SVMBagOfWordsGaussianRandom{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.34210526315789475,0.08421052631578947,0.05789473684210526,0.08157894736842106,0.06842105263157895,0.40789473684210525,True,test,Accuracy
1,,"SVMBagOfWordsGaussianRandom{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.3127057274522712,0.10994075049374588,0.03554970375246873,0.08624094799210007,0.09414088215931533,0.44832126398946676,True,train,Accuracy
1,,"SVMBagOfWordsGaussianRandom{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.3026315789473684,0.06315789473684211,0.06578947368421052,0.10263157894736842,0.07894736842105263,0.4710526315789474,True,test,Accuracy
2,,"SVMBagOfWordsGaussianRandom{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.26135615536537193,0.07636603028308098,0.06056616194865043,0.12244897959183673,0.10928242264647794,0.4621461487820935,True,train,Accuracy
2,,"SVMBagOfWordsGaussianRandom{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.29473684210526313,0.07105263157894737,0.05789473684210526,0.03684210526315789,0.060526315789473685,0.4131578947368421,True,test,Accuracy
3,,"SVMBagOfWordsGaussianRandom{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.30809743252139565,0.05595786701777485,0.051349572086899276,0.07636603028308098,0.06583278472679395,0.4608294930875576,True,train,Accuracy
3,,"SVMBagOfWordsGaussianRandom{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.28157894736842104,0.07631578947368421,0.04736842105263158,0.0868421052631579,0.11578947368421053,0.4605263157894737,True,test,Accuracy
4,,"SVMBagOfWordsGaussianRandom{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.3256578947368421,0.08157894736842106,0.06578947368421052,0.05131578947368421,0.11973684210526316,0.43355263157894736,True,train,Accuracy
4,,"SVMBagOfWordsGaussianRandom{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.28232189973614774,0.06068601583113457,0.0712401055408971,0.10026385224274406,0.2638522427440633,0.46174142480211083,True,test,Accuracy
