kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,"SVMRandomMatrix{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.5885450954575379,0.511520737327189,0.5148123765635286,0.5483870967741935,0.6142198815009875,0.7063857801184991,True,train,Accuracy
0,,"SVMRandomMatrix{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.4105263157894737,0.17894736842105263,0.18947368421052632,0.2710526315789474,0.33421052631578946,0.48947368421052634,True,test,Accuracy
1,,"SVMRandomMatrix{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.5819618169848585,0.4990125082290981,0.5075707702435813,0.5490454246214614,0.6208031599736669,0.7063857801184991,True,train,Accuracy
1,,"SVMRandomMatrix{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.39473684210526316,0.15,0.17894736842105263,0.23421052631578948,0.3526315789473684,0.5368421052631579,True,test,Accuracy
2,,"SVMRandomMatrix{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.5707702435813035,0.4937458854509546,0.5095457537853851,0.5582620144832127,0.618828176431863,0.7090190915075708,True,train,Accuracy
2,,"SVMRandomMatrix{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.41578947368421054,0.17105263157894737,0.17894736842105263,0.2578947368421053,0.35,0.4789473684210526,True,test,Accuracy
3,,"SVMRandomMatrix{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.5793285055957867,0.5075707702435813,0.5286372613561554,0.5411454904542462,0.631336405529954,0.7109940750493746,True,train,Accuracy
3,,"SVMRandomMatrix{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.4026315789473684,0.17894736842105263,0.1736842105263158,0.2657894736842105,0.34210526315789475,0.48157894736842105,True,test,Accuracy
4,,"SVMRandomMatrix{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.5730263157894737,0.5039473684210526,0.5098684210526315,0.5526315789473685,0.6177631578947368,0.7,True,train,Accuracy
4,,"SVMRandomMatrix{'C': 1.0, 'gamma': 0.01, 'kernel': 'rbf'}",0.39841688654353563,0.20316622691292877,0.18997361477572558,0.3034300791556728,0.37467018469656993,0.5461741424802111,True,test,Accuracy
