,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,10.928579807281494,0.4553048610687256,0.4210641384124756,0.05825304985046387,20,800,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0.4806201550387597,0.47173489278752434,0.47619047619047616,0.004442612244706814,1,0.8284600389863548,0.8062015503875969,0.8173307946869759,0.01112924429937895,0.875968992248062,0.8771929824561403,0.8765792031098154,0.0006119925030973389,4,0.9961013645224172,0.998062015503876,0.9970816900131465,0.0009803254907294057,0.7300834709070111,0.7250072408917715,0.7275527556516002,0.0025381042207860793,1,0.9268459908822334,0.9179052459897811,0.9223756184360072,0.004470372446226167,0.8207768087855298,0.8246020142949968,0.8226838354389375,0.0019125946262886222,3,0.8669590643274854,0.8475048449612403,0.8572319546443629,0.009727109683122515,"{'hidden_layer_sizes': 20, 'max_iter': 800}"
1,0,16.036331295967102,0.21252334117889404,0.5076547861099243,0.013135552406311035,40,800,"{'hidden_layer_sizes': 40, 'max_iter': 800}",0.4573643410852713,0.44834307992202727,0.45286686103012636,0.004510611411717612,4,0.8927875243664717,0.9011627906976745,0.896975157532073,0.00418763316560139,0.8817829457364341,0.8810916179337231,0.8814382896015549,0.0003456624323050231,2,1.0,1.0,1.0,0.0,0.7195554501330692,0.7170779617330739,0.7183203174321969,0.0012387389354104718,4,0.9551960355425281,0.9602085533051039,0.957702294423816,0.002506258881287915,0.8294573643410853,0.8265107212475633,0.8279883381924198,0.0014733152852344326,2,0.8602582846003899,0.8464147286821705,0.8533365066412801,0.006921777959109698,"{'hidden_layer_sizes': 40, 'max_iter': 800}"
2,0,28.458932399749756,0.555255651473999,0.4159590005874634,0.05351698398590088,80,800,"{'hidden_layer_sizes': 80, 'max_iter': 800}",0.45348837209302323,0.4678362573099415,0.4606413994169096,0.007173912119641324,3,0.9064327485380117,0.9127906976744186,0.9096117231062151,0.00317897456820343,0.9031007751937985,0.898635477582846,0.9008746355685131,0.0022326393168552207,1,1.0,1.0,1.0,0.0,0.7266752350660532,0.7261941845905143,0.726435411068044,0.00024052421555189606,2,0.9616086697997946,0.9651418952191365,0.9633752825094656,0.0017666127096709339,0.8308704780361758,0.8358918128654971,0.8333738257207646,0.0025106567444775326,1,0.8464912280701754,0.8550145348837209,0.8507528814769482,0.0042616534067727585,"{'hidden_layer_sizes': 80, 'max_iter': 800}"
3,0,27.650394916534424,0.14119672775268555,0.15137648582458496,0.013261079788208008,100,800,"{'hidden_layer_sizes': 100, 'max_iter': 800}",0.4748062015503876,0.47173489278752434,0.47327502429543244,0.0015356478549943301,2,0.9064327485380117,0.9127906976744186,0.9096117231062151,0.00317897456820343,0.8895348837209303,0.8713450292397661,0.880466472303207,0.009094888587696947,3,1.0,1.0,1.0,0.0,0.7277496142852319,0.7248280755430075,0.726293103716951,0.0014607631629315848,3,0.9616086697997946,0.9651418952191365,0.9633752825094656,0.0017666127096709339,0.8214631782945736,0.8231400259909032,0.8222991577583414,0.0008384202849146602,4,0.8568469785575049,0.8504118217054264,0.8536294001314657,0.003217578426039258,"{'hidden_layer_sizes': 100, 'max_iter': 800}"
0,1,10.532568573951721,1.4889920949935913,0.4242522716522217,0.01834583282470703,20,800,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0.2804642166344294,0.275390625,0.27793974732750243,0.0025367658692481043,1,0.6796875,0.6924564796905223,0.6860719898452612,0.006384489845261132,0.7891682785299806,0.80859375,0.7988338192419825,0.009712621071983481,4,0.98828125,0.9787234042553191,0.9835023271276595,0.004778922872340441,0.6132051831539529,0.6135939474889256,0.6133986208016751,0.00019437987272119187,1,0.8595013439390848,0.8590663055424828,0.8592838247407838,0.0002175191983010416,0.7005963894261766,0.7073974609375,0.7039804016844833,0.003400495610873322,2,0.745361328125,0.7391199226305609,0.7422406253777805,0.0031207027472195392,"{'hidden_layer_sizes': 20, 'max_iter': 800}"
1,1,17.613104581832886,0.20025968551635742,0.4221162796020508,0.02708888053894043,40,800,"{'hidden_layer_sizes': 40, 'max_iter': 800}",0.23404255319148937,0.2578125,0.24586977648202138,0.011884833097028378,3,0.81640625,0.8181818181818182,0.8172940340909092,0.0008877840909091161,0.7988394584139265,0.802734375,0.8007774538386784,0.0019474353024533395,3,1.0,1.0,1.0,0.0,0.5914619234001127,0.6066719119445336,0.5990299643473853,0.00760490449197949,2,0.925972866422496,0.9225211451466676,0.9242470057845817,0.0017258606379141894,0.7048678272082528,0.6974283854166666,0.7011661807580175,0.003719676982886755,3,0.7576904296875,0.758220502901354,0.757955466294427,0.0002650366069270049,"{'hidden_layer_sizes': 40, 'max_iter': 800}"
2,1,27.41678261756897,0.2350325584411621,0.40292811393737793,0.10777163505554199,80,800,"{'hidden_layer_sizes': 80, 'max_iter': 800}",0.24758220502901354,0.25,0.2487852283770651,0.0012088832139380418,2,0.837890625,0.8375241779497099,0.8377074014748549,0.0001832235251450487,0.8085106382978723,0.802734375,0.8056365403304179,0.002888097553298828,1,1.0,1.0,1.0,0.0,0.5946427314842624,0.5983686343398139,0.5964966306699208,0.0018629294348322463,4,0.9359282283536705,0.9332018264097014,0.9345650273816859,0.0013632009719845573,0.7120003223726628,0.702392578125,0.7072197926789763,0.004803815412053122,1,0.7479248046875,0.7618471953578336,0.7548860000226668,0.006961195335166814,"{'hidden_layer_sizes': 80, 'max_iter': 800}"
3,1,25.835546493530273,0.14277362823486328,0.18377470970153809,0.0806424617767334,100,800,"{'hidden_layer_sizes': 100, 'max_iter': 800}",0.2553191489361702,0.236328125,0.24586977648202138,0.00949539986947896,3,0.837890625,0.8375241779497099,0.8377074014748549,0.0001832235251450487,0.8065764023210832,0.8046875,0.8056365403304179,0.0009444400108891025,1,1.0,1.0,1.0,0.0,0.6019477884801202,0.5934799852217563,0.5977344597451519,0.004233851646150749,3,0.9359282283536705,0.9332018264097014,0.9345650273816859,0.0013632009719845573,0.7046663442940039,0.6957194010416667,0.7002146096533852,0.00447341881491041,4,0.74951171875,0.758220502901354,0.753866110825677,0.004354392075677005,"{'hidden_layer_sizes': 100, 'max_iter': 800}"
0,2,11.580198526382446,0.17148923873901367,0.46505892276763916,0.04270374774932861,20,800,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0.2644787644787645,0.23679060665362034,0.25072886297376096,0.013843758577547742,1,0.6966731898238747,0.6872586872586872,0.691965938541281,0.00470725128259375,0.7837837837837838,0.7945205479452054,0.7891156462585034,0.005368257862926799,3,0.9882583170254403,0.9864864864864865,0.9873724017559634,0.0008859152694769001,0.602208508590903,0.5974432717456065,0.5998420984568442,0.002382563291777125,1,0.862245826398362,0.8598436133835132,0.8610447198909377,0.0012011065074243876,0.6554054054054054,0.6633235485975212,0.6593375445416261,0.003958979987991808,3,0.7078033268101761,0.709942084942085,0.7088727058761306,0.0010693790659544455,"{'hidden_layer_sizes': 20, 'max_iter': 800}"
1,2,15.382121801376343,1.9194884300231934,0.5162135362625122,0.10470092296600342,40,800,"{'hidden_layer_sizes': 40, 'max_iter': 800}",0.23745173745173745,0.2446183953033268,0.24101068999028183,0.003583246011953608,3,0.8551859099804305,0.8185328185328186,0.8368593642566245,0.018326545723805987,0.7760617760617761,0.8062622309197651,0.7910592808551993,0.015099878028232544,2,0.9980430528375733,0.9980694980694981,0.9980562754535357,1.322261596237162e-05,0.5858167612302955,0.5974933643086974,0.5916153464324951,0.005838166448056393,3,0.9406099022579877,0.9239808060042376,0.9322953541311126,0.008314548126875043,0.66123712998713,0.6409817351598173,0.6511783284742468,0.01012746307114663,4,0.7166095890410958,0.6942567567567568,0.7054331728989263,0.01117641614216952,"{'hidden_layer_sizes': 40, 'max_iter': 800}"
