,best_params,column,i_outer,metric,model,params,refit,split_method,value
0,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0,4,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_split_with_one_hot_encoding,0.4980544747081712
1,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0,4,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_split_with_one_hot_encoding,0.8988326848249028
2,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0,4,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_split_with_one_hot_encoding,0.7359550753925492
3,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0,4,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_split_with_one_hot_encoding,0.8407101167315175
4,"{'hidden_layer_sizes': 20, 'max_iter': 800}",1,4,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_split_with_one_hot_encoding,0.26459143968871596
5,"{'hidden_layer_sizes': 20, 'max_iter': 800}",1,4,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_split_with_one_hot_encoding,0.8560311284046692
6,"{'hidden_layer_sizes': 20, 'max_iter': 800}",1,4,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_split_with_one_hot_encoding,0.6099371272807049
7,"{'hidden_layer_sizes': 20, 'max_iter': 800}",1,4,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_split_with_one_hot_encoding,0.6904182879377432
8,"{'hidden_layer_sizes': 20, 'max_iter': 800}",2,4,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_split_with_one_hot_encoding,0.311284046692607
9,"{'hidden_layer_sizes': 20, 'max_iter': 800}",2,4,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_split_with_one_hot_encoding,0.8326848249027238
