,best_params,column,i_outer,metric,model,params,refit,split_method,value
0,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.5680933852140078
1,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.9299610894941635
2,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.7813923517227492
3,"{'hidden_layer_sizes': 20, 'max_iter': 800}",0,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.8497081712062257
4,"{'hidden_layer_sizes': 20, 'max_iter': 800}",1,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.3035019455252918
5,"{'hidden_layer_sizes': 20, 'max_iter': 800}",1,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.8638132295719845
6,"{'hidden_layer_sizes': 20, 'max_iter': 800}",1,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.6552158319626884
7,"{'hidden_layer_sizes': 20, 'max_iter': 800}",1,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.7243839169909209
8,"{'hidden_layer_sizes': 20, 'max_iter': 800}",2,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.32684824902723736
9,"{'hidden_layer_sizes': 20, 'max_iter': 800}",2,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.8365758754863813
10,"{'hidden_layer_sizes': 20, 'max_iter': 800}",2,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.6427834775541814
11,"{'hidden_layer_sizes': 20, 'max_iter': 800}",2,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.6485894941634242
12,"{'hidden_layer_sizes': 20, 'max_iter': 800}",3,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.33852140077821014
13,"{'hidden_layer_sizes': 20, 'max_iter': 800}",3,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.8638132295719845
14,"{'hidden_layer_sizes': 20, 'max_iter': 800}",3,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.6581346032045564
15,"{'hidden_layer_sizes': 20, 'max_iter': 800}",3,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.6711251621271076
16,"{'hidden_layer_sizes': 20, 'max_iter': 800}",4,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.4591439688715953
17,"{'hidden_layer_sizes': 20, 'max_iter': 800}",4,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.8988326848249028
18,"{'hidden_layer_sizes': 20, 'max_iter': 800}",4,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.72737939655141
19,"{'hidden_layer_sizes': 20, 'max_iter': 800}",4,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.635538261997406
20,"{'hidden_layer_sizes': 20, 'max_iter': 800}",5,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.5097276264591439
21,"{'hidden_layer_sizes': 20, 'max_iter': 800}",5,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.914396887159533
22,"{'hidden_layer_sizes': 20, 'max_iter': 800}",5,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.7550239255636263
23,"{'hidden_layer_sizes': 20, 'max_iter': 800}",5,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y_with_bag_of_words,0.6121919584954604
