,best_params,column,i_outer,metric,model,params,refit,split_method,value
0,"{'C': 8, 'gamma': 0.0625, 'kernel': 'rbf', 'probability': True}",0,1,accuracy,SVC,"{'C': [0.125, 1, 8, 64, 512, 4096], 'gamma': [0.0001220703125, 0.0009765625, 0.0078125, 0.0625, 0.5, 4], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.4722222222222222
1,"{'C': 8, 'gamma': 0.0625, 'kernel': 'rbf', 'probability': True}",0,1,hit@5,SVC,"{'C': [0.125, 1, 8, 64, 512, 4096], 'gamma': [0.0001220703125, 0.0009765625, 0.0078125, 0.0625, 0.5, 4], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.6504629629629629
2,"{'C': 8, 'gamma': 0.0625, 'kernel': 'rbf', 'probability': True}",0,1,mdcg,SVC,"{'C': [0.125, 1, 8, 64, 512, 4096], 'gamma': [0.0001220703125, 0.0009765625, 0.0078125, 0.0625, 0.5, 4], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.6454641874186768
3,"{'C': 8, 'gamma': 0.0625, 'kernel': 'rbf', 'probability': True}",0,1,map@5,SVC,"{'C': [0.125, 1, 8, 64, 512, 4096], 'gamma': [0.0001220703125, 0.0009765625, 0.0078125, 0.0625, 0.5, 4], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.3604956309122975
4,"{'C': 8, 'gamma': 0.0625, 'kernel': 'rbf', 'probability': True}",1,1,accuracy,SVC,"{'C': [0.125, 1, 8, 64, 512, 4096], 'gamma': [0.0001220703125, 0.0009765625, 0.0078125, 0.0625, 0.5, 4], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.25462962962962965
5,"{'C': 8, 'gamma': 0.0625, 'kernel': 'rbf', 'probability': True}",1,1,hit@5,SVC,"{'C': [0.125, 1, 8, 64, 512, 4096], 'gamma': [0.0001220703125, 0.0009765625, 0.0078125, 0.0625, 0.5, 4], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.4722222222222222
6,"{'C': 8, 'gamma': 0.0625, 'kernel': 'rbf', 'probability': True}",1,1,mdcg,SVC,"{'C': [0.125, 1, 8, 64, 512, 4096], 'gamma': [0.0001220703125, 0.0009765625, 0.0078125, 0.0625, 0.5, 4], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.49303448788912474
7,"{'C': 8, 'gamma': 0.0625, 'kernel': 'rbf', 'probability': True}",1,1,map@5,SVC,"{'C': [0.125, 1, 8, 64, 512, 4096], 'gamma': [0.0001220703125, 0.0009765625, 0.0078125, 0.0625, 0.5, 4], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.1611283469616803
8,"{'C': 8, 'gamma': 0.0625, 'kernel': 'rbf', 'probability': True}",2,1,accuracy,SVC,"{'C': [0.125, 1, 8, 64, 512, 4096], 'gamma': [0.0001220703125, 0.0009765625, 0.0078125, 0.0625, 0.5, 4], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.3125
9,"{'C': 8, 'gamma': 0.0625, 'kernel': 'rbf', 'probability': True}",2,1,hit@5,SVC,"{'C': [0.125, 1, 8, 64, 512, 4096], 'gamma': [0.0001220703125, 0.0009765625, 0.0078125, 0.0625, 0.5, 4], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.4791666666666667
