,best_params,column,i_outer,metric,model,params,refit,split_method,value
0,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",0,4,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.4444444444444444
1,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",0,4,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.6388888888888888
2,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",0,4,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.6289178735334514
3,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",0,4,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.36234327400994065
4,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",1,4,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.1550925925925926
5,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",1,4,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.4236111111111111
6,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",1,4,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.4442584175687973
7,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",1,4,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.15523809523809523
8,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",2,4,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.19675925925925927
9,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",2,4,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.4351851851851852
10,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",2,4,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.4612012972986453
11,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",2,4,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.14635952781786113
12,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",3,4,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.2361111111111111
13,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",3,4,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.4212962962962963
14,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",3,4,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.48444559237741336
15,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",3,4,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.26606671877505217
16,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",4,4,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.44212962962962965
17,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",4,4,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.6435185185185185
18,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",4,4,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.646745255474376
19,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",4,4,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.4262739498156165
20,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",5,4,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.49074074074074076
21,"{'C': 2000.0, 'gamma': 0.0002, 'kernel': 'rbf', 'probability': True}",5,4,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_with_bag_of_words,0.7106481481481481
