,best_params,column,i_outer,metric,model,params,refit,split_method,value
0,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",0,2,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.44675925925925924
1,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",0,2,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.6180555555555556
2,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",0,2,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.6208757587992072
3,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",0,2,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.35356481481481483
4,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",1,2,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.24305555555555555
5,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",1,2,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.43287037037037035
6,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",1,2,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.4580406339462106
7,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",1,2,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.15708193041526375
8,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",2,2,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.24074074074074073
9,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",2,2,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.44907407407407407
10,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",2,2,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.4655750078638427
11,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",2,2,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.1568581148789482
12,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",3,2,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.3449074074074074
13,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",3,2,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.5254629629629629
14,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",3,2,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.5433881922837911
15,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",3,2,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.30728390051306714
16,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",4,2,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.45601851851851855
17,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",4,2,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.6481481481481481
18,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",4,2,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.6382800760394863
19,"{'C': 2.0, 'gamma': 0.2, 'kernel': 'rbf', 'probability': True}",4,2,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y_split_with_one_hot_encoding,0.4462326138367805
