,best_params,column,i_outer,metric,model,params,refit,split_method,value
0,"{'hidden_layer_sizes': 80, 'max_iter': 800}",0,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.37037037037037035
1,"{'hidden_layer_sizes': 80, 'max_iter': 800}",0,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.5856481481481481
2,"{'hidden_layer_sizes': 80, 'max_iter': 800}",0,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.5776385359852094
3,"{'hidden_layer_sizes': 80, 'max_iter': 800}",0,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.2725373276414943
4,"{'hidden_layer_sizes': 80, 'max_iter': 800}",1,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.1712962962962963
5,"{'hidden_layer_sizes': 80, 'max_iter': 800}",1,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.375
6,"{'hidden_layer_sizes': 80, 'max_iter': 800}",1,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.4133031648779341
7,"{'hidden_layer_sizes': 80, 'max_iter': 800}",1,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.1518272506814173
8,"{'hidden_layer_sizes': 80, 'max_iter': 800}",2,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.1550925925925926
9,"{'hidden_layer_sizes': 80, 'max_iter': 800}",2,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.36342592592592593
10,"{'hidden_layer_sizes': 80, 'max_iter': 800}",2,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.4051137073427779
11,"{'hidden_layer_sizes': 80, 'max_iter': 800}",2,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.1390767295975629
12,"{'hidden_layer_sizes': 80, 'max_iter': 800}",3,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.21064814814814814
13,"{'hidden_layer_sizes': 80, 'max_iter': 800}",3,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.4305555555555556
14,"{'hidden_layer_sizes': 80, 'max_iter': 800}",3,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.45206279716755277
15,"{'hidden_layer_sizes': 80, 'max_iter': 800}",3,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.25562199374699374
16,"{'hidden_layer_sizes': 80, 'max_iter': 800}",4,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.39814814814814814
17,"{'hidden_layer_sizes': 80, 'max_iter': 800}",4,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.6273148148148148
18,"{'hidden_layer_sizes': 80, 'max_iter': 800}",4,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.6090316478862249
19,"{'hidden_layer_sizes': 80, 'max_iter': 800}",4,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.42551487093153756
20,"{'hidden_layer_sizes': 80, 'max_iter': 800}",5,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.5439814814814815
21,"{'hidden_layer_sizes': 80, 'max_iter': 800}",5,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.7430555555555556
22,"{'hidden_layer_sizes': 80, 'max_iter': 800}",5,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.7128556229119999
23,"{'hidden_layer_sizes': 80, 'max_iter': 800}",5,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [20, 40, 80, 100], 'max_iter': [800]}",accuracy,split_x_y,0.5750963003046337
