,best_params,column,i_outer,metric,model,params,refit,split_method,value
0,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",0,2,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.2962962962962963
1,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",0,2,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.5879629629629629
2,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",0,2,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.4692783492033516
3,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",0,2,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.335950176366843
4,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",1,2,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.09953703703703703
5,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",1,2,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.28935185185185186
6,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",1,2,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.36214567913456586
7,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",1,2,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.15966730800064133
8,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",2,2,accuracy,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.10416666666666667
9,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",2,2,hit@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.2986111111111111
10,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",2,2,mdcg,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.36581831101836265
11,"{'C': 2000000.0, 'gamma': 2e-10, 'kernel': 'rbf', 'probability': True}",2,2,map@5,SVC,"{'C': [0.002, 2.0, 2000.0, 2000000.0, 2000000000.0, 2000000000000.0], 'gamma': [2e-13, 2e-10, 2e-07, 0.0002, 0.2, 200.0], 'kernel': ['rbf'], 'probability': [True]}",accuracy,split_x_y,0.10768207872374538
