,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
0,0,"MLPClassifier-split_x_y-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",5.502153277397156,0.6126879453659058,0.29800868034362793,0.00688624382019043,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,1,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.596958174904943,0.6452054794520548,0.6201448321263989,0.02410544833202193,1,0.6410958904109589,0.6070975918884665,0.6240967411497127,0.016999149261246238,0.44858444980195633,0.48203521390723425,0.4646601955536699,0.016712760917432446,1,0.48436226975375946,0.45536770407210697,0.4698649869129332,0.014497282840826242,0.5604251997836375,0.5904253065727681,0.5748426309594541,0.0149887342090662,1,0.5944285152241032,0.5679285688421589,0.581178542033131,0.013249973190972153
1,0,"MLPClassifier-split_x_y-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",5.962868809700012,0.6467107534408569,0.3987666368484497,0.016765236854553223,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.3257287705956908,0.3410958904109589,0.33311389071757735,0.007677761818947269,2,0.35342465753424657,0.33079847908745247,0.34211156831084955,0.01131308922339705,0.5893536121673004,0.6315068493150685,0.6096115865701119,0.021060713953476574,2,0.6616438356164384,0.6387832699619772,0.6502135527892078,0.011430282827230576,0.44941596426653024,0.4787204987896037,0.46349911778979797,0.014641210518820315,2,0.4981730243275129,0.4753137406510294,0.4867433824892712,0.011429641838241772,0.5612038704594944,0.5865248846578116,0.5733726264600023,0.012650953357941903,2,0.6068525939630603,0.5873558754130896,0.597104234688075,0.009748359274985352
2,0,"MLPClassifier-split_x_y-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",12.430662512779236,2.2851284742355347,0.8509563207626343,0.03217208385467529,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.29277566539923955,0.34657534246575344,0.3186306780776827,0.026879539654696617,5,0.38904109589041097,0.35868187579214195,0.37386148584127643,0.015179610049134512,0.5690747782002535,0.6178082191780822,0.5924950625411455,0.024348333125752013,3,0.7287671232876712,0.6717363751584284,0.7002517492230498,0.0285153740646214,0.4280531793440139,0.47720762724696414,0.451675790910277,0.024558677740362217,3,0.5429223004049444,0.5030489812861909,0.5229856408455676,0.019936659559376735,0.544020185536763,0.5846912791747094,0.5635658724068755,0.020320201418485912,3,0.6462983109910109,0.6127045768172885,0.6295014439041497,0.016796867086861178
3,0,"MLPClassifier-split_x_y-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",18.221393585205078,4.10254430770874,0.9023497104644775,0.06635069847106934,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.302915082382763,0.33835616438356164,0.31994733377221857,0.017707168908617222,4,0.3972602739726027,0.4005069708491762,0.3988836224108895,0.001623348438286737,0.5576679340937896,0.6027397260273972,0.5793285055957867,0.02251889016154917,4,0.7684931506849315,0.7718631178707225,0.770178134277827,0.0016849835928954837,0.42868226038982504,0.46687252768844095,0.44703571340364306,0.01908072427660628,4,0.5622800010744438,0.5637005023072839,0.5629902516908638,0.0007102506164200495,0.5438285138602759,0.5763328985034102,0.559449449205561,0.01623992825991241,4,0.6631696674924541,0.6641557018403749,0.6636626846664144,0.0004930171739603861
4,0,"MLPClassifier-split_x_y-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",21.4609694480896,0.3466939926147461,0.6197894811630249,0.24646031856536865,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.33079847908745247,0.3287671232876712,0.32982225148123767,0.0010149114595151278,3,0.5164383561643836,0.44106463878326996,0.4787514974738268,0.037686858690556824,0.5449936628643853,0.5917808219178082,0.5674786043449638,0.0233759265051397,6,0.8863013698630137,0.826362484157161,0.8563319270100873,0.029969442852926353,0.43685625001909023,0.45723040018721084,0.44664764542575786,0.010179387818586178,5,0.672664864234163,0.6049272381066934,0.6387960511704283,0.03386881306373485,0.5496449670718109,0.5692567906160266,0.5590700040614603,0.009798512136158791,5,0.7512706199921375,0.6976989191898728,0.7244847695910052,0.02678585040113235
5,0,"MLPClassifier-split_x_y-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",14.995407700538635,0.9927698373794556,0.5596778392791748,0.3500034809112549,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.2902408111533587,0.3232876712328767,0.30612244897959184,0.0165109612994964,6,0.5643835616438356,0.5665399239543726,0.5654617427991041,0.0010781811552684761,0.5399239543726235,0.6150684931506849,0.576036866359447,0.03754391699083242,5,0.9164383561643835,0.9138149556400507,0.9151266559022171,0.0013117002621664264,0.4155270103965564,0.4566177264109851,0.43527435910658463,0.020529854281173345,6,0.7117084403599618,0.7096525087858117,0.7106804745728867,0.0010279657870750913,0.5342451375578612,0.5692795853914953,0.5510819689723133,0.017504005250074412,6,0.7814056230548269,0.7798094220773427,0.7806075225660848,0.0007981004887420706
0,1,"MLPClassifier-split_x_y-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",7.16529643535614,0.7091118097305298,0.37687253952026367,0.02712535858154297,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.08513341804320203,0.11065573770491803,0.09743252139565503,0.012752792009574522,4,0.10655737704918032,0.09783989834815757,0.10219863769866894,0.004358739350511377,0.2846251588310038,0.31010928961748635,0.2969058591178407,0.012733710092672492,1,0.33469945355191255,0.312579415501906,0.32363943452690924,0.011060019025003281,0.18953547886314165,0.2212006515257558,0.20479479840825918,0.01582220449653409,2,0.2254981562350835,0.21563445877842286,0.22056630750675318,0.004931848728330329,0.34249813253484335,0.3694134675999649,0.3554685244161265,0.01344884299323226,2,0.37807020287644477,0.3682826376201083,0.3731764202482766,0.004893782628168225
1,1,"MLPClassifier-split_x_y-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",7.095111608505249,0.8736531734466553,0.3819488286972046,0.0467909574508667,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.096569250317662,0.10245901639344263,0.09940750493745885,0.002942952002209508,3,0.1407103825136612,0.11308767471410419,0.1268990286138827,0.0138113538997785,0.2655654383735705,0.3114754098360656,0.2876892692560895,0.022939933555684366,3,0.3702185792349727,0.33672172808132145,0.35347015365814705,0.016748425576825626,0.19740258700322477,0.21157795301594934,0.20423363895932378,0.007083035430005801,3,0.26526850370366084,0.2305804428358349,0.24792447326974787,0.01734403043391297,0.3472093515560503,0.36113268984462965,0.3539189523639767,0.006957104198469205,4,0.4133315490382354,0.38205086226631607,0.3976912056522757,0.015640343385959654
2,1,"MLPClassifier-split_x_y-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",14.855538249015808,1.4704734086990356,0.8586710691452026,0.12024986743927002,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.10673443456162643,0.11612021857923498,0.11125740618828177,0.00468981475860501,1,0.18169398907103826,0.17026683608640406,0.17598041257872116,0.005713576492317102,0.2884371029224905,0.2978142076502732,0.29295589203423306,0.004685477959309087,2,0.48360655737704916,0.43456162642947904,0.4590840919032641,0.02452246547378506,0.20916567204007,0.2198048706519871,0.21429265912626047,0.0053161111076378605,1,0.3325446157982505,0.3047885292599501,0.3186665725291003,0.013878043269150209,0.35732834825334747,0.3668534950081993,0.3619184782234275,0.0047594504353579556,1,0.4732136493865322,0.44811854236491816,0.46066609587572516,0.012547553510807025
3,1,"MLPClassifier-split_x_y-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",22.897042751312256,1.381021499633789,0.9015712738037109,0.05470991134643555,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.09529860228716645,0.10792349726775956,0.10138248847926268,0.006308308255841356,2,0.2650273224043716,0.19822109275730623,0.2316242075808389,0.033403114823532684,0.2655654383735705,0.27459016393442626,0.26991441737985516,0.004509403907894873,5,0.6010928961748634,0.5387547649301143,0.5699238305524889,0.031169065622374537,0.19215497756260239,0.20638906038150298,0.19901432491180265,0.007112374582032512,5,0.4282209357738751,0.36058281111754176,0.39440187344570843,0.03381906232816667,0.34355539694806697,0.35664725525396884,0.34986431089139824,0.006541636818554046,5,0.5542264176682734,0.4991369184684983,0.5266816680683859,0.027544749599887564
