,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr
0,0,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",30.480637073516846,3.120248317718506,2.024356961250305,0.4779740571975708,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.3422391857506361,0.3773841961852861,0.3592105263157895,0.017562219127259915,6,0.4564032697547684,0.4211195928753181,0.43876143131504325,0.017641838439725166,0.19984250450865512,0.2102414606262416,0.20486410568648963,0.005196434537169956,6,0.2835588869282519,0.2300856793285421,0.256822283128397,0.02673660379985489,0.3422391857506361,0.3773841961852861,0.3592105263157895,0.017562219127259915,6,0.4564032697547684,0.4211195928753181,0.43876143131504325,0.017641838439725166,0.2459187628659712,0.26913248276187396,0.25712854602622953,0.01160006585653863,6,0.3455010726104419,0.29656962476451043,0.3210353486874762,0.024465723922965726,0.4582585143401388,0.5031771469219294,0.47994948560002976,0.022446169699256162,4,0.5734587066014939,0.5372083381211696,0.5553335223613318,0.01812518424016213
1,0,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",32.60441303253174,3.995194673538208,1.6219536066055298,0.3235565423965454,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.3524173027989822,0.4128065395095368,0.3815789473684211,0.030176943893950207,3,0.6934604904632152,0.6768447837150128,0.685152637089114,0.008307853374101226,0.23591797081330748,0.29209608798963044,0.2630460879234529,0.0280726166191361,5,0.5652177468354476,0.5411831043694767,0.5532004256024621,0.012017321232985434,0.3524173027989822,0.4128065395095368,0.3815789473684211,0.030176943893950207,3,0.6934604904632152,0.6768447837150128,0.685152637089114,0.008307853374101226,0.2815630967885131,0.33884913539391104,0.3092262233255934,0.028626253072008463,5,0.6091022077990463,0.5903181017741344,0.5997101547865904,0.009392053012455992,0.4591367652634866,0.5142228292590043,0.4857375356402695,0.027526909646148134,3,0.771986764015197,0.7569790936540116,0.7644829288346042,0.007503835180592666
2,0,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",42.95635259151459,1.3009830713272095,2.330251455307007,0.004377603530883789,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.36259541984732824,0.36103542234332425,0.3618421052631579,0.0007795421786611666,5,0.9250681198910081,0.9223918575063613,0.9237299886986847,0.0013381311923233996,0.27664558534041583,0.2908567817435243,0.2835080972877064,0.007101438929887297,4,0.8947849632144739,0.8927483320755929,0.8937666476450334,0.0010183155694404866,0.36259541984732824,0.36103542234332425,0.3618421052631579,0.0007795421786611666,5,0.9250681198910081,0.9223918575063613,0.9237299886986847,0.0013381311923233996,0.30718692147243115,0.32111259208819815,0.3139115545197818,0.0069587596026724555,4,0.9049386988848993,0.9016273873463327,0.903283043115616,0.0016556557692832818,0.45671767554769255,0.46978506635969,0.46302784979506495,0.00652987089841867,6,0.9536817179187752,0.9536471586089911,0.9536644382638831,1.7279654892066176e-05
3,0,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",55.664011001586914,2.520068407058716,2.1530879735946655,0.028966307640075684,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.361323155216285,0.3801089918256131,0.3703947368421053,0.009387420147033077,4,0.9904632152588556,0.9885496183206107,0.9895064167897332,0.000956798469122444,0.2992076478846962,0.3233217122855822,0.3108522026677556,0.012049974600083923,3,0.9890583181525585,0.9840860759380508,0.9865721970453046,0.0024861211072538802,0.361323155216285,0.3801089918256131,0.3703947368421053,0.009387420147033077,4,0.9904632152588556,0.9885496183206107,0.9895064167897332,0.000956798469122444,0.3209790014927117,0.34419419598590323,0.3321894967282397,0.011600802723604243,3,0.9891924229703788,0.9857574493180917,0.9874749361442352,0.0017174868261435328,0.4579601481365618,0.48842580613166947,0.47267185403683093,0.015223912440177583,5,0.9948910081743869,0.9937446988973706,0.9943178535358788,0.0005731546385081554
4,0,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",61.95059275627136,1.3974947929382324,2.094668388366699,0.37061452865600586,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.361323155216285,0.4100817438692098,0.3848684210526316,0.02436502387304304,2,0.9931880108991825,0.989821882951654,0.9915049469254182,0.001683063973764276,0.2981683961162249,0.35303609321498397,0.3246637182678625,0.027417790108450288,1,0.9946529628409738,0.9883118718996582,0.9914824173703161,0.003170545470657815,0.361323155216285,0.4100817438692098,0.3848684210526316,0.02436502387304304,2,0.9931880108991825,0.989821882951654,0.9915049469254182,0.001683063973764276,0.32068435842116944,0.3732945982559989,0.34608956634140947,0.026289722179340558,2,0.9934607115371102,0.9885123186584955,0.9909865150978029,0.0024741964393073523,0.4692923922540808,0.5092713628677535,0.4885980267477886,0.019977784434156112,2,0.9963669391462308,0.9946988973706531,0.9955329182584419,0.0008340208877888333
5,0,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",58.59076774120331,1.9969362020492554,0.7574297189712524,0.2693382501602173,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.3702290076335878,0.40463215258855584,0.3868421052631579,0.017191503513407678,1,0.9931880108991825,0.989821882951654,0.9915049469254182,0.001683063973764276,0.3057552506566608,0.3421356283754851,0.32332314358140885,0.01817954120737876,2,0.9945086447385494,0.987943099542834,0.9912258721406917,0.003282772597857697,0.3702290076335878,0.40463215258855584,0.3868421052631579,0.017191503513407678,1,0.9931880108991825,0.989821882951654,0.9915049469254182,0.001683063973764276,0.3282165594530641,0.3670152668287397,0.34695225104105476,0.019387998249511276,1,0.9932897581044675,0.9882019781386752,0.9907458681215713,0.0025438899828961747,0.4794296712566741,0.5073004757995041,0.49288833608196175,0.01392724516455493,1,0.9963669391462308,0.994698897370653,0.9955329182584418,0.0008340208877888888
0,1,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",31.896923184394836,3.9076372385025024,1.8946465253829956,0.21800291538238525,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.10814249363867684,0.13215258855585832,0.11973684210526316,0.011998020287571718,6,0.16212534059945505,0.16157760814249364,0.16185147437097436,0.0002738662284807042,0.030394137104812532,0.04116331115153282,0.03559451457211036,0.0053814351479502,6,0.041375368128541826,0.04743661120738578,0.0444059896679638,0.0030306215394219765,0.10814249363867684,0.13215258855585832,0.11973684210526316,0.011998020287571718,6,0.16212534059945505,0.16157760814249364,0.16185147437097436,0.0002738662284807042,0.04595220636335624,0.05982231667265309,0.052650009631135114,0.0069309957105882355,6,0.06577053505855093,0.07073092883853623,0.06825073194854359,0.002480196889992646,0.20666094565806686,0.2322195950921403,0.21900308295057339,0.01277184432176098,6,0.2889467430580807,0.29139174856005273,0.2901692458090667,0.0012225027509860098
1,1,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",35.60548639297485,0.6129047870635986,1.6182901859283447,0.2395801544189453,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.15394402035623408,0.16076294277929154,0.15723684210526315,0.003407465478725607,5,0.4128065395095368,0.43256997455470736,0.4226882570321221,0.009881717522585293,0.0931220309277828,0.09128581733647187,0.09223533304882081,0.0009175693805815949,5,0.29776227794850746,0.3145088375067778,0.30613555772764267,0.008373279779135184,0.15394402035623408,0.16076294277929154,0.15723684210526315,0.003407465478725607,5,0.4128065395095368,0.43256997455470736,0.4226882570321221,0.009881717522585293,0.10456741128980043,0.11433742916918846,0.10928530150261019,0.004882149493001521,5,0.3159810559457543,0.3360622049116809,0.32602163042871757,0.010040574482963277,0.24721840254952437,0.25502665624071175,0.2509889671609267,0.003901841559582234,5,0.5537903101558033,0.570674074340045,0.5622321922479241,0.008441882092120878
2,1,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",52.06443476676941,2.2745258808135986,2.5450291633605957,0.013721942901611328,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.16030534351145037,0.16621253405994552,0.1631578947368421,0.0029518663831969785,4,0.8133514986376021,0.7888040712468194,0.8010777849422108,0.012273713695391375,0.13510093471582849,0.14473729271110247,0.13975428127407263,0.004815358669942876,4,0.8129370384581139,0.7851469275990108,0.7990419830285624,0.01389505542955155,0.16030534351145037,0.16621253405994552,0.1631578947368421,0.0029518663831969785,4,0.8133514986376021,0.7888040712468194,0.8010777849422108,0.012273713695391375,0.1400282632784607,0.14809622191748897,0.14392423804230725,0.004031618024178714,4,0.7950644787970352,0.7697974531910965,0.7824309659940658,0.012633512802969371,0.25024023872624934,0.2612766388221393,0.2555696582462383,0.0055149699619675766,4,0.8725620098725038,0.8575196988144276,0.8650408543434657,0.007521155529038093
3,1,"MLPClassifier-split_x_y_split_with_bag_of_words-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",60.917612195014954,4.097251296043396,2.219809889793396,0.061734557151794434,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.17684478371501272,0.17166212534059946,0.17434210526315788,0.0025898123491076624,3,0.9482288828337875,0.9478371501272265,0.948033016480507,0.00019586635328050495,0.1552816097046902,0.16450802479836665,0.15973699699334712,0.0046105071994643615,3,0.9666100638958235,0.9698844574246344,0.9682472606602289,0.0016371967644054353,0.17684478371501272,0.17166212534059946,0.17434210526315788,0.0025898123491076624,3,0.9482288828337875,0.9478371501272265,0.948033016480507,0.00019586635328050495,0.16041212165624358,0.16304888639575116,0.16168540147124263,0.001317610652822834,3,0.949680367680977,0.9537233558033812,0.9517018617421791,0.0020214940612021115,0.2688575231671102,0.26745041586331103,0.26817803845593347,0.0007031418258031033,3,0.9643261786654158,0.9630950327100346,0.9637106056877252,0.0006155729776906038
