,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr
0,0,"MLPClassifier-split_x_y_split_with_bag_of_words_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",8.893771290779114,0.8348261117935181,1.0866570472717285,0.002346515655517578,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.33078880407124683,0.35013623978201636,0.3401315789473684,0.009668055331351098,5,0.39645776566757496,0.3511450381679389,0.3738014019177569,0.022656363749818026,0.14789515787857418,0.15074122186314062,0.1492695071974372,0.0014221990185519775,6,0.18868744682758354,0.14310264962813596,0.16589504822785975,0.02279239859972379,0.33078880407124683,0.35013623978201636,0.3401315789473684,0.009668055331351098,5,0.39645776566757496,0.3511450381679389,0.3738014019177569,0.022656363749818026,0.20439658012348771,0.2088109536584462,0.20652825786997425,0.0022058947876732946,6,0.25563522917458814,0.20211604195656316,0.22887563556557566,0.02675959360901249,0.4551836518836979,0.4839897614674634,0.46909397059059516,0.014394623943977485,3,0.5168209424126783,0.47136918972557773,0.494095066069128,0.022725876343550278
1,0,"MLPClassifier-split_x_y_split_with_bag_of_words_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",9.101503849029541,0.23100495338439941,1.0303471088409424,0.1570436954498291,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.3435114503816794,0.40463215258855584,0.3730263157894737,0.03054246255994466,1,0.4591280653950954,0.39567430025445294,0.42740118282477413,0.03172688257032122,0.18146113997005697,0.2729614559134782,0.22564616095852488,0.04572337805390326,5,0.28843959693528287,0.2350331390709721,0.2617363680031275,0.02670322893215539,0.3435114503816794,0.40463215258855584,0.3730263157894737,0.03054246255994466,1,0.4591280653950954,0.39567430025445294,0.42740118282477413,0.03172688257032122,0.23576806552566162,0.29254343018443985,0.2631845903016769,0.02837106556054664,5,0.3399888869632674,0.28011860334487443,0.3100537451540709,0.029935141809196486,0.45638124883871023,0.5119226384206886,0.4832018935447446,0.027754439176649777,1,0.5777349303165369,0.5271471569359859,0.5524410436262615,0.02529388669027549
2,0,"MLPClassifier-split_x_y_split_with_bag_of_words_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",16.589654326438904,2.989123225212097,2.1106868982315063,0.30934393405914307,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.3460559796437659,0.385558583106267,0.3651315789473684,0.019739740279653424,2,0.5177111716621253,0.4618320610687023,0.4897716163654138,0.02793955529671152,0.22666416610234338,0.24573392508959105,0.2358728523501327,0.00952929823881592,4,0.412308009132962,0.36392798285600536,0.3881179959944837,0.024190013138478322,0.3460559796437659,0.385558583106267,0.3651315789473684,0.019739740279653424,2,0.5177111716621253,0.4618320610687023,0.4897716163654138,0.02793955529671152,0.26294390859879757,0.2952365794251747,0.2785378693794297,0.016136884133577202,4,0.4337105028602115,0.3793612030656598,0.40653585296293565,0.02717464989727586,0.45326686066305727,0.49106992209900896,0.4715217600669971,0.018890466681008505,2,0.665138539914452,0.6168583023485166,0.6409984211314843,0.024140118782967734
3,0,"MLPClassifier-split_x_y_split_with_bag_of_words_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",27.628374457359314,3.1542168855667114,2.2682970762252808,0.14445698261260986,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.32188295165394404,0.3637602179836512,0.34210526315789475,0.020926376707170975,4,0.7138964577656676,0.683206106870229,0.6985512823179483,0.015345175447719295,0.23726368855594904,0.2829977661803601,0.2593484339351054,0.022853653559628543,3,0.7034167346025071,0.6943320396380593,0.6988743871202832,0.004542347482223874,0.32188295165394404,0.3637602179836512,0.34210526315789475,0.020926376707170975,4,0.7138964577656676,0.683206106870229,0.6985512823179483,0.015345175447719295,0.2670463649373982,0.3114232963265676,0.2884757515424313,0.022175477645714155,3,0.6891826757181866,0.656308885490564,0.6727457806043753,0.0164368951138113,0.4386387697240575,0.47793496345133113,0.45761469485288564,0.01963659582315068,5,0.8263508074355164,0.7984035894937981,0.8123771984646573,0.013973608970859142
4,0,"MLPClassifier-split_x_y_split_with_bag_of_words_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",35.307570457458496,2.278557062149048,2.1975936889648438,0.2189192771911621,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.3193384223918575,0.3474114441416894,0.33289473684210524,0.01402829458399593,6,0.9455040871934605,0.9033078880407125,0.9244059876170865,0.021098099576373985,0.24887862256741264,0.2963206938261972,0.2717881490831678,0.023707150488605368,1,0.9486804948492399,0.903903010476149,0.9262917526626944,0.022388742186545463,0.3193384223918575,0.3474114441416894,0.33289473684210524,0.01402829458399593,6,0.9455040871934605,0.9033078880407125,0.9244059876170865,0.021098099576373985,0.27648925338725355,0.312964360476603,0.29410289062645256,0.018226878167657747,2,0.9436895578172764,0.8995590443856977,0.9216243011014871,0.02206525671578935,0.44371349908704183,0.4685889175445202,0.4557257077369031,0.012430428798558739,6,0.9685399636693914,0.9461867401752898,0.9573633519223406,0.011176611747050813
5,0,"MLPClassifier-split_x_y_split_with_bag_of_words_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",35.71185863018036,2.0525139570236206,0.6809051036834717,0.14888930320739746,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.33587786259541985,0.3542234332425068,0.3447368421052632,0.009167416021055374,3,0.9931880108991825,0.989821882951654,0.9915049469254182,0.001683063973764276,0.2569496597056094,0.28585823381301106,0.27090945799168364,0.01444582621692074,2,0.9944713097982852,0.9901431618988872,0.9923072358485863,0.0021640739496990302,0.33587786259541985,0.3542234332425068,0.3447368421052632,0.009167416021055374,3,0.9931880108991825,0.989821882951654,0.9915049469254182,0.001683063973764276,0.2869837030573142,0.31379780465280843,0.2999320915909279,0.01339920296214785,1,0.9932704083495318,0.9893409217771751,0.9913056650633535,0.00196474328617835,0.45114673207025374,0.473458047090237,0.46192074866542987,0.011149127530545661,4,0.9962534059945504,0.994698897370653,0.9954761516826016,0.0007772543119486941
0,1,"MLPClassifier-split_x_y_split_with_bag_of_words_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",11.075984477996826,0.5370948314666748,1.0378025770187378,0.05669248104095459,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.1272264631043257,0.13896457765667575,0.13289473684210526,0.005865621815437166,4,0.14032697547683923,0.15012722646310434,0.14522710096997177,0.004900125493132554,0.029942818030994713,0.03514388105054018,0.032454383989117326,0.0025990092850816126,6,0.03609666235851615,0.03463863913862171,0.03536765074856893,0.0007290116099472194,0.1272264631043257,0.13896457765667575,0.13289473684210526,0.005865621815437166,4,0.14032697547683923,0.15012722646310434,0.14522710096997177,0.004900125493132554,0.04736709661000424,0.05357048481325049,0.050362680123940254,0.003099878520720511,6,0.05575251245262948,0.05441349554121543,0.05508300399692245,0.0006695084557070234,0.23016397890408435,0.24556664968573752,0.23760184755785635,0.0076968274035776486,2,0.2579846323962321,0.2646217888028873,0.2613032105995597,0.0033185782033275935
1,1,"MLPClassifier-split_x_y_split_with_bag_of_words_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",11.243526935577393,0.34326720237731934,1.0171548128128052,0.02830803394317627,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.15139949109414758,0.15940054495912806,0.15526315789473685,0.003998185218555518,1,0.20844686648501362,0.19974554707379136,0.2040962067794025,0.004350659705611132,0.058015410918540566,0.07806679588073173,0.06769811918317761,0.010019823928231315,5,0.0969110831105887,0.09069307129232693,0.0938020772014578,0.0031090059091308866,0.15139949109414758,0.15940054495912806,0.15526315789473685,0.003998185218555518,1,0.20844686648501362,0.19974554707379136,0.2040962067794025,0.004350659705611132,0.08187392039676131,0.09900739752399135,0.09014758632530528,0.008561724011430247,5,0.12445881679546152,0.11766164057958811,0.1210602286875248,0.0033985881079367022,0.24518246471371327,0.2580194969877811,0.25138140003553283,0.0064147590497971585,1,0.34634322217308333,0.3240537936806633,0.33519850792687333,0.011144714246210025
2,1,"MLPClassifier-split_x_y_split_with_bag_of_words_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",22.168057322502136,1.5464245080947876,2.1293481588363647,0.21030128002166748,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.13358778625954199,0.13487738419618528,0.13421052631578947,0.0006444215343598976,3,0.35013623978201636,0.2951653944020356,0.322650817092026,0.02748542268999038,0.07244746918822562,0.07277415799324725,0.0726052254927558,0.0001632487886404531,4,0.30813565681596944,0.25314246886940706,0.28063906284268825,0.02749659397328119,0.13358778625954199,0.13487738419618528,0.13421052631578947,0.0006444215343598976,3,0.35013623978201636,0.2951653944020356,0.322650817092026,0.02748542268999038,0.09336152848126737,0.09135010887385811,0.09239022453926843,0.0010051211100896732,4,0.2992024702807534,0.2423233712815048,0.2707629207811291,0.02843954949962431,0.21779673271900057,0.2275449049376876,0.22250407377723497,0.004871233056344762,5,0.493369247548087,0.44640517297080184,0.4698872102594444,0.023482037288642565
3,1,"MLPClassifier-split_x_y_split_with_bag_of_words_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",29.90321683883667,0.670182466506958,2.0489447116851807,0.16918110847473145,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.13231552162849872,0.12806539509536785,0.13026315789473683,0.0021238193578635386,5,0.5490463215258855,0.5419847328244275,0.5455155271751565,0.003530794350729005,0.09494215027585062,0.0966076751827783,0.09574642348748544,0.0008322749948178884,3,0.5509209800686687,0.5625878327063712,0.55675440638752,0.005833426318851254,0.13231552162849872,0.12806539509536785,0.13026315789473683,0.0021238193578635386,5,0.5490463215258855,0.5419847328244275,0.5455155271751565,0.003530794350729005,0.10896053086101362,0.10905955526047359,0.10900834922233178,4.948321769586632e-05,3,0.5312183443714567,0.5262112115121436,0.5287147779418001,0.002503566429656545,0.22500659480383242,0.21638421415374534,0.22084289256885617,0.004308666763865284,6,0.6804142023959592,0.6701665001498093,0.6752903512728843,0.005123851123074952
