,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
0,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",19.47971999645233,1.300188660621643,0.7853784561157227,0.011852264404296875,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.3710292249047014,0.3825136612021858,0.37656352863726134,0.005738452828357801,6,0.48633879781420764,0.45235069885641677,0.4693447483353122,0.016994049478895434,0.6162642947903431,0.6543715846994536,0.6346280447662936,0.019041150988654672,1,0.7377049180327869,0.6645489199491741,0.7011269189909806,0.03657799904180642,0.4858695104201714,0.5135668304231741,0.4992167377027244,0.013839579078337286,3,0.6004046534562422,0.5580679387262752,0.5792362960912587,0.02116835736498346,0.5904375081812063,0.6160713760658063,0.6027903661743118,0.012808529548494658,3,0.6862889151613524,0.6501376704408376,0.668213292801095,0.018075622360257393
1,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",21.141950607299805,0.6413271427154541,0.7402915954589844,0.10207343101501465,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.3684879288437103,0.3948087431693989,0.38117182356813695,0.013151777544798916,5,0.6830601092896175,0.639135959339263,0.6610980343144403,0.021962074975177215,0.5895806861499364,0.6174863387978142,0.6030283080974326,0.013943677096233457,4,0.8688524590163934,0.8462515883100381,0.8575520236632157,0.011300435353177651,0.4752089473659783,0.5047105107257057,0.4894256322766567,0.014741109212272618,5,0.7683200525506998,0.7326064169656883,0.7504632347581941,0.017856817792505753,0.5800115359561959,0.6050857765260595,0.5920947117936812,0.01252889937215082,5,0.8205934577540059,0.7927588708589078,0.8066761643064568,0.01391729344754905
2,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",30.171404123306274,1.7786412239074707,0.9295542240142822,0.08147859573364258,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.3799237611181703,0.40027322404371585,0.3897300855826201,0.010168059629207783,3,0.924863387978142,0.9059720457433291,0.9154177168607356,0.009445671117406462,0.576874205844981,0.6010928961748634,0.5885450954575379,0.012101404755327734,6,0.9904371584699454,0.9911054637865311,0.9907713111282382,0.00033415265829284113,0.47500405732048384,0.49423411717758914,0.48427094594155107,0.009608725105703955,6,0.9548947220053777,0.9433517879833001,0.9491232549943389,0.005771467011038811,0.5775619275142625,0.5944117588773371,0.5856817935825775,0.008419391247262842,6,0.9661213191616801,0.9575430693304596,0.9618321942460699,0.004289124915610232
3,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",34.70355403423309,2.893314242362976,0.895389199256897,0.07312285900115967,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.3748411689961881,0.4016393442622951,0.3877551020408163,0.01339030150607436,4,0.9849726775956285,0.9898348157560356,0.9874037466758321,0.002431069080203574,0.5857687420584498,0.6120218579234973,0.5984200131665569,0.013117950510290795,5,1.0,1.0,1.0,0.0,0.4807682062963533,0.502869704285111,0.4914188294219429,0.0110435027335484,4,0.9922586520947178,0.9947056332062686,0.9934821426504932,0.0012234905557754194,0.5835710461101562,0.6017488938096587,0.592330877917948,0.009082964008213174,4,0.9942749966334898,0.9960819673125797,0.9951784819730347,0.0009034853395449294
4,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",40.74270987510681,1.4629278182983398,0.765021800994873,0.1734943389892578,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.3951715374841169,0.41120218579234974,0.4028966425279789,0.00801006829955934,1,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.602287166454892,0.6284153005464481,0.6148782093482554,0.013055500600429567,3,1.0,1.0,1.0,0.0,0.49778444985734005,0.5145574356361868,0.5058672843472122,0.008380993649963654,1,0.9929417122040072,0.9955527318932655,0.9942472220486364,0.0013055098446291824,0.5975995697835231,0.6116084503335043,0.6043503930636984,0.006999847283037756,1,0.994779190959212,0.9967172913278274,0.9957482411435197,0.0009690501843077071
5,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",44.72655761241913,2.3475502729415894,0.34147369861602783,0.11245524883270264,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.39135959339263027,0.40437158469945356,0.3976300197498354,0.006501729504439261,2,0.9863387978142076,0.9911054637865311,0.9887221308003693,0.0023833329861617236,0.6073697585768743,0.6297814207650273,0.6181698485845951,0.011198483141917712,2,1.0,1.0,1.0,0.0,0.4963369366421635,0.5125865677827768,0.5041675686335585,0.008119487919406984,2,0.9929417122040072,0.9955527318932655,0.9942472220486364,0.0013055098446291824,0.5970171368917329,0.6110450320674045,0.6037771232436694,0.0070093483616929875,2,0.994779190959212,0.9967172913278274,0.9957482411435197,0.0009690501843077071
0,1,"MLPClassifier-split_x_y_split_with_one_hot_encoding-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",22.453002214431763,1.9036200046539307,0.8468490839004517,0.020035862922668457,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.12468193384223919,0.14870395634379263,0.13627386438446346,0.012003697872989145,6,0.17189631650750342,0.1717557251908397,0.17182602084917156,7.029565833185925e-05,0.30661577608142493,0.3424283765347885,0.3238973008558262,0.01789539726975326,6,0.44747612551159616,0.42748091603053434,0.43747852077106525,0.009997604740530908,0.22438832174500672,0.2506771196700631,0.23707409454228542,0.013136395476943471,6,0.3068880572482573,0.30062355289427034,0.3037558050712638,0.0031322521769934775,0.3719779489186396,0.3933499969114615,0.3822911228348598,0.010679517389356704,6,0.4497055579123265,0.442462207114139,0.4460838825132327,0.0036216753990937767
1,1,"MLPClassifier-split_x_y_split_with_one_hot_encoding-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",24.334012985229492,1.6209697723388672,0.8122655153274536,0.06506526470184326,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.16412213740458015,0.16234652114597545,0.16326530612244897,0.0008872675523170405,5,0.4433833560709413,0.4262086513994911,0.4347960037352162,0.008587352335725107,0.3384223918575064,0.339699863574352,0.3390388413429888,0.0006383469389104036,5,0.7339699863574352,0.6857506361323156,0.7098603112448754,0.024109675112559792,0.25517100648314894,0.2608190340791989,0.25789648655418557,0.002822294285874734,5,0.5760277523002874,0.5461398975129564,0.5610838249066219,0.014943927393665457,0.39442589100783837,0.3998929200721758,0.3970640294569228,0.0027318501240648388,5,0.6699555041934515,0.6439831741888606,0.6569693391911561,0.012986165002295436
2,1,"MLPClassifier-split_x_y_split_with_one_hot_encoding-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",33.61020076274872,1.5483585596084595,0.9502683877944946,0.011659979820251465,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.17684478371501272,0.17189631650750342,0.17445687952600394,0.002472727069067339,4,0.7953615279672579,0.7531806615776081,0.7742710947724329,0.021090433194824898,0.35877862595419846,0.35470668485675305,0.3568136932192232,0.00203473086777692,4,0.9413369713506139,0.9325699745547074,0.9369534729526606,0.004383498397953267,0.2717530463733383,0.2692114577097411,0.2705265918042687,0.001270020558562974,4,0.8619943589661799,0.8301899607272832,0.8460921598467316,0.015902199119448346,0.4075929141661916,0.4062733233830134,0.4069561399436309,0.0006593936491495484,4,0.8944290501363069,0.8701878203062398,0.8823084352212733,0.012120614915033578
3,1,"MLPClassifier-split_x_y_split_with_one_hot_encoding-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",39.53730273246765,1.1064774990081787,0.9809718132019043,0.08944988250732422,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.1895674300254453,0.19918144611186903,0.19420671494404212,0.0048040811068270845,3,0.9454297407912687,0.9389312977099237,0.9421805192505962,0.003249221540672531,0.35368956743002544,0.3683492496589359,0.3607636603028308,0.007325378051681104,3,0.9822646657571623,0.9783715012722646,0.9803180835147134,0.0019465822424488688,0.2798500031137679,0.29114954641653545,0.2853026464586847,0.0056463315651464575,3,0.961685472326673,0.9574300169720018,0.9595577446493374,0.0021277276773356,0.4141797664677925,0.42413049449337953,0.4189815331845504,0.004972334566238482,3,0.9706509914726474,0.9674757612750817,0.9690633763738645,0.0015876150987828574
