,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
0,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",6.695474982261658,0.7335876226425171,0.3983619213104248,0.008496284484863281,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.33079847908745247,0.38493150684931504,0.3568136932192232,0.027046089227540104,2,0.3863013698630137,0.3561470215462611,0.3712241957046374,0.01507717415837631,0.5906210392902408,0.6342465753424658,0.6115865701119158,0.021796307900202087,1,0.6602739726027397,0.6121673003802282,0.636220636491484,0.024053336111255763,0.45748069115456885,0.5035027222306682,0.4795979279455843,0.02299365120296715,2,0.5145320416098159,0.4780746834345191,0.4963033625221675,0.018228679087648414,0.5682262873444086,0.606573838349813,0.5866553276564199,0.01915930678609668,2,0.6178892942069111,0.586448330805908,0.6021688125064095,0.015720481700501554
1,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",6.766259431838989,0.7724337577819824,0.37602436542510986,0.0399402379989624,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.35994930291508237,0.37945205479452054,0.36932192231731403,0.009744017457037053,1,0.43561643835616437,0.3688212927756654,0.4022188655659149,0.03339757279024949,0.5944233206590621,0.6150684931506849,0.6043449637919684,0.010314796722302797,3,0.7246575342465753,0.6641318124207858,0.6943946733336805,0.030262860912894762,0.47070690163545953,0.49561866616415534,0.4826789807045497,0.01244648293501241,1,0.5594499525938128,0.506450650378195,0.532950301486004,0.026499651107808886,0.577590066618925,0.5981471830345576,0.587469391821961,0.0102708019082914,1,0.6566309377261867,0.6144288107885778,0.6355298742573823,0.02110106346880447
2,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",13.19771432876587,1.5828948020935059,0.8470157384872437,0.020573019981384277,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.32953105196451205,0.3767123287671233,0.35220539828834757,0.023572836677199484,4,0.4876712328767123,0.46134347275031684,0.4745073528135146,0.013163880063197742,0.55893536121673,0.5904109589041096,0.5740618828176431,0.015725922948332985,6,0.8356164383561644,0.8010139416983524,0.8183151900272584,0.017301248328906005,0.44502073617058924,0.4841818525111187,0.4638407591650504,0.01956578249152042,4,0.6407096706393051,0.6086227256353488,0.6246661981373269,0.01604347250197813,0.5561048249814184,0.5870466432974367,0.5709748232504727,0.0154592346601928,4,0.7250062204008175,0.6991754157542485,0.7120908180775329,0.01291540232328453
3,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",19.08967161178589,3.817202568054199,0.9094399213790894,0.12943994998931885,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.320659062103929,0.37123287671232874,0.34496379196840027,0.025267825559158907,5,0.6931506849315069,0.679340937896071,0.6862458114137889,0.006904873517717958,0.5690747782002535,0.6109589041095891,0.5892034233048059,0.020926259871233126,5,0.9534246575342465,0.926489226869455,0.9399569422018508,0.013467715332395769,0.43816078146804244,0.4826086484340556,0.4595215075280751,0.022207163087662136,5,0.8042566318764948,0.7912653516740973,0.797760991775296,0.006495640101198741,0.551441452995343,0.587856783358738,0.5689419080086928,0.01819392550129263,5,0.852207625100737,0.8419047394780854,0.8470561822894112,0.00515144281132579
4,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",25.968024492263794,1.211759090423584,0.7646303176879883,0.25310468673706055,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.3358681875792142,0.3424657534246575,0.3390388413429888,0.003296293629194387,6,0.9260273972602739,0.8960709759188846,0.9110491865895793,0.014978210670694658,0.5792141951837769,0.6150684931506849,0.5964450296247531,0.017913620983287807,4,0.9986301369863013,0.9974651457541192,0.9980476413702102,0.0005824956160910832,0.45076869414957826,0.4667331239605029,0.4584408691080871,0.00797619144882306,6,0.9594748858447488,0.9414901321745432,0.950482509009646,0.008992376835102789,0.56132834630351,0.5764776152220387,0.5686087717877272,0.00756891856677532,6,0.9698748488047619,0.9563809873465222,0.963127918075642,0.00674693072911986
5,0,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",24.549378156661987,2.083623170852661,0.3022429943084717,0.09983038902282715,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.3333333333333333,0.37534246575342467,0.3535220539828835,0.02098871596104946,3,0.9863013698630136,0.9847908745247148,0.9855461221938642,0.000755247669149417,0.5906210392902408,0.6301369863013698,0.6096115865701119,0.01974306394749071,2,1.0,1.0,1.0,0.0,0.4557295108553413,0.49059003473995255,0.47248275801516104,0.0174171088979108,3,0.9925799086757989,0.9918673426277989,0.9922236256517989,0.000356283024000037,0.5652330683442004,0.5939956555674742,0.579055773198045,0.014370441348259873,3,0.9944905679269109,0.9939670140605678,0.9942287909937393,0.0002617769331715869
0,1,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",7.619577765464783,0.381477952003479,0.5284336805343628,0.13355696201324463,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.12515802781289506,0.13873626373626374,0.1316655694535879,0.006783276308180422,6,0.1620879120879121,0.15170670037926676,0.15689730623358944,0.005190605854322669,0.33375474083438683,0.34065934065934067,0.337063857801185,0.0034493294029064397,2,0.3873626373626374,0.35651074589127685,0.3719366916269571,0.015425945735680263,0.23042514347926105,0.24678756584760358,0.23826704175717636,0.00817417171288059,6,0.2744532505895253,0.26282230628868886,0.2686377784391071,0.005815472150418222,0.3761837057256159,0.39038462648097866,0.38298967696320907,0.007094350831569684,6,0.41786492071712,0.4062430090848246,0.4120539649009723,0.0058109558161477115
1,1,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",7.6645283699035645,0.4202299118041992,0.3545651435852051,0.0921180248260498,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.15802781289506954,0.14835164835164835,0.1533903884134299,0.0048339193744956245,3,0.21703296703296704,0.1972187104930468,0.20712583876300691,0.009907128269960125,0.3299620733249052,0.34203296703296704,0.3357472021066491,0.006030253692052961,3,0.4835164835164835,0.438685208596713,0.4611008460565983,0.022415637459885257,0.24702074372885865,0.24741049478257018,0.24720753686059138,0.00019470784744428428,4,0.34822327545230697,0.32532136291873465,0.3367723191855208,0.01145095626678616,0.3877035850055975,0.3892366346331037,0.3884383184676281,0.0007658652623372463,4,0.48342893212400445,0.4634152562276617,0.4734220941758331,0.010006837948171365
2,1,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",16.622519493103027,1.3421247005462646,0.7967394590377808,0.04163253307342529,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.14538558786346398,0.15796703296703296,0.15141540487162608,0.00628530973945096,4,0.3173076923076923,0.29077117572692796,0.30403943401731015,0.013268258290382168,0.3147914032869785,0.32142857142857145,0.31797235023041476,0.0033157286161741377,6,0.6524725274725275,0.6523388116308471,0.6524056695516873,6.685792084021314e-05,0.23886676914869603,0.2487746865207782,0.24361526411043127,0.004949696083700112,5,0.47057250042599946,0.45245882388605885,0.4615156621560291,0.009056838269970308,0.3810833942544451,0.38970218022067954,0.38521405665300906,0.004305684993248484,5,0.5874185225354411,0.573266021361427,0.5803422719484341,0.00707625058700706
3,1,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",23.055376291275024,0.9225358963012695,0.8835610151290894,0.12878787517547607,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.1529709228824273,0.1620879120879121,0.15734035549703754,0.004554572274964472,1,0.554945054945055,0.5233881163084703,0.5391665856267627,0.015778469318292354,0.3198482932996207,0.3241758241758242,0.3219223173140224,0.0021619036398498135,5,0.8516483516483516,0.8381795195954488,0.8449139356219002,0.0067344160264514175,0.24654864402379703,0.25124772817423274,0.24880073965349891,0.0023475204266364407,3,0.6809199389438577,0.6571283496873461,0.669024144315602,0.011895794628255796,0.3876063863276718,0.3918920288664695,0.38966033482552875,0.0021409774924240977,3,0.7551452822498796,0.7363763088658568,0.7457607955578682,0.009384486692011418
4,1,"MLPClassifier-split_x_y_split_with_one_hot_encoding_and_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",30.12649393081665,0.8439931869506836,0.7899502515792847,0.15028607845306396,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.13527180783817952,0.16895604395604397,0.15141540487162608,0.016827626365235396,4,0.8557692307692307,0.8166877370417194,0.836228483905475,0.019540746863755676,0.30720606826801516,0.3447802197802198,0.32521395655036206,0.0187709105358869,4,0.9656593406593407,0.9532237673830595,0.9594415540212,0.006217786638140599,0.2347704844173978,0.2652918135614093,0.24939821820070288,0.015247533629934577,2,0.9052452208469902,0.8779540433111862,0.8915996320790882,0.013645588767902006,0.3796326019920027,0.4041378333981686,0.3913770446935753,0.012242073017588598,2,0.9279715041052666,0.9071323215761117,0.9175519128406892,0.010419591264577477
