,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr
0,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",9.253304243087769,0.8426716327667236,0.7126865386962891,0.016251325607299805,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.3303684879288437,0.3524590163934426,0.34101382488479265,0.011038021567968806,2,0.35382513661202186,0.33672172808132145,0.3452734323466716,0.008551704265350207,0.11069047275966412,0.1302641420154471,0.12012294537008752,0.009780417148275005,6,0.1260532467434851,0.12024099121692412,0.12314711898020461,0.002906127763280482,0.3303684879288437,0.3524590163934426,0.34101382488479265,0.011038021567968806,2,0.35382513661202186,0.33672172808132145,0.3452734323466716,0.008551704265350207,0.1658220209681455,0.188967205740286,0.17697559256341003,0.011565003939082932,6,0.18588379387933807,0.17465145812197572,0.18026762600065688,0.005616167878681175,0.4622739309731528,0.49385753910460933,0.4774939448982523,0.015781448972937557,2,0.49656447567030393,0.4741852865434877,0.4853748811068958,0.011189594563408123
1,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",8.606633186340332,0.8871016502380371,0.8293900489807129,0.06969404220581055,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.3290978398983482,0.3633879781420765,0.3456221198156682,0.017133826658310213,1,0.3551912568306011,0.34307496823379924,0.34913311253220014,0.00605814429840093,0.11253303987807947,0.23118000194324617,0.16970853443482864,0.05928458109764216,5,0.12845297349955095,0.21770538926155938,0.17307918138055517,0.044626207881004215,0.3290978398983482,0.3633879781420765,0.3456221198156682,0.017133826658310213,1,0.3551912568306011,0.34307496823379924,0.34913311253220014,0.00605814429840093,0.1671179998592285,0.22839691596035938,0.19664806344450025,0.030619366968517407,5,0.18862072196027765,0.19779578265406458,0.19320825230717112,0.004587530346893465,0.4599220298524777,0.49862074818807073,0.478570786812092,0.019336671294467436,1,0.49991231464200575,0.48513539196821,0.49252385330510784,0.0073884613368978835
2,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",16.17131245136261,1.9718674421310425,1.4787681102752686,0.12229156494140625,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.3418043202033037,0.337431693989071,0.3396971691902567,0.00218487948528317,3,0.4057377049180328,0.35578144853875476,0.3807595767283938,0.024978128189639015,0.19172276413371153,0.1903695834428567,0.19107067179289144,0.0006761466877060384,4,0.2885576153288608,0.20571677343939357,0.24713719438412718,0.041420420944733624,0.3418043202033037,0.337431693989071,0.3396971691902567,0.00218487948528317,3,0.4057377049180328,0.35578144853875476,0.3807595767283938,0.024978128189639015,0.23901055336977917,0.22697600960815126,0.23321115505936996,0.00601332620061089,4,0.3068669904207192,0.23660662597519486,0.27173680819795704,0.035130182222762166,0.4633430411104164,0.4750848936383022,0.4690013926906747,0.0058670765463313046,3,0.5576070227985238,0.5095571790708251,0.5335821009346744,0.024024921863849358
3,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",28.039548635482788,3.2671515941619873,1.7344138622283936,0.020398616790771484,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.32147395171537485,0.33060109289617484,0.32587228439763,0.004560578139586656,5,0.43989071038251365,0.39644218551461247,0.41816644794856306,0.021724262433950592,0.2091081943355444,0.22389672158387092,0.21623472622874715,0.00738941501499685,3,0.39510877766928737,0.31881075530583186,0.3569597664875596,0.038149011181727754,0.32147395171537485,0.33060109289617484,0.32587228439763,0.004560578139586656,5,0.43989071038251365,0.39644218551461247,0.41816644794856306,0.021724262433950592,0.23705553305664304,0.24099354234927786,0.23895324392050657,0.0019677135192407904,3,0.3635170617192763,0.3030715255298548,0.33329429362456553,0.03022276809471075,0.44635622702731853,0.46655062207216774,0.4560878249027824,0.010090576529861898,5,0.5990376669384369,0.5605170505264221,0.5797773587324295,0.01926030820600738
4,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",35.392874121665955,2.0938678979873657,1.4945732355117798,0.33630239963531494,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.33799237611181704,0.3333333333333333,0.3357472021066491,0.0023279938620484417,4,0.45901639344262296,0.5044472681067345,0.48173183077467874,0.02271543733205575,0.2372432922167073,0.24351212923633453,0.2402642196020708,0.003132363190840616,2,0.45804694520199696,0.4985149714331724,0.47828095831758466,0.02023401311558773,0.33799237611181704,0.3333333333333333,0.3357472021066491,0.0023279938620484417,4,0.45901639344262296,0.5044472681067345,0.48173183077467874,0.02271543733205575,0.26140709118471545,0.2696844470865936,0.2653959157536258,0.004135964113176503,2,0.39257197390066956,0.4473816951024331,0.4199768345015513,0.027404860600881764,0.45862084388033775,0.46322126546587433,0.4608377685680355,0.002298702485288147,4,0.6321179946292231,0.6668224598076362,0.6494702272184296,0.01735223258920654
5,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",30.702170729637146,1.2651382684707642,0.5409085750579834,0.1840829849243164,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.2884371029224905,0.3087431693989071,0.29822251481237655,0.010146375632728204,6,0.592896174863388,0.6289707750952986,0.6109334749793434,0.018037300115955335,0.2599539113850623,0.28391975670960473,0.2715029560049208,0.011975065151149919,1,0.6245944757122708,0.6645821897962697,0.6445883327542703,0.019993857041999463,0.2884371029224905,0.3087431693989071,0.29822251481237655,0.010146375632728204,6,0.592896174863388,0.6289707750952986,0.6109334749793434,0.018037300115955335,0.2682401896758067,0.28728705318744174,0.27741879671367164,0.00951718699625065,1,0.583197870945983,0.6099521831828946,0.5965750270644388,0.013377156118455802,0.42560059515786336,0.4473450320918193,0.4360791519950298,0.010865089273214048,6,0.7375238528927046,0.7556128779666157,0.7465683654296602,0.00904451253695554
0,1,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",11.212405800819397,1.0156499147415161,0.6906434297561646,0.03756153583526611,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.12213740458015267,0.1145975443383356,0.1184990125082291,0.0037676346503081534,4,0.14051841746248295,0.10814249363867684,0.1243304555505799,0.016187961911903054,0.043771613997368265,0.013132597168376794,0.028986624309645586,0.015310180527757815,6,0.051077553343607696,0.011694798930391262,0.031386176136999476,0.019691377206608216,0.12213740458015267,0.1145975443383356,0.1184990125082291,0.0037676346503081534,4,0.14051841746248295,0.10814249363867684,0.1243304555505799,0.016187961911903054,0.0556341293420535,0.023564733719510872,0.04015890419964155,0.016024934453269645,6,0.06482837057485168,0.021107030905367467,0.04296770074010957,0.021860669834742105,0.22791659873335474,0.22583818175962628,0.22691364966044955,0.0010385757238015854,2,0.25481252247612574,0.2190677629162131,0.23694014269616942,0.017872379779956316
1,1,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",10.491350173950195,0.784060001373291,0.7467933893203735,0.029820799827575684,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.12340966921119594,0.1432469304229195,0.13298222514812377,0.009912591256531277,1,0.15688949522510232,0.14631043256997456,0.15159996389753844,0.005289531327563879,0.0543665411582983,0.06111899930657754,0.05762496895467006,0.0033741733239449822,5,0.08112023118573242,0.061055883569877345,0.07108805737780488,0.010032173807927536,0.12340966921119594,0.1432469304229195,0.13298222514812377,0.009912591256531277,1,0.15688949522510232,0.14631043256997456,0.15159996389753844,0.005289531327563879,0.0561450654060627,0.07372542264722137,0.06462854260011754,0.008784826373734308,5,0.0741202794497549,0.0734502217662629,0.07378525060800889,0.0003350288417460004,0.2249308411576197,0.25031015294733955,0.2371777374985444,0.012681929297522222,1,0.2803781503947154,0.261432363877549,0.2709052571361322,0.00947289325858322
2,1,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",20.31148386001587,2.4961698055267334,1.5182856321334839,0.16410768032073975,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.11704834605597965,0.12687585266030013,0.1217906517445688,0.004910761369715642,2,0.2073669849931787,0.16030534351145037,0.18383616425231453,0.02353082074086417,0.0608331392873718,0.07032677978072936,0.0654143364444693,0.0047439299580070895,4,0.19232432038791575,0.09538735899776905,0.1438558396928424,0.04846848069507335,0.11704834605597965,0.12687585266030013,0.1217906517445688,0.004910761369715642,2,0.2073669849931787,0.16030534351145037,0.18383616425231453,0.02353082074086417,0.06586648886669587,0.07763470030405598,0.07154529004087952,0.005880522948906197,4,0.15484118831127186,0.10429998123733546,0.12957058477430367,0.0252706035369682,0.2122250899318179,0.23601334383329495,0.22370421442805405,0.011886884742565707,3,0.34291220226735925,0.2934003470502485,0.31815627465880386,0.024755927608555384
3,1,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(2 of 5)",30.980355978012085,1.942277431488037,1.6461904048919678,0.02558588981628418,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.11195928753180662,0.1145975443383356,0.11323238973008558,0.001318325199923662,6,0.2810368349249659,0.27989821882951654,0.2804675268772412,0.0005693080477246759,0.07074966797649979,0.07905799403013082,0.07475888653957519,0.004151633600860287,3,0.311456307029143,0.3140847676422496,0.31277053733569626,0.0013142303065532823,0.11195928753180662,0.1145975443383356,0.11323238973008558,0.001318325199923662,6,0.2810368349249659,0.27989821882951654,0.2804675268772412,0.0005693080477246759,0.0792820777513279,0.0889855896736285,0.0839645492714374,0.0048488017782312995,3,0.24055507855049635,0.25646678197419615,0.24851093026234625,0.007955851711849898,0.20954302946899558,0.21416869932200094,0.21177516640267094,0.002311426665763875,5,0.430969608930599,0.4392305151425083,0.43510006203655366,0.004130453105954668
