,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
0,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",6.159321904182434,0.49192774295806885,0.36523985862731934,0.002725839614868164,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,1,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.5893536121673004,0.6383561643835617,0.6129032258064517,0.024482787207995516,1,0.6452054794520548,0.6020278833967047,0.6236166814243798,0.02158879802767505,0.45342933857499024,0.4812731114887824,0.46681048026496275,0.013911380866605262,1,0.4903362214385187,0.45468373152569425,0.47250997648210646,0.01782624495641222,0.5648379571837459,0.5900970879564251,0.5769769732891151,0.012620034994038949,1,0.5986668642066718,0.5672088898665867,0.5829378770366292,0.015728987170042563
1,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",6.307319164276123,0.4553191661834717,0.4151291847229004,0.036455392837524414,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.3231939163498099,0.34383561643835614,0.33311389071757735,0.010313061830919025,2,0.34794520547945207,0.3244613434727503,0.3362032744761012,0.011741931003350886,0.5944233206590621,0.6273972602739726,0.6102699144173799,0.016474528580436878,2,0.6506849315068494,0.6134347275031685,0.6320598295050089,0.01862510200184042,0.45009628284537423,0.47986881332209874,0.4644043455497908,0.014875031918507312,2,0.49453390807142644,0.4634489687974863,0.47899143843445635,0.015542469636970063,0.5612284384993603,0.5875552522534987,0.5738805609750159,0.013153473642811756,2,0.6032132539545496,0.5772739407053071,0.5902435973299284,0.01296965662462124
2,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",14.019824981689453,1.7874343395233154,0.8739851713180542,0.0658646821975708,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.32192648922686945,0.3356164383561644,0.3285055957867018,0.006839809280578403,3,0.3726027397260274,0.35868187579214195,0.3656423077590847,0.006960431966942737,0.5652724968314322,0.6205479452054794,0.5918367346938775,0.02761686849280585,3,0.7082191780821918,0.6641318124207858,0.6861754952514888,0.022043682830703015,0.4425859293482254,0.4731470387776646,0.4572729667962113,0.015269023860208907,3,0.5253273799025634,0.5014490551371839,0.5133882175198736,0.011939162382689772,0.5546076751434093,0.5818239172200611,0.5676872384850524,0.01359785221845737,3,0.6306039455205396,0.6102695358457574,0.6204367406831485,0.010167204837391086
3,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",19.251306653022766,1.4582244157791138,0.9574036598205566,0.0694279670715332,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.2991128010139417,0.3232876712328767,0.3107307439104674,0.012078313813921816,5,0.4383561643835616,0.385297845373891,0.4118270048787263,0.02652915950483531,0.5335868187579215,0.6041095890410959,0.5674786043449638,0.035234776559012526,4,0.7931506849315069,0.7680608365019012,0.7806057607167041,0.012544924214802855,0.4180811076138717,0.4561209836917501,0.4363622857158146,0.019005585409573037,5,0.5960126126122316,0.5522398452549199,0.5741262289335758,0.021886383678655863,0.5348439001708328,0.5684813557734559,0.5510093659969783,0.016806036226499458,5,0.689687719080683,0.6553153688467778,0.6725015439637304,0.01718617511695264
4,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",25.31349790096283,0.2499464750289917,0.6468895673751831,0.26356446743011475,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.3155893536121673,0.3232876712328767,0.31928900592495063,0.003846254197854751,4,0.5506849315068493,0.5019011406844106,0.5262930360956299,0.024391895411219333,0.5335868187579215,0.5931506849315068,0.5622119815668203,0.029759459351782203,6,0.9013698630136986,0.8897338403041825,0.8955518516589405,0.005818011354758068,0.42649525147219874,0.4535029749255437,0.43947460507387204,0.013493671581889775,4,0.6994501787499255,0.6613595880350039,0.6804048833924647,0.0190452953574608,0.5416209801332218,0.5662085239337875,0.5534372454224996,0.01228449490099739,4,0.771712182567119,0.7424489035653581,0.7570805430662386,0.014631639500880478
5,0,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",20.475945472717285,1.768526315689087,0.5825501680374146,0.3757117986679077,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.25602027883396705,0.3136986301369863,0.2837393021724819,0.028817413330386156,6,0.6219178082191781,0.5880861850443599,0.605001996631769,0.01691581158740907,0.5373891001267427,0.5931506849315068,0.5641869651086241,0.02785975328653599,5,0.9465753424657535,0.9467680608365019,0.9466717016511277,9.635918537420629e-05,0.3915720948429539,0.4515120989068725,0.4203780217466146,0.02994738637830221,6,0.7536371023032877,0.7427053952244065,0.7481712487638471,0.005465853539440624,0.5158331041324545,0.5655978823488028,0.5397490278308972,0.02486361261647984,6,0.8138376191963258,0.8062038219860557,0.8100207205911907,0.003816898605135066
0,1,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",7.2592453956604,0.1925966739654541,0.27359700202941895,0.005630016326904297,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.11181702668360864,0.10109289617486339,0.10664911125740618,0.005358549210035462,5,0.13114754098360656,0.1207115628970775,0.12592955194034203,0.00521798904326453,0.289707750952986,0.30601092896174864,0.2975641869651086,0.008146243797451136,3,0.3319672131147541,0.3240152477763659,0.32799123044556,0.003975982669194078,0.21372016921059014,0.20928959209861173,0.21158509189263874,0.0022138359342076816,5,0.2448123574041787,0.2299712871683611,0.2373918222862699,0.0074205351179088,0.36289470629058496,0.36143212826743315,0.3621898958146488,0.0007308094865298611,4,0.3932267348063344,0.38022901213523347,0.38672787347078397,0.006498861335550471
1,1,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",7.519337892532349,0.5884909629821777,0.3372936248779297,0.023029088973999023,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.13468869123252858,0.12704918032786885,0.13100724160631994,0.0038172507402664336,1,0.1448087431693989,0.14866581956797967,0.1467372813686893,0.0019285381992903833,0.32655654383735705,0.3224043715846995,0.3245556287030941,0.0020747247831668404,1,0.40437158469945356,0.3684879288437103,0.3864297567715819,0.017941827927871634,0.239391610359748,0.23258912238890417,0.23611351872402866,0.0033990137021100023,1,0.27733987545015737,0.2665610136235417,0.2719504445368495,0.005389430913307847,0.38367612514792626,0.37884540893841495,0.3813482224057523,0.0024137742922163492,1,0.4241292638715621,0.41297522246500923,0.41855224316828565,0.005577020703276425
2,1,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",15.853265285491943,0.338869571685791,0.7857553958892822,0.029636383056640625,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.11181702668360864,0.11612021857923498,0.11389071757735353,0.002150185090915817,3,0.20901639344262296,0.17534942820838628,0.19218291082550462,0.01683348261711834,0.3202033036848793,0.29508196721311475,0.30809743252139565,0.012552431882103155,2,0.4931693989071038,0.42312579415501905,0.4581475965310614,0.03502180237604238,0.21768106780651267,0.21756623876278594,0.2176257321514712,5.737687368213278e-05,2,0.35194210714143387,0.30698373817168384,0.32946292265655885,0.022479184484875014,0.3657256168003421,0.36559076469517016,0.3656606321123988,6.738183958610683e-05,2,0.4892660757208239,0.45007325818741506,0.4696696669541195,0.019596408766704432
3,1,"MLPClassifier-split_x_y_with_projection-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",22.93035662174225,1.8660582304000854,0.8987737894058228,0.012404084205627441,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.11181702668360864,0.11202185792349727,0.1119157340355497,0.00010234846338364817,4,0.2185792349726776,0.24904701397712833,0.23381312447490296,0.015233889502225373,0.2846251588310038,0.30601092896174864,0.29493087557603687,0.010685873465140322,4,0.5519125683060109,0.5578144853875476,0.5548635268467792,0.002950958540768378,0.20812094923791558,0.21972081002807672,0.21371087556997478,0.005796127231289357,4,0.3784481790196342,0.39769951178020446,0.3880738453999193,0.009625666380285142,0.35605110519885375,0.36791489343540607,0.36176821710744905,0.00592800442247169,5,0.5128298034693533,0.5259788770164877,0.5194043402429205,0.00657453677356723
