,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
0,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",6.032389998435974,1.049042820930481,0.31588315963745117,0.031075477600097656,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.3193916349809886,0.34383561643835614,0.33113890717577354,0.012212767896165265,2,0.34383561643835614,0.3193916349809886,0.33161362570967234,0.012221990728683768,0.5830164765525983,0.6328767123287671,0.6069782751810402,0.024911305379790753,1,0.6301369863013698,0.6032953105196451,0.6167161484105075,0.013420837890862347,0.44286080236884456,0.4843178491705413,0.462784202082629,0.02071288145642821,2,0.47633203000283836,0.4540040563675035,0.4651680431851709,0.01116398681766742,0.5563693099780126,0.5930132201695112,0.5739796157316623,0.01830812917106887,1,0.5868773689937258,0.5673961314982938,0.5771367502460099,0.009740618747715979
1,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",6.472774505615234,0.7635879516601562,0.42053115367889404,0.022395730018615723,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.320659062103929,0.3410958904109589,0.3304805793285056,0.010210703239275616,3,0.3410958904109589,0.320659062103929,0.33087747625744396,0.010218414153514932,0.5602027883396705,0.6301369863013698,0.5938117182356814,0.03494071246946068,5,0.6178082191780822,0.5906210392902408,0.6042146292341615,0.013593589943920681,0.4408296826650488,0.47827739166757804,0.45882627751155725,0.01870972529940222,3,0.4750525537045137,0.4476779788839329,0.4613652662942233,0.013687287410290405,0.5535406778329796,0.5882619330857174,0.5702269953672118,0.01734752712870299,3,0.5861225808614287,0.5613284079323377,0.5737254943968833,0.01239708646454546
2,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",12.538336396217346,2.343288779258728,0.8477009534835815,0.025080084800720215,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.3358681875792142,0.33972602739726027,0.3377221856484529,0.0019274643273868206,1,0.3547945205479452,0.3193916349809886,0.3370930777644669,0.017701442783478294,0.5728770595690748,0.6232876712328768,0.597103357472021,0.025186285664120994,3,0.6410958904109589,0.623574144486692,0.6323350174488255,0.008760872962133459,0.4510189756041041,0.4789854103767843,0.46445906604785425,0.013972665515136241,1,0.4937590042664021,0.46441169247021674,0.4790853483683094,0.014673655898092691,0.5613916152477836,0.5875374945564863,0.5739567843691483,0.013063074687535954,2,0.6025343809384006,0.5790789229999285,0.5908066519691646,0.011727728969236073
3,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",12.367014765739441,2.0908132791519165,0.8091331720352173,0.04170548915863037,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.30164765525982257,0.3273972602739726,0.3140223831468071,0.012865087056469007,6,0.32465753424657534,0.3155893536121673,0.3201234439293713,0.0045340903172040314,0.5614702154626109,0.6301369863013698,0.5944700460829493,0.03430747711437863,4,0.6452054794520548,0.5994930291508238,0.6223492543014393,0.022856225150615472,0.42980120036108976,0.4651219798261485,0.446775636838702,0.01764706303147629,6,0.4818988402821595,0.45262672542632615,0.46726278285424283,0.014636057427916682,0.5449332073869534,0.5762708627625579,0.5599934367643011,0.01565700383874739,6,0.5958323491916431,0.568926129146488,0.5823792391690655,0.013453110022577541
4,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",10.56420910358429,0.21710312366485596,0.8345078229904175,0.22575724124908447,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.3181242078580482,0.33287671232876714,0.32521395655036206,0.007370686044017076,4,0.35753424657534244,0.3358681875792142,0.3467012170772783,0.010833029498064112,0.5741444866920152,0.626027397260274,0.5990783410138248,0.025921879610846455,2,0.6561643835616439,0.6375158428390367,0.6468401132003403,0.009324270361303566,0.4446417934590607,0.4685160601298723,0.4561152725042829,0.01192812545903382,4,0.5020942186510942,0.47488879380074184,0.48849150622591797,0.013602712425176161,0.5573632427907921,0.5785564728108119,0.5675482710426779,0.010588618701743125,4,0.6111064107627479,0.5875931694099773,0.5993497900863626,0.011756620676385277
5,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",6.38502037525177,0.5000878572463989,0.4902075529098511,0.2826312780380249,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.311787072243346,0.3287671232876712,0.31994733377221857,0.008483618866716124,5,0.33972602739726027,0.33713561470215464,0.33843082104970745,0.001295206347552813,0.5602027883396705,0.6109589041095891,0.5845951283739302,0.025358907356807712,6,0.6684931506849315,0.6020278833967047,0.6352605170408181,0.03323263364411344,0.4389006027033881,0.46536483675532353,0.45161876653348215,0.01322213194236678,5,0.49274708405613954,0.46958175178992306,0.48116441792303133,0.011582666133108238,0.5523919324473009,0.5756470684092628,0.5635678700722069,0.011618793705622174,5,0.603925465307107,0.5823085318749835,0.5931169985910453,0.010808466716061726
0,1,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",7.260422229766846,0.5620877742767334,0.38243865966796875,0.024364709854125977,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.10872313527180784,0.09752747252747253,0.10335747202106649,0.005593014753656368,5,0.1304945054945055,0.1011378002528445,0.115816152873675,0.014678352620830504,0.2895069532237674,0.3159340659340659,0.3021724818959842,0.013202186834363656,5,0.32967032967032966,0.30973451327433627,0.31970242147233296,0.0099679081979967,0.21063121518273598,0.2106081812908362,0.21062017589813883,1.1507036266771235e-05,5,0.23797130413951822,0.21240848025520465,0.22518989219736144,0.01278141194215679,0.3588633291202532,0.36283989240248554,0.3607691474674982,0.0019865708367847144,5,0.3867718215448317,0.36496558430747417,0.37586870292615293,0.010903118618678764
1,1,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",7.02394437789917,0.5691518783569336,0.35961198806762695,0.0028378963470458984,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.0986093552465234,0.10714285714285714,0.10269914417379855,0.004263079649366736,6,0.10851648351648352,0.10366624525916561,0.10609136438782457,0.002425119128658955,0.2857142857142857,0.3076923076923077,0.29624753127057274,0.010979555564181029,6,0.32142857142857145,0.29835651074589126,0.30989254108723135,0.011536030341340098,0.20316455446031662,0.21260506731214332,0.20768903988239024,0.0047161949112003295,6,0.22361925007326652,0.20840804988325395,0.21601364997826022,0.007605600095006285,0.3548714232309481,0.3633763623913984,0.358947523105081,0.0042488105697375145,6,0.37540367289628324,0.3601836950314396,0.3677936839638614,0.007609988932421818
2,1,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",13.954533100128174,5.105434417724609,0.8117697238922119,0.0989835262298584,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.10240202275600506,0.12637362637362637,0.11389071757735353,0.011975488701639905,4,0.10302197802197802,0.13780025284450062,0.12041111543323932,0.017389137411261302,0.27686472819216185,0.3324175824175824,0.3034891375905201,0.02775252706211681,4,0.35302197802197804,0.35651074589127685,0.3547663619566275,0.0017443839346494017,0.19748462466261668,0.23358052862393844,0.2147840440726511,0.018032422734811655,4,0.22577324185567732,0.2526838664898058,0.23922855417274155,0.013455312317064233,0.3467381079497113,0.37842384116991323,0.3619238971428035,0.015829234715977546,4,0.3776258939058504,0.39943548057512385,0.3885306872404871,0.010904793334636731
3,1,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(3 of 5)",22.766557812690735,1.1589022874832153,0.7855995893478394,0.02171909809112549,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.1264222503160556,0.12774725274725274,0.12705727452271232,0.0006619311706281715,1,0.16895604395604397,0.16940581542351454,0.16918092968977927,0.00022488573373528886,0.2970922882427307,0.3241758241758242,0.31007241606319946,0.013530116038161129,1,0.41620879120879123,0.3969658659924147,0.406587328600603,0.009621462608188275,0.21992059826510718,0.2377953586706712,0.2284873037129351,0.008929690090653733,1,0.29429194275504955,0.2858558124444961,0.2900738775997728,0.004218065155276729,0.36508173485389855,0.38203700854550415,0.3732077646415805,0.008470342316931048,1,0.43864463591587693,0.4298227501051134,0.4342336930104952,0.004410942905381771
