,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr
0,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",8.232818126678467,0.29263901710510254,0.6598485708236694,0.05818307399749756,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,1,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.10445430756552791,0.12106586601613811,0.11243747917115361,0.008299511603897821,6,0.12106586601613811,0.10445430756552791,0.11276008679083302,0.0083057792253051,0.3231939163498099,0.34794520547945207,0.33508887425938116,0.012366305783630403,1,0.34794520547945207,0.3231939163498099,0.33556956091463097,0.012375644564821098,0.15788208557318298,0.1796302483572781,0.1683338030401938,0.010865875704962875,6,0.1796302483572781,0.15788208557318298,0.16875616696523055,0.010874081392047555,0.4485337820999829,0.48106938618449613,0.46416972086344216,0.016255526201355522,1,0.4810841945836869,0.4488138708083168,0.46494903269600185,0.016135161887685046
1,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",9.015292167663574,0.25565290451049805,0.7356923818588257,0.026102185249328613,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.30544993662864384,0.34383561643835614,0.3238973008558262,0.019178356802068194,4,0.33013698630136984,0.3231939163498099,0.3266654513255899,0.003471534975779983,0.13271978338518262,0.12112932950810329,0.12714965084386073,0.0057908538041913085,4,0.15196023487018956,0.10610455620451309,0.12903239553735132,0.022927839332838235,0.30544993662864384,0.34383561643835614,0.3238973008558262,0.019178356802068194,4,0.33013698630136984,0.3231939163498099,0.3266654513255899,0.003471534975779983,0.18321536437383282,0.17914717246224096,0.18126027543672812,0.0020325610072966754,4,0.20536313228467998,0.15975285785761792,0.18255799507114895,0.02280513721353103,0.42827439282709756,0.479877967940811,0.45307400430373407,0.025782317278192832,4,0.46245837119897365,0.45634640907638335,0.4594023901376785,0.003055981061295149
2,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",16.57192814350128,2.720336079597473,1.3834205865859985,0.0018721818923950195,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.302915082382763,0.3356164383561644,0.3186306780776827,0.016338339606809655,5,0.33835616438356164,0.3231939163498099,0.33077504036668576,0.007581124016875884,0.12998382970258898,0.1205750712057507,0.12546217486210712,0.004700829278297672,5,0.1536346196004766,0.10928843020097773,0.13146152490072716,0.022173094699749443,0.302915082382763,0.3356164383561644,0.3186306780776827,0.016338339606809655,5,0.33835616438356164,0.3231939163498099,0.33077504036668576,0.007581124016875884,0.17786162408622747,0.1774122275597622,0.17764565340530605,0.0002245287037480188,5,0.20557535771518434,0.16285030277425716,0.18421283024472074,0.02136252747046359,0.4348598224628373,0.4696113755706359,0.45156070051990976,0.017362664624706033,5,0.4859820863535006,0.46226290372649487,0.4741224950399977,0.011859591313502865
3,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",14.436044931411743,4.4481589794158936,1.0470170974731445,0.21082353591918945,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.3105196451204056,0.3424657534246575,0.32587228439763,0.015961000730836068,3,0.35342465753424657,0.3333333333333333,0.3433789954337899,0.010045662100456626,0.14158161350822604,0.1628942570009058,0.15182402940661724,0.010648280382791862,2,0.17949304500674365,0.17959970426700464,0.17954637463687415,5.332963013049419e-05,0.3105196451204056,0.3424657534246575,0.32587228439763,0.015961000730836068,3,0.35342465753424657,0.3333333333333333,0.3433789954337899,0.010045662100456626,0.18642408616895417,0.22041161231604775,0.2027577886622908,0.01698093941542384,1,0.21961508773055888,0.2049950776463246,0.21230508268844173,0.0073100050421171375,0.4386545156429278,0.47260746330296427,0.45497160043017376,0.01696366321852583,3,0.5076395462324161,0.46248456072517924,0.4850620534787977,0.02257749275361845
4,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",15.980857610702515,1.276144027709961,0.93195641040802,0.5992475748062134,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.33079847908745247,0.33972602739726027,0.33508887425938116,0.004460405747715167,1,0.35753424657534244,0.3282636248415716,0.34289893570845703,0.01463531086688541,0.16342215545169247,0.13878623765530426,0.15158264261998516,0.012308663647165872,3,0.1904150938149053,0.12415159546351012,0.1572833446392077,0.033131749175697583,0.33079847908745247,0.33972602739726027,0.33508887425938116,0.004460405747715167,1,0.35753424657534244,0.3282636248415716,0.34289893570845703,0.01463531086688541,0.21229037433004994,0.18496153867520762,0.19915670084220605,0.013654106525450571,3,0.23991179664057088,0.1713809240451432,0.20564636034285705,0.034265436297713836,0.44478810970329874,0.47435130312724444,0.45899556934745955,0.01477044237600116,2,0.49254769967914935,0.47335552120460167,0.4829516104418755,0.009596089237273842
5,0,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",9.123968362808228,1.3055188655853271,0.7921682596206665,0.2159503698348999,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.3155893536121673,0.29726027397260274,0.3067807768268598,0.00915762416931719,6,0.33835616438356164,0.30544993662864384,0.32190305050610274,0.016453113877458903,0.1579003331811472,0.16372561138395833,0.16069984146821245,0.002910441195743917,1,0.16876380684497655,0.1613555426652994,0.16505967475513797,0.00370413208983858,0.3155893536121673,0.29726027397260274,0.3067807768268598,0.00915762416931719,6,0.33835616438356164,0.30544993662864384,0.32190305050610274,0.016453113877458903,0.1938281374636892,0.21042003155016714,0.20180185878240472,0.008289686841291454,2,0.21295900298316853,0.2093701697752983,0.2111645863792334,0.0017944166039351173,0.43720448051182936,0.4505410028254898,0.44361373744992816,0.006663229222409364,6,0.4902527704101039,0.4535305267196659,0.4718916485648849,0.018361121845218986
0,1,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",9.893547177314758,0.423345685005188,0.504042387008667,0.015413045883178711,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.08767471410419314,0.09972677595628415,0.0934825543120474,0.006022079502310812,6,0.10245901639344263,0.096569250317662,0.09951413335555231,0.0029448830378903113,0.016786747459357706,0.010490193824293564,0.013752463548319556,0.0031462124113096584,6,0.025474431053837662,0.010133474667445816,0.01780395286064174,0.007670478193195923,0.08767471410419314,0.09972677595628415,0.0934825543120474,0.006022079502310812,6,0.10245901639344263,0.096569250317662,0.09951413335555231,0.0029448830378903113,0.02464756747407175,0.018983523341932262,0.021918087352461414,0.0028301650362359473,6,0.03387457040165081,0.018197495008168453,0.02603603270490963,0.007838537696741178,0.19216418549183384,0.20428154066340692,0.1980034902881416,0.006054704754795939,5,0.2180189166327038,0.202141116710064,0.2100800166713839,0.007938899961319912
1,1,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",9.831509709358215,0.019174695014953613,0.7467846870422363,0.09107327461242676,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.10927573062261753,0.09289617486338798,0.10138248847926268,0.008184407631255193,4,0.1325136612021858,0.11308767471410419,0.122800667958145,0.009712993244040805,0.033035543452311675,0.021575455821871484,0.027512973244620945,0.005726286477859872,5,0.048866679957123044,0.024337901478479054,0.03660229071780105,0.012264389239321995,0.10927573062261753,0.09289617486338798,0.10138248847926268,0.008184407631255193,4,0.1325136612021858,0.11308767471410419,0.122800667958145,0.009712993244040805,0.04856624673092344,0.03230944217917655,0.04073215790151019,0.008123072273078537,5,0.06625494061955768,0.038514850273612435,0.05238489544658506,0.013870045172972623,0.20574971258714966,0.19653419358234264,0.20130879098641316,0.004604738075782074,4,0.2520962187078743,0.22615674663549382,0.23912648267168407,0.01296973603619024
2,1,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",19.090465188026428,0.11969101428985596,1.2450653314590454,0.1681119203567505,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.10800508259212198,0.1325136612021858,0.11981566820276497,0.012246253851811382,1,0.14207650273224043,0.1372299872935197,0.13965324501288007,0.002423257719360361,0.04018313698043602,0.04545807742691055,0.042725109598486945,0.0026357407660593073,3,0.06432757477369314,0.052203136673507046,0.05826535572360009,0.006062219050093045,0.10800508259212198,0.1325136612021858,0.11981566820276497,0.012246253851811382,1,0.14207650273224043,0.1372299872935197,0.13965324501288007,0.002423257719360361,0.05233935391970246,0.0649466634851151,0.05841476577084272,0.006299521313856032,2,0.07341200511965562,0.06975024790242487,0.07158112651104025,0.0018308786086153744,0.2060706603812811,0.2292644659326283,0.21724766213479405,0.011589298387737477,1,0.2558949653162882,0.24661252370519482,0.2512537445107415,0.004641220805546686
3,1,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",23.844483971595764,1.354814887046814,1.491445541381836,0.18013405799865723,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.09911054637865312,0.1133879781420765,0.10599078341013825,0.007134034841784018,3,0.12431693989071038,0.13468869123252858,0.12950281556161947,0.005185875670909099,0.0359630102136889,0.057188342757977274,0.046191412730093834,0.010605707273441596,2,0.04836381949641056,0.060918708991559475,0.05464126424398502,0.006277444747574457,0.09911054637865312,0.1133879781420765,0.10599078341013825,0.007134034841784018,3,0.12431693989071038,0.13468869123252858,0.12950281556161947,0.005185875670909099,0.05090020622945866,0.061048774732497896,0.055790760636453204,0.005070956912600502,3,0.06722610443891193,0.0735096266415642,0.07036786554023806,0.003141761101326135,0.19780010481782162,0.2186790560963425,0.20786158759325105,0.010432630206117965,3,0.24621197446710755,0.2635209281107767,0.25486645128894214,0.00865447682183458
4,1,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",17.661316871643066,6.697132587432861,0.9607944488525391,0.6066739559173584,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.09275730622617535,0.1284153005464481,0.10994075049374588,0.017817306227346785,2,0.12568306010928962,0.16264294790343076,0.14416300400636017,0.01847994389707057,0.036825367837539306,0.06230321656063679,0.049103040823258434,0.01273057112063537,1,0.05457520651902511,0.08854879978860883,0.07156200315381697,0.01698679663479186,0.09275730622617535,0.1284153005464481,0.10994075049374588,0.017817306227346785,2,0.12568306010928962,0.16264294790343076,0.14416300400636017,0.01847994389707057,0.045897757521996235,0.07872057646865899,0.06171494216252101,0.01640064808931119,1,0.06655578396837039,0.10155271308734894,0.08405424852785967,0.017498464559489273,0.18912635619343118,0.22906533077924388,0.20837278765940545,0.01995639278558847,2,0.24660311294263598,0.2881703602730312,0.26738673660783363,0.02078362366519762
5,1,"MLPClassifier-split_x_y_with_random_matrix-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(4 of 5)",17.076382637023926,0.4608778953552246,0.8805727958679199,0.31462669372558594,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.09021601016518424,0.10109289617486339,0.09545753785385122,0.005434876877643609,5,0.14344262295081966,0.12960609911054638,0.13652436103068302,0.006918261920136642,0.0418481936348304,0.03428520403001971,0.03820361931572479,0.003779015178835833,4,0.09488979869932394,0.05482131057853898,0.07485555463893145,0.020034244060392482,0.09021601016518424,0.10109289617486339,0.09545753785385122,0.005434876877643609,5,0.14344262295081966,0.12960609911054638,0.13652436103068302,0.006918261920136642,0.05179272614216074,0.049442644289063274,0.05066023113461147,0.0011742704219390842,4,0.09884551153478756,0.06674817307140492,0.08279684230309624,0.01604866923169132,0.18883395550010673,0.19956882262350212,0.19400704485779302,0.005363913997223105,6,0.28319930219999057,0.2612150353400898,0.27220716877004014,0.010992133429950396
