,column,evaluation_method,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg
0,0,"MLPClassifier-split_x_y_word2vec-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",2.478703498840332,0.48340630531311035,0.33187806606292725,0.045436739921569824,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.33078880407124683,0.3528610354223433,0.3414473684210526,0.01102965567007927,5,0.3528610354223433,0.33078880407124683,0.3418249197467951,0.011036115675548241,0.5928753180661578,0.6253405994550408,0.6085526315789473,0.01622313889591523,6,0.6294277929155313,0.589058524173028,0.6092431585442797,0.020184634371251675,0.45496391036248435,0.4824086104197289,0.4682168115743379,0.01371431763218513,5,0.48276996566388636,0.4547123538705874,0.46874115976723685,0.014028805896649482,0.566482761137968,0.5908954800316784,0.5782715346037466,0.012199214437587307,5,0.591357484604639,0.5663181724022168,0.5788378285034279,0.012519656101211085
1,0,"MLPClassifier-split_x_y_word2vec-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",6.54284131526947,0.5395294427871704,0.37206804752349854,0.08817183971405029,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.32061068702290074,0.3569482288828338,0.3381578947368421,0.018158135814947553,6,0.3569482288828338,0.3422391857506361,0.34959370731673495,0.007354521566098837,0.5979643765903307,0.6294277929155313,0.6131578947368421,0.015722499585619533,1,0.6444141689373297,0.6132315521628499,0.6288228605500898,0.015591308387239933,0.45212424921921973,0.48321109320414285,0.4671359225645707,0.01553432362904912,6,0.4936967092115826,0.4639518243337926,0.47882426677268763,0.01487244243889499,0.5645574124835693,0.5917160179534721,0.5776721601249565,0.013571354071444088,6,0.6016304756313927,0.5749960402745743,0.5883132579529835,0.01331721767840921
2,0,"MLPClassifier-split_x_y_word2vec-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",10.707499742507935,2.3717896938323975,0.818202018737793,0.10173273086547852,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.3486005089058524,0.36648501362397823,0.35723684210526313,0.00893701799936219,4,0.3869209809264305,0.3435114503816794,0.36521621565405493,0.021704765272375554,0.6005089058524173,0.6226158038147139,0.6111842105263158,0.01104697882960508,5,0.6485013623978202,0.6043256997455471,0.6264135310716836,0.022087831326136564,0.4666912116828616,0.49046548852695665,0.4781716848431022,0.011880180269244997,4,0.5105065816316566,0.4657571243932453,0.488131853012451,0.02237472861920567,0.5755527288676542,0.5972553277083652,0.5860327996236291,0.01084494759733536,4,0.6146274243210988,0.576583519796924,0.5956054720590114,0.019021952262087416
3,0,"MLPClassifier-split_x_y_word2vec-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",21.656336545944214,1.45347261428833,0.9077517986297607,0.022394895553588867,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.37404580152671757,0.36648501362397823,0.3703947368421053,0.003778181092577801,3,0.4196185286103542,0.35368956743002544,0.3866540480201898,0.03296448059016438,0.5877862595419847,0.6376021798365122,0.6118421052631579,0.024893380238580058,4,0.6634877384196185,0.6259541984732825,0.6447209684464505,0.018766769973168007,0.48001804252341407,0.4937924810652431,0.48666964639821836,0.006883187827654571,3,0.5379411574920071,0.48056549808701293,0.50925332778951,0.028687829702497086,0.5848566052399118,0.5994613638361136,0.5919091662988671,0.007298104840348818,3,0.637867602961211,0.5910071766629728,0.6144373898120918,0.02343021314911914
4,0,"MLPClassifier-split_x_y_word2vec-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",25.333444356918335,0.7506163120269775,0.7874517440795898,0.09137606620788574,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.37404580152671757,0.4209809264305177,0.39671052631578946,0.023453825681985757,2,0.43460490463215257,0.4122137404580153,0.4234093225450839,0.01119558208706864,0.5954198473282443,0.6321525885558583,0.6131578947368421,0.018355619833541715,1,0.6907356948228883,0.678117048346056,0.6844263715844722,0.0063093232384161535,0.4794281269453237,0.5220601203061614,0.5000148921603598,0.0213035193324841,2,0.5545230244287492,0.5365472091062972,0.5455351167675232,0.008987907661226036,0.5843520886292872,0.6201256567478631,0.6016269563918101,0.017876314005671048,2,0.6525720130450602,0.6380090041793728,0.6452905086122165,0.0072815044328436995
5,0,"MLPClassifier-split_x_y_word2vec-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",20.718273758888245,1.1795998811721802,0.34465301036834717,0.12892639636993408,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.3880407124681934,0.42370572207084467,0.4052631578947368,0.01782206652014694,1,0.4604904632152589,0.4300254452926209,0.4452579542539399,0.015232508961319002,0.5954198473282443,0.6321525885558583,0.6131578947368421,0.018355619833541715,1,0.7534059945504087,0.7213740458015268,0.7373900201759678,0.016015974374440967,0.48872000283325057,0.5264127731277414,0.5069216432254586,0.018835353389813635,1,0.5969388091265634,0.5595034837559174,0.5782211464412403,0.01871766268532299,0.5912321846886608,0.6234970093197533,0.6068126986881488,0.016122969185839192,1,0.6888258351138109,0.6578027804029779,0.6733143077583944,0.015511527355416499
0,1,"MLPClassifier-split_x_y_word2vec-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",7.462013483047485,0.2644498348236084,0.3993781805038452,0.09827125072479248,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.13994910941475827,0.14305177111716622,0.14144736842105263,0.0015504227775594405,6,0.14713896457765668,0.14249363867684478,0.14481630162725073,0.0023226629504059515,0.30916030534351147,0.32697547683923706,0.31776315789473686,0.008902371680310564,6,0.33651226158038144,0.3193384223918575,0.32792534198611945,0.008586919594261971,0.2356981362001559,0.24486824282870936,0.24012633242736525,0.004582369447021575,6,0.2523908870337532,0.24596233155142086,0.249176609292587,0.0032142777411661577,0.38120993214688126,0.3894815860300326,0.38520427027203463,0.004133406029594781,6,0.3975545043982991,0.3913895898324321,0.3944720471153656,0.003082457282933493
1,1,"MLPClassifier-split_x_y_word2vec-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",7.580861926078796,0.20378172397613525,0.4273254871368408,0.0012881755828857422,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.16157760814249364,0.15940054495912806,0.16052631578947368,0.0010878944182204817,2,0.16348773841961853,0.17048346055979643,0.16698559948970748,0.0034978610700889534,0.3231552162849873,0.3405994550408719,0.33157894736842103,0.00871701387338446,4,0.3446866485013624,0.3511450381679389,0.34791584333465064,0.0032291948332882625,0.2555589751965029,0.25766017630983307,0.2565736341551768,0.0010499855861862263,3,0.2688917744370678,0.2735117531009307,0.27120176376899924,0.002309989331931439,0.3963312108690744,0.3991738607305532,0.3977039115258675,0.0014204929562389816,3,0.4117698825780008,0.4154756818759305,0.41362278222696564,0.0018528996489648453
2,1,"MLPClassifier-split_x_y_word2vec-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",16.848300337791443,1.115524172782898,0.8832739591598511,0.0001558065414428711,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.14885496183206107,0.1553133514986376,0.15197368421052632,0.0032273046196572438,5,0.17166212534059946,0.17684478371501272,0.1742534545278061,0.0025913291872066285,0.3371501272264631,0.32833787465940056,0.33289473684210524,0.00440354715145931,3,0.3555858310626703,0.36895674300254455,0.3622712870326074,0.006685455969937137,0.2514452265590546,0.2544291573535804,0.2528861510348322,0.0014910920732683734,5,0.2778312925458162,0.28342828057310626,0.28062978655946125,0.002798494013645042,0.393079473094941,0.3964883804133854,0.39472561649740034,0.0017034559549316776,5,0.4205853368467066,0.42485616992176417,0.4227207533842354,0.0021354165375287726
3,1,"MLPClassifier-split_x_y_word2vec-{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}-(5 of 5)",22.480327367782593,1.6433284282684326,0.9184145927429199,0.05678248405456543,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.16666666666666666,0.16348773841961853,0.16513157894736843,0.001588533728516204,1,0.19618528610354224,0.1806615776081425,0.18842343185584237,0.007761854247699873,0.31806615776081426,0.34332425068119893,0.33026315789473687,0.01262165403050065,5,0.41553133514986373,0.3931297709923664,0.4043305530711151,0.011200782078748667,0.2578382711197339,0.26345497612861907,0.2605505484069192,0.0028067086314467896,1,0.3159501891913405,0.29696571768970564,0.30645795344052307,0.009492235750817424,0.3972036668991056,0.4039191642704669,0.40044654523501294,0.003355783222875585,1,0.45539524080591776,0.43793073106379055,0.44666298593485415,0.008732254871063605
