,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,9.471563220024109,0.47805607318878174,0.7474563121795654,0.16983342170715332,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.3269876819708847,0.3137724550898204,0.32060185185185186,0.006603890333568982,4,0.3449101796407186,0.2788353863381859,0.3118727829894522,0.03303739665126634,0.574468085106383,0.6,0.5868055555555556,0.012758764376952092,1,0.6215568862275449,0.5856662933930571,0.6036115898103009,0.017945296417243906,0.4449540796096078,0.45661296262909185,0.4505878569946016,0.005826156869308428,3,0.47897997801648384,0.43209347645839224,0.45553672723743804,0.0234432507790458,0.5551435691829437,0.5675968967906333,0.5611612361692984,0.006223155345673918,3,0.587806248330255,0.5503399273254085,0.5690730878278317,0.01873316050242324,0.3448773287183141,0.36024224278715283,0.3523019255050504,0.007678128299160176,1,0.3671306737175,0.34538350227599945,0.3562570879967497,0.010873585720750284,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,0,10.431564092636108,1.429452896118164,0.9302253723144531,0.032532453536987305,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.3213885778275476,0.3568862275449102,0.3385416666666667,0.017738824156610242,1,0.35808383233532937,0.3516237402015677,0.35485378626844855,0.0032300460668808206,0.5599104143337066,0.5856287425149701,0.5723379629629629,0.012851918502826534,2,0.6215568862275449,0.5890257558790594,0.6052913210533022,0.01626556517424277,0.44331140945343905,0.46831026737472325,0.4553912973957263,0.012492386068163929,1,0.4885493385300789,0.4715211502196968,0.48003524437488787,0.008514094155191054,0.554120910932597,0.5749860700881855,0.5642033229088218,0.010426701266355568,1,0.5960879447793718,0.5813967618792163,0.588742353329294,0.0073455914500777375,0.3458652918563333,0.35827461959198487,0.35186169733044736,0.006201167805675913,2,0.3695085154366591,0.3464695103328922,0.35798901288477564,0.011519502551883443,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,0,22.63328182697296,1.891426920890808,1.951789379119873,0.3983633518218994,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.3191489361702128,0.35568862275449104,0.3368055555555556,0.018259549018512327,2,0.37365269461077844,0.3527435610302352,0.3631981278205068,0.010454566790271624,0.5487122060470325,0.5640718562874252,0.5561342592592593,0.0076754978679080006,3,0.688622754491018,0.658454647256439,0.6735387008737285,0.015084053617289483,0.4371433165911954,0.46780935691373104,0.45196168677019843,0.015324380661599371,2,0.5241524599459364,0.4941882866497722,0.5091703732978543,0.014982086648082094,0.5489148315532396,0.5746336876631428,0.5613426352869024,0.0128521823184138,2,0.6297661590232402,0.604242590421914,0.6170043747225771,0.012761784300663104,0.326594435799363,0.3389788993441687,0.33257882645903475,0.0061887427152059,3,0.34714506052829397,0.33716578680744413,0.34215542366786905,0.0049896368604249175,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,0,31.52520978450775,1.0753692388534546,2.2475461959838867,0.07135391235351562,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.3157894736842105,0.3341317365269461,0.3246527777777778,0.009165963881898017,3,0.43353293413173655,0.3896976483762598,0.4116152912539982,0.02191764287773837,0.5363941769316909,0.5652694610778443,0.5503472222222222,0.014429507080583891,4,0.7784431137724551,0.7413213885778276,0.7598822511751413,0.018560862597313765,0.42386225390888516,0.4501705525412559,0.43657488663922633,0.013146737516848972,4,0.5906865296706943,0.5499732285085984,0.5703298790896464,0.020356650581047964,0.5373631405349343,0.5603783377206047,0.5484844887120377,0.011501114554258231,4,0.6849509168961704,0.6528462226311281,0.6688985697636493,0.016052347132521128,0.32053043634230644,0.31529901236488056,0.3180025202421035,0.0026142381471199834,4,0.34873523083702723,0.3182762515573266,0.3335057411971769,0.015229489639850324,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
4,0,33.3222017288208,7.731533527374268,2.049764037132263,1.113477110862732,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.3057110862262038,0.29221556886227545,0.2991898148148148,0.006743956609164257,5,0.4347305389221557,0.46024636058230683,0.44748844975223123,0.012757910830075575,0.5319148936170213,0.5568862275449101,0.5439814814814815,0.012478631825761541,6,0.7904191616766467,0.8062709966405375,0.7983450791585921,0.007925917481945377,0.4196612032184156,0.4188746757568355,0.4192811393119229,0.00039304214353351924,5,0.5885559696961686,0.6138491509156832,0.6012025603059259,0.012646590609757258,0.5346530885696998,0.5364646612028262,0.5355284723362858,0.0009052759447969345,5,0.683000522330645,0.7034451434501137,0.6932228328903793,0.010222310559734327,0.3156995729168181,0.313005521424683,0.31439775984046814,0.001346266754794841,5,0.3523491717862975,0.32244334239854955,0.3373962570924235,0.01495291469387397,"{'hidden_layer_sizes': 40, 'max_iter': 500}"
5,0,22.950226426124573,7.569923520088196,1.9639273881912231,0.8880847692489624,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.2877939529675252,0.3017964071856287,0.2945601851851852,0.006997282217657162,6,0.4359281437125748,0.5072788353863382,0.4716034895494565,0.0356753458368817,0.5263157894736842,0.5736526946107784,0.5491898148148148,0.023655116409984193,5,0.7856287425149701,0.8365061590145577,0.8110674507647639,0.02543870824979383,0.40306091604123934,0.4288329925306287,0.4155144367985542,0.012878777514455491,6,0.590491698505415,0.6484763638361352,0.6194840311707751,0.028992332665360054,0.5219538281856148,0.5446990569727717,0.5329447228831125,0.011366206412812137,6,0.6845288370215312,0.7304406537444088,0.70748474538297,0.022955908361438793,0.2891298846729978,0.31434634626850194,0.30131492253888087,0.012601126600102085,6,0.3268294061228193,0.31857319798529204,0.32270130205405567,0.004128104068763627,"{'hidden_layer_sizes': 80, 'max_iter': 500}"
0,1,14.815953493118286,0.7143263816833496,1.0590280294418335,0.1920229196548462,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.1040268456375839,0.09712230215827339,0.10069444444444445,0.003450190026143533,6,0.11630695443645084,0.1029082774049217,0.10960761592068627,0.006699338515764569,0.2986577181208054,0.32973621103117506,0.3136574074074074,0.015529876318142573,6,0.3345323741007194,0.3333333333333333,0.33393285371702636,0.0005995203836930418,0.21090458668390621,0.2180845973441179,0.21436993905116117,0.003587840563492311,6,0.23197664238694893,0.22133214886749186,0.2266543956272204,0.005322246759728533,0.36167249304070276,0.3706632829781774,0.3660117979063589,0.004492684253836339,6,0.38367606571754825,0.37399927687812806,0.3788376712978382,0.004838394419710096,0.14601315165073558,0.1567432287935885,0.15119190416065417,0.005361803463031968,3,0.1496843045044484,0.15456114355443215,0.15212272402944027,0.0024384195249918805,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,1,14.476735830307007,0.41762495040893555,0.9575061798095703,0.049349069595336914,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.10738255033557047,0.12709832134292565,0.11689814814814815,0.009851941216843423,5,0.13788968824940048,0.13982102908277405,0.13885535866608728,0.0009656704166867841,0.28635346756152125,0.354916067146283,0.3194444444444444,0.034260628231635115,5,0.38609112709832133,0.39373601789709173,0.38991357249770653,0.0038224453993851992,0.2072784613477679,0.24452063062229107,0.2252529805462357,0.018609856157461746,5,0.267667938426826,0.2691204080224212,0.2683941732246236,0.000726234797797598,0.3559168028623493,0.39121867908496216,0.37295486117812426,0.017640294628078056,5,0.4149224035338296,0.41681995922188647,0.41587118137785806,0.0009487778440284422,0.1458211549822288,0.1632911073738412,0.1542528333934584,0.008729709021220111,1,0.15684626324914092,0.15984008348102305,0.15834317336508197,0.0014969101159410664,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,1,29.958481311798096,0.9133851528167725,1.8034816980361938,0.04251277446746826,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.12863534675615212,0.145083932853717,0.13657407407407407,0.008219333815195082,3,0.2170263788968825,0.1610738255033557,0.18905010220011909,0.027976276696763405,0.3378076062639821,0.3645083932853717,0.3506944444444444,0.01334234324795368,1,0.5095923261390888,0.4306487695749441,0.4701205478570164,0.03947177828207235,0.23832186994393814,0.2585544097335373,0.24808688046739052,0.01011016980265264,3,0.35741348074640983,0.3000044522876182,0.328708966517014,0.028704514229395822,0.3837861580783789,0.4014257080599779,0.39229969088199784,0.008814456682695945,3,0.49312030191083017,0.44498308619119087,0.46905169405101055,0.024068607859819652,0.15156461547401143,0.15664707195282734,0.15401760662177327,0.0025396958834518566,2,0.17158166972915173,0.15591255314409674,0.16374711143662424,0.007834558292527494,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,1,37.2634220123291,5.094130754470825,2.035596013069153,0.013001084327697754,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.13870246085011187,0.145083932853717,0.1417824074074074,0.0031888119938599203,2,0.27577937649880097,0.25279642058165547,0.2642878985402282,0.011491477958572749,0.3243847874720358,0.354916067146283,0.33912037037037035,0.015256434684368965,4,0.5839328537170264,0.6185682326621924,0.6012505431896094,0.017317689472582998,0.24345470829930027,0.2560713972397184,0.2495440130309604,0.006304540550091944,2,0.4239397654436037,0.4219962726041213,0.4229680190238625,0.0009717464197411818,0.38807068249435833,0.40029054817743365,0.3939684648900093,0.006106248563267835,2,0.5489248746416079,0.5495365975591725,0.5492307361003902,0.0003058614587823083,0.14738993482282073,0.14849328329544156,0.1479224537037037,0.0005513415777602219,4,0.179356696461013,0.16789931917448694,0.17362800781774995,0.005728688643263022,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
4,1,34.60866034030914,10.316775679588318,1.5726150274276733,0.8600198030471802,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.14317673378076062,0.12829736211031176,0.13599537037037038,0.00743519971834428,4,0.2949640287769784,0.2930648769574944,0.2940144528672364,0.000949575909742012,0.3344519015659955,0.36211031175059955,0.34780092592592593,0.013820866107057508,2,0.6438848920863309,0.6510067114093959,0.6474458017478635,0.0035609096615324964,0.2442294232406817,0.24839510376209775,0.24623994265900404,0.0020815843118602967,4,0.4526421158673384,0.45216922032891715,0.45240566809812777,0.0002364477692106126,0.38783362039261327,0.39431424617596794,0.39096142241999626,0.003238358988961244,4,0.573516675775918,0.573536904281743,0.5735267900288306,1.0114252912474253e-05,0.14786481788159642,0.14237480145753525,0.14521512245470578,0.0027433529771256544,6,0.18076995546420005,0.16231233717810897,0.17154114632115453,0.009228809143045538,"{'hidden_layer_sizes': 40, 'max_iter': 500}"
5,1,37.95411002635956,0.9583767652511597,0.8546192646026611,0.4465296268463135,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.13982102908277405,0.1498800959232614,0.14467592592592593,0.005026500620838489,1,0.407673860911271,0.44407158836689037,0.42587272463908066,0.018198863727809683,0.33221476510067116,0.354916067146283,0.3431712962962963,0.011343806601108286,3,0.7709832134292566,0.772930648769575,0.7719569310994158,0.000973717670159191,0.2429676193036506,0.26045782191090205,0.251409071256456,0.008739828023618243,1,0.5690468211549987,0.5899299757317266,0.5794883984433626,0.010441577288363924,0.38827117837808933,0.4035843726983599,0.3956619214701644,0.007651980246125016,1,0.6684804055735795,0.68382954005111,0.6761549728123447,0.007674567238765251,0.15015100671140938,0.1446566123724397,0.14749919833253167,0.0027455406146425893,5,0.1829303570130908,0.1752592802425017,0.17909481862779625,0.0038355383852945457,"{'hidden_layer_sizes': 80, 'max_iter': 500}"
0,2,13.968755602836609,0.23362481594085693,0.9108624458312988,0.15952539443969727,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.1258426966292135,0.1575178997613365,0.1412037037037037,0.015830428959946657,6,0.12529832935560858,0.14269662921348314,0.13399747928454586,0.008699149928937278,0.30337078651685395,0.31145584725536996,0.3072916666666667,0.004040699569441182,6,0.3233890214797136,0.31797752808988766,0.32068327478480063,0.0027057466949129694,0.22690370336768034,0.24716886118466788,0.2367313667071685,0.010127990019378514,6,0.23495005024698465,0.24424297716428994,0.23959651370563728,0.004646463458652647,0.37161266432953516,0.38803996645136535,0.3795791453353764,0.008209931224702583,6,0.3816447085250831,0.38830912029055864,0.3849769144078209,0.0033322058827377765,0.10149044214212752,0.11041851346743947,0.10582014339826838,0.004462013969575916,6,0.10455588961555547,0.11028063135366506,0.10741826048461026,0.0028623708690547964,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,2,12.717913389205933,0.5145916938781738,1.0665736198425293,0.17916107177734375,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.15617977528089888,0.15393794749403342,0.1550925925925926,0.0011204062487737397,4,0.18377088305489261,0.16404494382022472,0.17390791343755868,0.009862969617333947,0.32696629213483147,0.3424821002386635,0.33449074074074076,0.0077543906165129855,1,0.39737470167064437,0.39101123595505616,0.39419296881285026,0.003181732857794106,0.24556298181333513,0.25745341652731146,0.25132929216652505,0.005942524859504188,3,0.29283910062435164,0.28474254253373416,0.2887908215790429,0.004048279045308745,0.3858152941865643,0.3975049170799262,0.3914842201035998,0.0058421644214891755,3,0.4334579181152306,0.4269128598906796,0.4301853890029551,0.0032725291122754907,0.11868777664283281,0.12454679767328931,0.12152913059163059,0.0029281837849814154,5,0.12639566479661946,0.12557137993093048,0.12598352236377497,0.0004121424328444867,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,2,32.37846076488495,1.8784173727035522,1.9388881921768188,0.1919034719467163,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.15393258426966291,0.15393794749403342,0.15393518518518517,2.680397724344632e-06,5,0.21479713603818615,0.20786516853932585,0.21133115228875599,0.0034659837494301488,0.31235955056179776,0.324582338902148,0.31828703703703703,0.006108626413768793,4,0.5059665871121718,0.46292134831460674,0.48444396771338927,0.021522619398782528,0.2469640907860229,0.2528838347259763,0.24983489253468086,0.002958531489494066,5,0.36042589431412847,0.3334074987712858,0.3469166965427071,0.013509197771421344,0.3864045382797021,0.39253513930376516,0.3893775959522512,0.003063912284584029,5,0.4959078193403262,0.46953743677958737,0.4827226280599568,0.013185191280369407,0.1242162556544579,0.1286217442064697,0.1263527136443803,0.0022017466870087564,4,0.13893660436619862,0.13667984824164597,0.1378082263039223,0.0011283780622763223,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,2,35.85083854198456,5.454553484916687,2.0571247339248657,0.4934936761856079,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.14606741573033707,0.1730310262529833,0.15914351851851852,0.013475699559114783,2,0.26610978520286394,0.22359550561797753,0.24485264541042073,0.021257139792443203,0.3202247191011236,0.3031026252983294,0.3119212962962963,0.008557169734952538,5,0.5584725536992841,0.5134831460674157,0.5359778498833498,0.02249470381593416,0.24349096318072616,0.25765752716631846,0.25036109085429464,0.007080074083345792,4,0.4101220345701441,0.3615928409301376,0.38585743775014086,0.02426459682000326,0.38423195336363214,0.3957090075035537,0.389797793276395,0.005735928179328222,4,0.5365210896236214,0.49545346532547146,0.5159872774745464,0.020533812149074987,0.13102273943285178,0.12685550527435968,0.12900182379349046,0.0020826734411237458,3,0.14805626155864818,0.1411810156135999,0.14461863858612403,0.003437622972524146,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
