,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,9.423896312713623,0.4040248394012451,0.7104543447494507,0.001057744026184082,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.30078563411896747,0.3221957040572792,0.31116252168883746,0.010700004344634254,6,0.3198090692124105,0.30303030303030304,0.31141968612135673,0.00838938309105372,0.590347923681257,0.6157517899761337,0.6026604973973395,0.012695964119168228,4,0.6205250596658711,0.5791245791245792,0.5998248193952251,0.020700240270645986,0.44129771662103684,0.46724551915656165,0.4538739216671732,0.01296780443332453,6,0.4671477101423936,0.4423745908142246,0.4547611504783091,0.0123865596640845,0.5544128234749093,0.577174250367997,0.5654446775734677,0.011375365299965844,6,0.5778337233205955,0.5553055916406698,0.5665696574806327,0.011264065839962811,0.3544800093284941,0.3711363378069821,0.36255288571078037,0.008324250579236083,3,0.3711363378069821,0.3544800093284941,0.3628081735677381,0.008328164239243985,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,0,9.835297584533691,1.346855640411377,0.9389774799346924,0.06255125999450684,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.3367003367003367,0.3639618138424821,0.3499132446500868,0.01362433306862446,2,0.35918854415274465,0.3400673400673401,0.34962794211004233,0.009560602042702288,0.5813692480359147,0.616945107398568,0.5986119144013881,0.01777957058717128,5,0.6241050119331742,0.5959595959595959,0.6100323039463851,0.014072707986789168,0.46029327963757244,0.48646692446246687,0.47297894439365196,0.013080672512897353,3,0.489217318704644,0.46884168635125145,0.47902950252794774,0.010187816176696285,0.5685332677504548,0.5913702657878047,0.5796017491589563,0.01141313311549681,3,0.594840113399237,0.5789259460275508,0.5868830297133939,0.007957083685843136,0.35874488026003176,0.3864278482058911,0.37216207351545694,0.0138349794347483,1,0.37527317153808787,0.37276871650609017,0.374020944022089,0.0012522275159988494,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,0,19.564741611480713,1.6337289810180664,1.850456714630127,0.017944812774658203,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.3400673400673401,0.3520286396181384,0.3458646616541353,0.005977839284494466,4,0.3615751789976134,0.3400673400673401,0.3508212595324767,0.010753919465136652,0.5970819304152637,0.6229116945107399,0.6096009253903991,0.012908812948243309,1,0.6408114558472554,0.6127946127946128,0.6268030343209341,0.014008421526321313,0.4637234888871937,0.48244813514730917,0.4727988235118188,0.009357923487043658,4,0.5004613648205836,0.47670485365850856,0.48858310923954607,0.0118782555810375,0.5714874702757742,0.5882141627770984,0.5795944502156872,0.008359416057547121,4,0.6071676613132119,0.5872461841912611,0.5972069227522365,0.009960738560975402,0.3583560715378896,0.37587551271322145,0.366847275531486,0.008755604126083325,2,0.37377455082705674,0.36011050864586214,0.36694252973645947,0.006832021090597301,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,0,28.563061714172363,5.710286617279053,1.7924333810806274,0.05721604824066162,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.33108866442199775,0.35799522673031026,0.3441295546558704,0.013446959044395261,5,0.3568019093078759,0.3490460157126824,0.35292396251027913,0.0038779467975967596,0.5914702581369248,0.6181384248210023,0.6043956043956044,0.013327817246988465,2,0.6431980906921241,0.6374859708193041,0.6403420307557142,0.0028560599364099715,0.4599188904644613,0.4845009773232732,0.4718331696938913,0.012285267490826526,5,0.4993088262747698,0.4883966025171497,0.4938527143959598,0.005456111878810038,0.5687623297939514,0.5892157212479837,0.5786755409208912,0.010221889888787004,5,0.606433186684489,0.5979809709659214,0.6022070788252052,0.00422610785928379,0.35356817331564805,0.3574722075855727,0.35546035418215866,0.0019510998221936974,4,0.3696448201758464,0.34518236720256923,0.3574135936892078,0.012231226486638574,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
4,0,37.89298367500305,2.4343101978302,1.8280409574508667,0.2669147253036499,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.3400673400673401,0.35918854415274465,0.3493348756506651,0.009556109222341028,3,0.3627684964200477,0.3479236812570146,0.35534608883853114,0.007422407581516549,0.5937149270482603,0.6133651551312649,0.6032388663967612,0.009820496918833615,3,0.6539379474940334,0.6531986531986532,0.6535683003463433,0.00036964714769011087,0.4644655489573556,0.4835649449233974,0.4737225147292139,0.009545210286811994,2,0.5077840977762642,0.49233312099445364,0.500058609385359,0.007725488390905283,0.5714852539252472,0.5882423412268399,0.5796069654109237,0.008374606315956597,2,0.6148122892954918,0.6020702464705304,0.6084412678830111,0.006371021412480693,0.3403607017748432,0.3559500821374329,0.34791645697660734,0.007791027217121703,5,0.35509215923297066,0.34467355128971283,0.3498828552613418,0.005209303971628915,"{'hidden_layer_sizes': 40, 'max_iter': 500}"
5,0,35.85950255393982,4.3740198612213135,0.6522823572158813,0.2453690767288208,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.3557800224466891,0.360381861575179,0.3580104106419896,0.0022998382915152857,1,0.3723150357995227,0.3613916947250281,0.3668533652622754,0.005461670537247304,0.5937149270482603,0.60381861575179,0.5986119144013881,0.0050494703350382345,5,0.6670644391408115,0.6790123456790124,0.6730383924099119,0.0059739532691004404,0.47033836242486815,0.48249394343926727,0.4762298470345075,0.006074934366883265,1,0.5187342217582722,0.5096816070183708,0.5142079143883216,0.004526307369950688,0.5755883513914865,0.5871504126763183,0.5811921728817636,0.00577831395866909,1,0.6248273457204618,0.6168174131690232,0.6208223794447425,0.004004966275719335,0.33407295659820907,0.35407771027699425,0.3437687250093265,0.009997676415494148,6,0.35461767349595513,0.34352362003877146,0.3490706467673633,0.005547026728591836,"{'hidden_layer_sizes': 80, 'max_iter': 500}"
0,1,10.051888108253479,1.171432375907898,0.6314135789871216,0.02356278896331787,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.09172259507829977,0.11976047904191617,0.10526315789473684,0.014010777553849151,6,0.09820359281437126,0.1174496644295302,0.10782662862195072,0.00962303580757947,0.2651006711409396,0.33053892215568864,0.2967032967032967,0.03270007036445185,6,0.28023952095808385,0.29642058165548096,0.2883300513067824,0.008090530348698555,0.18995022954214405,0.22956546347561885,0.20908193592412871,0.019796081298640963,6,0.20071855866738011,0.2203253882211231,0.2105219734442516,0.009803414776871494,0.34356868273144536,0.3782217388759469,0.3603039643281248,0.017316437354248666,6,0.35431312896365735,0.3695754402191591,0.36194428459140826,0.00763115562775088,0.14890956545318962,0.16205288125048603,0.15525697360283827,0.006567830660647318,1,0.1547674521087695,0.15353564407255685,0.15415154809066317,0.0006159040181063224,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,1,11.29872441291809,0.9811789989471436,0.8257941007614136,0.0413285493850708,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.12192393736017897,0.13652694610778443,0.12897628687102372,0.007297252083827502,5,0.14251497005988023,0.13087248322147652,0.13669372664067836,0.0058212434192018575,0.32997762863534674,0.3508982035928144,0.340080971659919,0.010454195559410526,5,0.37005988023952097,0.3523489932885906,0.3612044367640558,0.008855443475465186,0.23356421153248205,0.2479095134552401,0.2404921045952368,0.007168473713757513,5,0.2647344239423024,0.24981161567431914,0.25727301980831074,0.007461404133991628,0.38139170901695935,0.3939640863700352,0.38746338923085083,0.006282527691660962,5,0.41095717232789686,0.3980690976340701,0.4045131349809835,0.006444037346913373,0.15313421850334602,0.1500216190994634,0.151631025615988,0.0015553933356252422,5,0.15702294113072557,0.14506551613934165,0.1510442286350336,0.005978712495691957,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,1,20.46103298664093,2.529129147529602,1.5740159749984741,0.14353525638580322,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.12527964205816555,0.13892215568862276,0.13186813186813187,0.006817284214448148,4,0.1437125748502994,0.15324384787472037,0.14847821136250988,0.004765636512210486,0.3422818791946309,0.36766467065868264,0.3545401966454598,0.012684004447698691,4,0.3784431137724551,0.3635346756152125,0.3709888946938338,0.007454219078621288,0.23386685258722453,0.254018881653968,0.24359903550841067,0.010070146409024074,4,0.26686168787539866,0.26971096363017993,0.2682863257527893,0.0014246378773906387,0.3809368979887167,0.3995243038593702,0.38991346473365346,0.00928829041787809,4,0.41402305785849597,0.4156859608591342,0.41485450935881507,0.0008314515003191025,0.15351748549735128,0.1527329756072271,0.1531386157701947,0.00039202650148591585,3,0.15973854887627345,0.14676939577946288,0.15325397232786817,0.006484576548405285,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,1,31.1253559589386,0.8453385829925537,1.5095969438552856,0.38725483417510986,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.12304250559284116,0.14610778443113773,0.1341816078658184,0.011525922977648099,3,0.1568862275449102,0.14093959731543623,0.1489129124301732,0.007973315114736979,0.3389261744966443,0.37485029940119763,0.3562753036437247,0.017951601608293014,3,0.39401197604790417,0.3870246085011186,0.3905182922745114,0.003493683773392792,0.24418995286157677,0.2609488384547828,0.2522834574713668,0.008374562730964772,3,0.2884697694903213,0.27096833225284006,0.27971905087158067,0.008750718618740633,0.3901945447164857,0.40434365642522085,0.3970276900471935,0.007070435735909989,3,0.43327598927850236,0.41905999111884756,0.42616799019867496,0.007107999079827398,0.15261488325246714,0.15535549679861055,0.15393842999106155,0.0013695087263328677,2,0.1562126137335718,0.14653030787258975,0.15137146080308078,0.004841152930491019,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
