,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,33.92595970630646,1.4516021013259888,1.6417502164840698,0.15699660778045654,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.4163860830527497,0.43556085918854415,0.4256795835743204,0.009582882659960526,2,0.5071599045346062,0.4612794612794613,0.48421968290703377,0.022940221627572477,0.5824915824915825,0.594272076372315,0.5882012724117988,0.005887478932528657,3,0.6825775656324582,0.6554433221099888,0.6690104438712234,0.013567121761234702,0.5025477393356329,0.5170464335460004,0.5095748681663373,0.0072459404144613075,2,0.586666274819711,0.549921839971792,0.5682940573957516,0.018372217423959503,0.5991438066077622,0.6117958671260646,0.6052759215379747,0.00632305746335576,2,0.6707981168688953,0.6413743612161893,0.6560862390425424,0.014711877826353026,0.3249652853693258,0.35182164295529444,0.33798184271868476,0.013421868479593365,1,0.3579530215210406,0.3542261479635217,0.35608958474228114,0.001863436778759442,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,0,35.024863600730896,0.5196539163589478,1.0105540752410889,0.014087677001953125,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.4219977553310887,0.41408114558472553,0.4181607865818392,0.003956444744222035,3,0.6324582338902148,0.6419753086419753,0.637216771266095,0.004758537375880223,0.5813692480359147,0.5775656324582339,0.5795257374204743,0.0019009140709847047,6,0.8102625298329356,0.8226711560044894,0.8164668429187125,0.0062043130857769024,0.5027601332210696,0.4961948402158395,0.4995781115100327,0.0032811038862630895,4,0.7110654625144354,0.7253773765030342,0.7182214195087349,0.007155956994299439,0.5987274892406098,0.5932128952396711,0.5960547132008258,0.0027560012619739574,4,0.7742397829900994,0.7859252526504227,0.7800825178202611,0.005842734830161622,0.3086822044397802,0.27221755571397577,0.29100876567041983,0.018223756434045328,2,0.33656316833524474,0.28470734278815085,0.3106352555616978,0.025927912773546946,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,0,50.79246425628662,3.0111355781555176,1.959235429763794,0.11922621726989746,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.4062850729517396,0.39737470167064437,0.40196645459803354,0.0044530920120637975,5,0.8579952267303103,0.8799102132435466,0.8689527199869285,0.010957493256618156,0.5656565656565656,0.6014319809069213,0.582995951417004,0.017879301642303978,4,0.9713603818615751,0.9809203142536476,0.9761403480576114,0.004779966196036212,0.4883469219939114,0.49361563139401066,0.49090052435208564,0.0026331167359149184,6,0.9067900410382512,0.9234140703191113,0.9151020556786813,0.008312014640430021,0.5859243739961215,0.5914312365938211,0.5885934028317908,0.0027521373769662737,6,0.9293467285738346,0.9420222293489195,0.9356844789613771,0.0063377503875424734,0.27480050626515273,0.250743912014795,0.26314091923114474,0.012022644659152776,4,0.3245094742171114,0.27057365380597703,0.2975415640115442,0.026967910205567186,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,0,59.544092655181885,1.2165091037750244,1.965774416923523,0.19465982913970947,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.40291806958473625,0.3937947494033413,0.39849624060150374,0.004559516426601311,6,0.9630071599045346,0.9640852974186308,0.9635462286615827,0.0005390687570481223,0.5780022446689114,0.5847255369928401,0.5812608444187392,0.003360066421247599,5,0.9928400954653938,0.9887766554433222,0.990808375454358,0.002031720011035798,0.49042215271696477,0.49156003566991147,0.4909736541134768,0.0005686741134099734,5,0.9762458802136605,0.9755776459480163,0.9759117630808385,0.0003341171328221093,0.587540238888778,0.5907962340479411,0.5891183325518079,0.0016272325335477296,5,0.9820612022724011,0.9814189910541304,0.9817400966632658,0.0003211056091353415,0.2545678283557071,0.25384348944611473,0.2542167606829261,0.0003619992602526448,6,0.29370984822655466,0.2798714659825771,0.28679065710456586,0.006919191121988771,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
4,0,71.42455339431763,2.279498815536499,1.710723638534546,0.37355756759643555,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.4152637485970819,0.4033412887828162,0.40948525159051474,0.0059584285422203415,4,0.9677804295942721,0.9640852974186308,0.9659328635064515,0.0018475660878206623,0.5925925925925926,0.6002386634844868,0.5962984384037016,0.0038212388842435332,2,0.9928400954653938,0.9887766554433222,0.990808375454358,0.002031720011035798,0.5036419209025567,0.4983983237210293,0.5011004897642571,0.002620566527130114,3,0.9788314012956018,0.9755776459480162,0.977204523621809,0.0016268776737927704,0.5983683119819636,0.5957462461093689,0.5970974668684677,0.001310416841678617,3,0.9839791148491143,0.9814189910541304,0.9826990529516224,0.0012800618974919131,0.2660766151170192,0.2521540670944012,0.2593287289151951,0.0069580026949757155,5,0.3057964489766399,0.2720629576185132,0.2889297032975765,0.01686674567906335,"{'hidden_layer_sizes': 40, 'max_iter': 500}"
5,0,78.31278038024902,1.9822971820831299,0.6954798698425293,0.02454519271850586,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.4298540965207632,0.42601431980906923,0.42799305957200695,0.0019189861413778442,1,0.9677804295942721,0.9640852974186308,0.9659328635064515,0.0018475660878206623,0.5970819304152637,0.6002386634844868,0.5986119144013881,0.0015776248117292124,1,0.9928400954653938,0.9887766554433222,0.990808375454358,0.002031720011035798,0.5113897581829299,0.5148870251729502,0.5130847898414822,0.0017478117584567682,1,0.9788314012956019,0.9755776459480162,0.977204523621809,0.0016268776737928259,0.6047068958197441,0.6091632208121864,0.6068667572099503,0.0022271154142710307,1,0.9839791148491143,0.9814189910541304,0.9826990529516224,0.0012800618974919131,0.27053796745715936,0.25799625990556774,0.2644593376548263,0.00626790690912355,3,0.31067794377460245,0.27910023758508606,0.29488909067984426,0.015788853094758193,"{'hidden_layer_sizes': 80, 'max_iter': 500}"
0,1,33.82650363445282,0.71992027759552,1.6148954629898071,0.13702023029327393,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.12751677852348994,0.12934131736526946,0.12839791787160207,0.0009117381284444563,6,0.1592814371257485,0.18232662192393737,0.17080402952484292,0.011522592399094436,0.3232662192393736,0.3401197604790419,0.33140543666859457,0.008421862991159872,6,0.44550898203592815,0.42841163310961966,0.43696030757277393,0.008548674463154243,0.23697156858738277,0.2414881696813258,0.2391528074037173,0.002256985345571184,6,0.3011164324116059,0.30829153510793783,0.30470398375977187,0.0035875513481659627,0.3824890106002042,0.3880891239190828,0.3851935187675053,0.002798425947156814,6,0.44403110550855335,0.4482778599817135,0.4461544827451334,0.0021233772365800707,0.1363719166739301,0.141800917645229,0.13899378816672048,0.0027129196000385027,3,0.15117386007206365,0.15570058204286394,0.1534372210574638,0.0022633609854001424,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,1,39.220831871032715,2.0790367126464844,1.769794225692749,0.004258632659912109,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.15212527964205816,0.16526946107784432,0.1584731058415269,0.006568263227824558,5,0.4095808383233533,0.40939597315436244,0.40948840573885786,9.243258449542768e-05,0.33109619686800895,0.36407185628742517,0.3470213996529786,0.01647822743743673,5,0.7377245508982035,0.7203579418344519,0.7290412463663277,0.008683304531875824,0.24781797475515796,0.267634064220509,0.25738791963865604,0.009902274431497307,5,0.5595555859403714,0.5495550796357133,0.5545553327880424,0.005000253152329048,0.39003731214365706,0.40721075111449195,0.39833102038000595,0.008581718704849684,5,0.6583735902630432,0.6493519574546012,0.6538627738588222,0.004510816404221019,0.1297470389416698,0.14896775280607616,0.13902945425501817,0.009604760000071242,2,0.1665014127588978,0.18936515199938017,0.17793328237913897,0.011431869620241189,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,1,51.862529158592224,3.5353866815567017,1.8628058433532715,0.09876108169555664,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.15771812080536912,0.17125748502994012,0.1642567958357432,0.0067657395478620845,3,0.7724550898203593,0.79082774049217,0.7816414151562646,0.009186325335905354,0.3668903803131991,0.38083832335329343,0.37362637362637363,0.006969909980443269,4,0.9437125748502994,0.9395973154362416,0.9416549451432705,0.002057629707028885,0.26579537665205605,0.27633437964251434,0.2708850628851576,0.005266432614182792,4,0.8477985950298297,0.8565137182707782,0.852156156650304,0.004357561620474237,0.40540039967876046,0.41265565211698296,0.4089042376116209,0.003625513542351,4,0.8839270451648734,0.8902311883187044,0.8870791167417889,0.003152071576915494,0.13205460646735814,0.12969292583663838,0.1309140608764669,0.001180152611130958,6,0.18391953754828005,0.17044103547459252,0.1771802865114363,0.006739251036843766,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,1,63.673611640930176,3.346165418624878,2.02137291431427,0.10505211353302002,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.1599552572706935,0.1664670658682635,0.16310005783689993,0.003254008107465879,4,0.9664670658682635,0.9440715883668904,0.955269327117577,0.011197738750686526,0.3668903803131991,0.38802395209580837,0.37709658762290343,0.010560631948854472,3,0.9976047904191617,0.9966442953020134,0.9971245428605875,0.0004802475585741761,0.2691856749991399,0.2756282146516826,0.27229702295164027,0.003219393805565388,3,0.9815269461077843,0.9672570221227941,0.9743919841152893,0.007134961992495137,0.408230295734169,0.4132911662489376,0.4106743829983864,0.0025289615686857475,3,0.9862083115815463,0.9755173404118532,0.9808628259966998,0.005345485584846543,0.1358456327416059,0.13833812893693131,0.1370493541546173,0.0012455223008924707,5,0.19180096948959224,0.18467065186863843,0.18823581067911532,0.0035651588104769066,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
