,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,10.362081289291382,1.0961318016052246,0.7886053323745728,0.23009216785430908,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.38926174496644295,0.37964071856287424,0.38461538461538464,0.0048077116288459,3,0.41317365269461076,0.383668903803132,0.3984212782488714,0.014752374445739375,0.5738255033557047,0.6023952095808384,0.5876229034123771,0.014276533821831876,1,0.629940119760479,0.5827740492170023,0.6063570844887407,0.023583035271738384,0.48461608326282923,0.49473124819416575,0.48950108194279807,0.005054637003183182,2,0.5216091442700952,0.4866989434585482,0.5041540438643217,0.0174551004057735,0.5866533254393657,0.5974314260076348,0.5918584810058809,0.005385911779611918,2,0.6203858150795484,0.5908105138074764,0.6055981644435124,0.014787650636035987,0.3577841695962501,0.38133877699147156,0.369159587279888,0.011770444767192467,1,0.3817351271483008,0.36321721529775214,0.37247617122302645,0.009258955925274343,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,0,9.56189477443695,0.7846027612686157,0.8252286911010742,0.02040386199951172,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.39373601789709173,0.4059880239520958,0.39965297860034704,0.006122435332417794,1,0.4227544910179641,0.41498881431767337,0.41887165266781873,0.0038828383501453567,0.5727069351230425,0.6035928143712574,0.5876229034123771,0.015433945880628078,1,0.6766467065868264,0.6353467561521253,0.6559967313694759,0.020649975217350514,0.48425277425379326,0.5035652271868929,0.49357949386000394,0.009650602820668073,1,0.5420870881223205,0.5249087153428171,0.5334979017325688,0.008589186389751702,0.5854089647919382,0.6025590301105537,0.5936913850007548,0.00857003868497758,1,0.6402558796634383,0.6256521382326794,0.6329540089480589,0.007301870715379466,0.32861943984427205,0.35922378619384604,0.34339944516636245,0.015293261411640776,2,0.3505712211939757,0.3487358726284901,0.3496535469112329,0.0009176742827428086,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,0,20.215160369873047,2.8643362522125244,1.7197496891021729,0.05259895324707031,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.3870246085011186,0.3976047904191617,0.39213418160786584,0.005287010086970883,2,0.45868263473053894,0.470917225950783,0.46479993034066097,0.006117295610122031,0.5760626398210291,0.578443113772455,0.5772122614227877,0.001189543799005693,5,0.7736526946107785,0.7639821029082774,0.7688173987595279,0.004835295851250532,0.48172526539343824,0.49062834544294504,0.4860249020859415,0.004448947512573372,3,0.5991925680142363,0.6047958572670209,0.6019942126406286,0.002801644626392319,0.5838510067486125,0.5914421317095524,0.5875170503243121,0.0037933520000730863,3,0.6905877585663581,0.6941649075034416,0.6923763330348999,0.0017885744685417482,0.3172196073873926,0.31797239287658446,0.31758315619217875,0.0003761735389346641,3,0.34053272675428364,0.3185300996542607,0.32953141320427215,0.011001313550011466,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,0,31.26394259929657,1.6672254800796509,1.7524101734161377,0.17508935928344727,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.3668903803131991,0.36766467065868264,0.3672643146327357,0.0003869197050226915,4,0.6467065868263473,0.6387024608501118,0.6427045238382296,0.004002062988117727,0.5704697986577181,0.5892215568862276,0.5795257374204743,0.009370418738594417,4,0.9173652694610779,0.9228187919463087,0.9200920307036933,0.002726761242615394,0.46505736964986766,0.47347147000557005,0.4691208594110079,0.004204600053002849,6,0.7659864594436684,0.7626211894913291,0.7643038244674987,0.0016826349761696613,0.5701765084190779,0.5793241088571597,0.5745942333270005,0.0045711365043015345,6,0.8222334839707928,0.8198208714473202,0.8210271777090565,0.0012063062617362896,0.2897048868357593,0.30574477019986,0.2974511578646917,0.008015270984633694,6,0.3467508619125385,0.32611641341507114,0.33643363766380485,0.010317224248733686,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
4,0,40.3504513502121,1.9210177659988403,1.5776104927062988,0.5321319103240967,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.35011185682326623,0.37964071856287424,0.3643724696356275,0.014755832279956832,6,0.837125748502994,0.8769574944071589,0.8570416214550765,0.019915872952082414,0.5659955257270693,0.5880239520958084,0.5766338924233662,0.011007798666769965,6,0.9820359281437125,0.9865771812080537,0.9843065546758831,0.002270626532170583,0.4578440174821907,0.48424418424230325,0.47059366424025545,0.013192395843439755,5,0.899603174603175,0.9256485032491748,0.9126258389261749,0.013022664322999922,0.565653512420886,0.5878775921260084,0.5763863675705547,0.011105568362132612,5,0.924539326029125,0.944161517968239,0.934350421998682,0.009811095969556982,0.30382291273230866,0.3045176141224046,0.304158410511794,0.0003471484030540331,4,0.35016546128522175,0.322022114723457,0.33609378800433937,0.01407167328088238,"{'hidden_layer_sizes': 40, 'max_iter': 500}"
5,0,39.607173681259155,0.49309229850769043,0.6419376134872437,0.25365912914276123,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.3624161073825503,0.3688622754491018,0.3655292076344708,0.0032212069560020114,5,0.9652694610778443,0.9630872483221476,0.964178354699996,0.0010911063778483165,0.5760626398210291,0.5976047904191617,0.5864661654135338,0.010764802381435644,3,0.9892215568862276,0.9888143176733781,0.9890179372798029,0.00020361960642473198,0.46534559616391563,0.4786169533879595,0.4717548403987778,0.006631814089288515,4,0.9762318220701455,0.9751282802457301,0.9756800511579378,0.0005517709122077052,0.5713377011196369,0.5839669034979098,0.5774368243040544,0.006310923657225298,4,0.9819255467986719,0.9810980434376616,0.9815117951181668,0.00041375168050516997,0.29303054514463905,0.309811442050963,0.3011346798564843,0.008385561977989394,5,0.34447543873292374,0.33268664594167946,0.3385810423373016,0.005894396395622142,"{'hidden_layer_sizes': 80, 'max_iter': 500}"
0,1,11.288630366325378,0.7839466333389282,0.684646487236023,0.07828152179718018,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.13758389261744966,0.1317365269461078,0.13475997686524002,0.002921980125301069,6,0.15209580838323353,0.1331096196868009,0.14260271403501723,0.00949309434821631,0.34451901565995524,0.3592814371257485,0.3516483516483517,0.007376912023096885,3,0.3964071856287425,0.3724832214765101,0.3844452035526263,0.011961982076116207,0.24014400075093648,0.2480221059306502,0.24394863801239453,0.003936758542906771,5,0.2729833083144005,0.2549762042447804,0.26397975627959047,0.009003552034810042,0.38487439531041734,0.3935165826030722,0.38904803694683543,0.0043185771042213664,5,0.4174002184809644,0.40273771998684665,0.41006896923390557,0.007331249247058885,0.14391300347676186,0.15128688078388675,0.1474741298801449,0.003684791434102834,1,0.15006081343805894,0.14393460007553965,0.1469977067567993,0.003063106681259642,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,1,11.504655003547668,0.525018572807312,0.7726693153381348,0.06839919090270996,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.1476510067114094,0.1688622754491018,0.15789473684210525,0.010599457801607608,1,0.20479041916167665,0.20134228187919462,0.20306635052043565,0.0017240686412410139,0.3434004474272931,0.3652694610778443,0.3539618276460382,0.010928138727500574,2,0.4718562874251497,0.4899328859060403,0.480894586665595,0.009038299240445302,0.24868128273339787,0.2695213814795269,0.2587457607282028,0.01041398088782887,1,0.33776164767233013,0.33540663212346006,0.3365841398978951,0.0011775077744350382,0.3912466397256663,0.40847732604689463,0.39956799488947525,0.008610325710034181,1,0.47463588149313946,0.4731187484983405,0.47387731499574,0.000758566497399471,0.14169915841056782,0.14476602638878086,0.1431802658494388,0.001532540939449116,2,0.15677668040542292,0.1492207065864784,0.15299869349595066,0.0037779869094722585,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,1,22.6932532787323,1.0984649658203125,1.575837254524231,0.1628173589706421,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.12751677852348994,0.1532934131736527,0.1399652978600347,0.012880811356481853,4,0.27904191616766466,0.2953020134228188,0.28717196479524176,0.008130048627577074,0.33109619686800895,0.3377245508982036,0.3342972816657027,0.0033122468865955765,5,0.6,0.6364653243847874,0.6182326621923937,0.018232662192393723,0.23343406642747724,0.24935677661688202,0.24112375006435,0.007956718517262276,6,0.4306518379963818,0.45197819656915883,0.44131501728277034,0.010663179286388519,0.3788716668570044,0.3911026928505253,0.38477849548892457,0.0061119514109175535,6,0.5548147381302433,0.572286625394841,0.5635506817625422,0.008735943632298848,0.13555177857191278,0.13636643595925033,0.13594520767453097,0.0004070914713605975,4,0.15092311480934234,0.15990608384903687,0.1554145993291896,0.004491484519847266,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,1,34.092853307724,1.1680529117584229,1.7833189964294434,0.4709150791168213,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.14093959731543623,0.15089820359281436,0.145748987854251,0.004976403264945751,2,0.5029940119760479,0.5212527964205816,0.5121234041983147,0.009129392222266886,0.3366890380313199,0.3317365269461078,0.3342972816657027,0.0024748134073855764,5,0.8383233532934131,0.8389261744966443,0.8386247638950287,0.00030141060161559263,0.245623375046003,0.24977182102454754,0.2476268177250572,0.002073014991964841,3,0.6489871010545565,0.6608319010885344,0.6549095010715454,0.00592240001698896,0.38874417358351926,0.3927545366790423,0.3906809307754,0.0020040137591857002,3,0.730858911547077,0.7392709804363464,0.7350649459917118,0.0042060344446346876,0.134864077011728,0.13449125126370634,0.13468402524793502,0.00018630430986366143,6,0.16838364828783992,0.16951313228158865,0.16894839028471428,0.0005647419968743683,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
