,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,10.77440094947815,0.837674617767334,0.8273035287857056,0.08848273754119873,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.3434343434343434,0.3031026252983294,0.32388663967611336,0.020156382511842638,3,0.3532219570405728,0.2839506172839506,0.31858628716226167,0.0346356698783111,0.5780022446689114,0.6145584725536993,0.5957200694042799,0.018269524495608203,1,0.6205250596658711,0.5993265993265994,0.6099258294962353,0.010599230169635876,0.4619439233575905,0.45717137445722883,0.4596307967072128,0.0023851530665703175,3,0.4872581091573774,0.4390528299689723,0.4631554695631749,0.02410263959420253,0.5693540820703719,0.5698881544232302,0.5696129326381539,0.00026691068793320376,1,0.5932554742537094,0.5549542894624673,0.5741048818580883,0.019150592395621058,0.35387074205256014,0.36923774912438395,0.36131871887510975,0.007679892821756275,1,0.3697428426784034,0.35349128611754865,0.36161706439797603,0.008125778280427376,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,0,9.280461549758911,1.2249441146850586,0.8770534992218018,0.09138894081115723,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.2895622895622896,0.3520286396181384,0.31983805668016196,0.031218497600280688,4,0.31742243436754175,0.32996632996632996,0.32369438216693586,0.006271947799394106,0.5735129068462402,0.6014319809069213,0.5870445344129556,0.013952977015403862,3,0.6276849642004774,0.6105499438832772,0.6191174540418773,0.008567510158600078,0.4337657687718189,0.47696937359495545,0.4547053991025236,0.021591651061550667,4,0.46944562160935166,0.4682690238857304,0.468857322747541,0.0005882988618106377,0.5485418904057281,0.582020515829131,0.5647680836415937,0.016731446394847246,4,0.5804190723465095,0.5796377891088731,0.5800284307276913,0.00039064161881818826,0.3466343570383974,0.3609365733709408,0.3535662583031004,0.007147747641042073,2,0.3647549308289164,0.3502858308918914,0.35752038086040394,0.007234549968512499,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,0,20.269714951515198,3.3910926580429077,1.6007249355316162,0.19422340393066406,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.3445566778900112,0.32816229116945106,0.3366107576633892,0.008193341247508333,2,0.373508353221957,0.3434343434343434,0.3584713483281502,0.015037004893806799,0.5858585858585859,0.5966587112171837,0.5910931174089069,0.005397525024091733,2,0.6563245823389021,0.6554433221099888,0.6558839522244455,0.0004406301144566638,0.4603761198530506,0.4596606487878306,0.46002935018696944,0.0003575674217025921,2,0.508189229321822,0.49385664622639536,0.5010229377741087,0.0071662915477133105,0.5677962475699165,0.5689097483172529,0.5683359315642879,0.0005564887395782378,3,0.6133467816558626,0.6025835149796901,0.6079651483177764,0.005381633338086278,0.34451734759815567,0.3543937327588878,0.3493041670109339,0.004935871972095398,3,0.36415000671563913,0.3442132726981212,0.35418163970688016,0.009968367008758972,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,0,25.72067081928253,6.5688804388046265,1.7773041725158691,0.1588292121887207,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.3445566778900112,0.3556085918854415,0.3499132446500868,0.005523360180903426,1,0.3997613365155131,0.4051627384960718,0.40246203750579246,0.002700700990279359,0.5667789001122334,0.5799522673031027,0.5731636784268364,0.006583588310635767,4,0.6992840095465394,0.755331088664422,0.7273075491054807,0.028023539558941324,0.4541778969963832,0.4681016254758958,0.46092635533405324,0.006958592646056535,1,0.5417709307000224,0.554466911585205,0.5481189211426136,0.0063479904425913225,0.5623724514990418,0.5747321388030985,0.568362860961621,0.006176939553806781,2,0.6427097003147358,0.6556350219621999,0.6491723611384679,0.006462660823732036,0.3319835196602873,0.32021422888964657,0.3262792595875303,0.005881880009825393,4,0.3590004029383504,0.32638042279456425,0.3426904128664573,0.01630999007189307,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
4,0,36.77746045589447,2.6806763410568237,1.4955860376358032,0.5730656385421753,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.3176206509539843,0.31861575178997614,0.31810294968189706,0.0004973166037822695,5,0.4809069212410501,0.5129068462401796,0.49690688374061487,0.01599996249956473,0.5544332210998878,0.568019093078759,0.5610179294389821,0.006789743780305897,5,0.8496420047732697,0.8619528619528619,0.8557974333630658,0.006155428589796119,0.43101210221265984,0.43895260607076453,0.4348606517980223,0.003968386185804532,5,0.642408621072964,0.6588200357882472,0.6506143284306056,0.00820570735764159,0.5440037575139719,0.5519785496926637,0.5478689257301337,0.003985522289530925,5,0.7268607246919696,0.739256757312298,0.7330587410021339,0.0061980163101642,0.30722280525310824,0.3096100538284309,0.3083798407106677,0.0011930633669704068,5,0.3493044922460196,0.32104372245786383,0.33517410735194175,0.014130384894077891,"{'hidden_layer_sizes': 40, 'max_iter': 500}"
5,0,31.889034271240234,1.8356685638427734,0.8209221363067627,0.44145727157592773,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.31874298540965207,0.2756563245823389,0.29786003470213995,0.021533206541425574,6,0.5071599045346062,0.6060606060606061,0.5566102552976062,0.04945035076299992,0.5521885521885522,0.5525059665871122,0.5523423944476576,0.00015863261789552378,6,0.869928400954654,0.9326599326599326,0.9012941668072934,0.03136576585263934,0.4317448915907661,0.40565634095873776,0.4191004697112752,0.01303814541065091,6,0.6642948703931884,0.7465869929971736,0.705440931695181,0.04114606130199261,0.5448633279354961,0.5267157822312242,0.53606769849641,0.009069508807754497,6,0.7439387373943819,0.8083770240726977,0.7761578807335399,0.03221914333915793,0.2971679517639113,0.31404668918988726,0.3053486238072704,0.008435402794584457,6,0.33565601462976163,0.34293920445435594,0.3392976095420588,0.0036415949122971525,"{'hidden_layer_sizes': 80, 'max_iter': 500}"
0,1,11.961930751800537,0.7791135311126709,0.8070298433303833,0.0045195817947387695,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.07158836689038031,0.1281437125748503,0.0989010989010989,0.028261204336760794,5,0.10059880239520957,0.12192393736017897,0.11126136987769428,0.010662567482484696,0.32997762863534674,0.35449101796407184,0.3418160786581839,0.012249556543616126,2,0.36407185628742517,0.3333333333333333,0.34870259481037924,0.015369261477045926,0.19800061503949648,0.2435640588150406,0.2200049386673619,0.022768454144216434,5,0.22913070008269082,0.23497018057416544,0.23205044032842814,0.0029197402457373095,0.35362628064130397,0.39086759735383936,0.3716115319165886,0.018609813955606284,5,0.3831374379165263,0.3844743978579272,0.38380591788722673,0.0006684799707004363,0.14971653253532446,0.16037623454389924,0.15486450892465928,0.005326746976564508,1,0.15576234543899212,0.1545237126780751,0.1551430290585336,0.0006193163804585067,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,1,11.01427686214447,0.1736394166946411,0.8100132942199707,0.03630805015563965,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.06599552572706935,0.09820359281437126,0.08155002891844997,0.016094654788685863,6,0.09580838323353294,0.11297539149888143,0.10439188736620719,0.008583504132674245,0.3087248322147651,0.32934131736526945,0.31868131868131866,0.010302239204669768,6,0.36407185628742517,0.35906040268456374,0.3615661294859944,0.0025057268014307132,0.18846623288834427,0.21301405413054647,0.20032131139455528,0.01226676247403181,6,0.22699440346200203,0.23601122149159734,0.23150281247679969,0.004508409014797654,0.3452669252836397,0.3650666584462083,0.3548289710851115,0.009894101042942515,6,0.38227007036545496,0.38731514841474796,0.38479260939010146,0.0025225390246464974,0.14774148483880026,0.14494138994737796,0.14638921229146792,0.00139923207843703,4,0.15668024988983073,0.1443251304996271,0.15050269019472892,0.006177559695101809,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,1,22.278948426246643,2.3280361890792847,1.4947751760482788,0.1403294801712036,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.12751677852348994,0.13892215568862276,0.13302486986697512,0.005699367419659418,4,0.19640718562874251,0.16666666666666666,0.18153692614770459,0.014870259481037928,0.3333333333333333,0.362874251497006,0.3475997686524002,0.014761856981246128,1,0.5101796407185629,0.4217002237136465,0.46593993221610475,0.0442397085024582,0.23669662145977835,0.25543562573331974,0.2457464008515696,0.00936404547496932,2,0.34562812078751043,0.29573286087515,0.3206804908313302,0.024947629956180217,0.3821884870085548,0.40041226197031493,0.39098944252797047,0.009106580850108282,2,0.48364029755833093,0.4390010534123599,0.4613206754853454,0.022319622072985518,0.15062864987361632,0.14761072659875055,0.14917117969749547,0.001508082840117243,2,0.16428708816133966,0.15115674966346107,0.15772191891240037,0.006565169248939295,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,1,35.118059039115906,1.4055973291397095,1.7164502143859863,0.03162670135498047,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.1487695749440716,0.13892215568862276,0.14401388085598613,0.004920842130833492,1,0.25748502994011974,0.22371364653243847,0.2405993382362791,0.016885691703840633,0.3243847874720358,0.35449101796407184,0.33892423366107577,0.015044348530587934,3,0.61437125748503,0.5078299776286354,0.5611006175568327,0.053270639928197305,0.2449016960261546,0.25092979693513734,0.2478128957132573,0.003012295115334348,1,0.42097555096442574,0.36289144385570876,0.3919334974100672,0.029042053554358488,0.38748914295547937,0.39504782863949955,0.39113952036794725,0.0037771418076947933,1,0.5482658561268451,0.49737477896129323,0.5228203175440691,0.02544553858277593,0.1494145433239393,0.1461548072685797,0.14784029253954065,0.001628918816240586,3,0.16609902273375327,0.1552013664933128,0.16065019461353303,0.005448828120220239,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
