,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,9.34205973148346,1.062191367149353,0.6566306352615356,0.06014883518218994,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.2962962962962963,0.3126491646778043,0.3042220936957779,0.008172591833353223,6,0.31742243436754175,0.29741863075196406,0.3074205325597529,0.010001901807788843,0.5813692480359147,0.6193317422434368,0.5997686524002314,0.01897232723312015,2,0.6264916467780429,0.5858585858585859,0.6061751163183144,0.020316530459728532,0.435818371982211,0.4623873711628536,0.4486956544075312,0.013278256796197877,5,0.4692173184634098,0.4396216012377872,0.4544194598505985,0.014797858612811299,0.5494043048185416,0.5734300940950712,0.5610489615066456,0.012007249410340065,5,0.5809557559608288,0.5532456020140392,0.567100678987434,0.013855076973394831,0.3542822646863051,0.3709658638894915,0.362368358458584,0.008337879533909997,2,0.3714801268739215,0.3544800093284941,0.3629800681012078,0.008500058772713703,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,0,9.980701923370361,1.2812509536743164,0.8879690170288086,0.06095743179321289,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.30303030303030304,0.35918854415274465,0.3302486986697513,0.02806592532058426,3,0.3221957040572792,0.3479236812570146,0.3350596926571469,0.012863988599867704,0.5892255892255892,0.6133651551312649,0.6009253903990746,0.012064110991347937,1,0.6205250596658711,0.5993265993265994,0.6099258294962353,0.010599230169635876,0.44332988266578166,0.48134955071087654,0.46175699765814104,0.019000900718035948,2,0.4697850278751286,0.4708565339257826,0.4703207809004556,0.0005357530253269904,0.5557821031924176,0.5874635280053031,0.5711372414186745,0.015833268369454423,1,0.5803921521318701,0.5801638847276911,0.5802780184297807,0.0001141337020895139,0.38976406683477394,0.3732432404508776,0.3817568646891955,0.008256531370237005,1,0.40342409777970645,0.3579507436073092,0.3806874206935078,0.022736677086198614,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,0,13.084722399711609,2.3557275533676147,1.5493998527526855,0.11380791664123535,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.2951739618406285,0.3448687350835322,0.3192596876807403,0.02483571007179125,5,0.32816229116945106,0.3479236812570146,0.3380429862132328,0.009880695043781779,0.5589225589225589,0.616945107398568,0.5870445344129555,0.02899764094974294,4,0.6133651551312649,0.6262626262626263,0.6198138906969456,0.006448735565680708,0.4248374895799036,0.4702656039788573,0.4468552801330113,0.022703383166793895,6,0.4667930687917388,0.483287902959723,0.4750404858757309,0.008247417083992098,0.5395173712672059,0.5772812462232397,0.5578205101990488,0.018873064276017468,6,0.5779749281797959,0.5939754982764077,0.5859752132281018,0.00800028504830591,0.33903722166348427,0.35908935932802283,0.34875595582362495,0.010021357274776163,3,0.35590604304208123,0.34503294124506245,0.3504694921435718,0.00543655089850939,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,0,14.67284643650055,1.5546830892562866,1.767874836921692,0.01854097843170166,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.32323232323232326,0.3520286396181384,0.33718912666281087,0.014391392056423197,2,0.34844868735083534,0.3490460157126824,0.34874735153175884,0.0002986641809235302,0.5521885521885522,0.6133651551312649,0.5818392134181608,0.030573927089591137,5,0.630071599045346,0.6206509539842873,0.6253612765148167,0.004710322530529387,0.43499319502236666,0.4773196489477433,0.45550769380169903,0.021153281712736154,3,0.48421621695500217,0.4808989717036546,0.4825575943293284,0.001658622625673789,0.5463655286472747,0.582898420693006,0.564072043126351,0.018257862059193396,3,0.5932423627763241,0.5907481943710096,0.5919952785736668,0.0012470842026572893,0.30278083868992955,0.3645701216047278,0.33272844949536673,0.030880123117071424,5,0.3172769116325202,0.3495496329334713,0.3334132722829958,0.01613636065047555,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
4,0,11.211057424545288,0.7753145694732666,1.5711090564727783,0.32547640800476074,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.31874298540965207,0.3424821002386635,0.3302486986697513,0.011863979545142166,3,0.33890214797136037,0.3400673400673401,0.33948474401935025,0.0005825960479898529,0.5780022446689114,0.6097852028639618,0.5934065934065934,0.015884011203710455,3,0.6420047732696897,0.6105499438832772,0.6262773585764835,0.015727414693206265,0.4431803196114599,0.4667152247044977,0.45458705788096004,0.011761922659366916,4,0.48771296177334855,0.4706765774069738,0.47919476959016116,0.00851819218318739,0.5543170877111689,0.5740659720079355,0.5638888430846163,0.00986980184492309,4,0.5975795000695155,0.5818210460043111,0.5897002730369133,0.007879227032602243,0.32321315609194395,0.36917175505481,0.34548805830760715,0.022968500803260183,4,0.34856933639153204,0.3595444828273111,0.3540569096094216,0.005487573217889535,"{'hidden_layer_sizes': 40, 'max_iter': 500}"
5,0,10.10366427898407,1.6007968187332153,0.6524083614349365,0.20890402793884277,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.3468013468013468,0.3627684964200477,0.3545401966454598,0.0079798230824928,1,0.36992840095465396,0.3658810325476992,0.3679047167511766,0.0020236842034773717,0.5375982042648709,0.5954653937947494,0.5656448814343551,0.028919997980646386,6,0.6324582338902148,0.6083052749719416,0.6203817544310782,0.012076479459136591,0.45153100297557447,0.4728698339070031,0.4618733629064809,0.010664401579890705,1,0.4998268870587413,0.48596045993514264,0.49289367349694196,0.006933213561799323,0.5589387025372886,0.5783062374790673,0.5683256280903312,0.009679216771312827,2,0.6060327060583622,0.5949389861439665,0.6004858461011644,0.005546859957197892,0.3143012860689628,0.34432915930529295,0.32885499212566877,0.01500688110849744,6,0.33711155193255427,0.3282871767215201,0.3326993643270372,0.004412187605517093,"{'hidden_layer_sizes': 80, 'max_iter': 500}"
0,1,7.467256546020508,3.896747350692749,0.6739829778671265,0.09051096439361572,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.09172259507829977,0.09341317365269461,0.09253903990746096,0.0008447970030080093,6,0.09820359281437126,0.09060402684563758,0.09440380983000442,0.0037997829843668396,0.2550335570469799,0.2946107784431138,0.2741469057258531,0.019777086098945015,6,0.27065868263473053,0.27740492170022374,0.27403180216747713,0.0033731195327466046,0.18625412333117417,0.2063340835564694,0.19595150146195586,0.010034132974222596,6,0.19845963756329021,0.19906547957481577,0.198762558569053,0.0003029210057627768,0.33996085159850564,0.3599156411621354,0.34959778004594977,0.009971584092176486,6,0.35178542068021385,0.35312869514719114,0.3524570579137025,0.0006716372334886478,0.14866454574508267,0.15375804235684476,0.1511243893950661,0.002545265116700279,5,0.15375519091686754,0.14817983284426237,0.15096751188056495,0.002787679036302587,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,1,10.871553659439087,0.7423827648162842,0.8296014070510864,0.07488429546356201,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.10514541387024609,0.09461077844311377,0.10005783689994216,0.0052642501043224914,5,0.118562874251497,0.0894854586129754,0.10402416643223619,0.014538707819260803,0.31208053691275167,0.3017964071856287,0.30711393869288606,0.005139070199756333,5,0.3532934131736527,0.3288590604026846,0.3410762367881687,0.012217176385484058,0.2153243312264935,0.21163479094938098,0.21354251160163001,0.0018436957712525933,5,0.2400187384751106,0.21541411463989385,0.22771642655750224,0.012302311917608375,0.36507672221750664,0.3632820478240504,0.3642100055497588,0.0008968146005930477,5,0.39105427158954414,0.3695520783933855,0.3803031749914648,0.010751096598079324,0.14544999370502726,0.14518091090546179,0.1453200433651561,0.00013446304482788617,6,0.15016522798558726,0.14146406539023987,0.14581464668791355,0.004350581297673697,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,1,17.733402848243713,8.93958866596222,1.6903436183929443,0.1407170295715332,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.11185682326621924,0.11017964071856287,0.11104684788895315,0.0008381028904643631,4,0.12934131736526946,0.12080536912751678,0.12507334324639313,0.00426797411887634,0.30201342281879195,0.32335329341317365,0.31231925968768076,0.010663721282026603,4,0.3449101796407186,0.3523489932885906,0.3486295864646546,0.003719406823936011,0.21245228335766897,0.22689862770552843,0.21942897365868844,0.007218965503488669,4,0.24495315725336173,0.2424083734654083,0.24368076535938502,0.0012723918939767098,0.3609125522626198,0.3761345144418557,0.36826381797671,0.007606548564903559,4,0.39399483477505715,0.39294306048477273,0.3934689476299149,0.0005258871451422065,0.15806957397561427,0.15179301137983772,0.15503838266996162,0.00313645360849452,2,0.15952300593617955,0.15073602758166513,0.15512951675892234,0.004393489177257209,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,1,16.92877984046936,2.2206811904907227,1.3086265325546265,0.004859328269958496,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.12192393736017897,0.12574850299401197,0.12377096587622903,0.001911169131210668,1,0.13053892215568863,0.13087248322147652,0.13070570268858256,0.00016678053289394257,0.31543624161073824,0.33053892215568864,0.3227299016772701,0.007546942481705476,3,0.37485029940119763,0.34451901565995524,0.35968465753057643,0.015165641870621194,0.22654094539107925,0.2350568431191595,0.23065359698329843,0.00425546909653707,2,0.2572975256088128,0.24549535162751773,0.2513964386181653,0.005901086990647536,0.3735770625007945,0.3823766991158809,0.37782674241611963,0.004397255917339199,2,0.4050433733580553,0.3949485354288449,0.3999959543934501,0.005047418964605199,0.15328357883727012,0.15366251911760892,0.1534665835417715,0.00018935979551487492,3,0.1549426601342769,0.15172557308463347,0.15333411660945517,0.0016085435248217178,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
