,column,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_max_iter,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_hit@5,split1_test_hit@5,mean_test_hit@5,std_test_hit@5,rank_test_hit@5,split0_train_hit@5,split1_train_hit@5,mean_train_hit@5,std_train_hit@5,split0_test_mrr,split1_test_mrr,mean_test_mrr,std_test_mrr,rank_test_mrr,split0_train_mrr,split1_train_mrr,mean_train_mrr,std_train_mrr,split0_test_mdcg,split1_test_mdcg,mean_test_mdcg,std_test_mdcg,rank_test_mdcg,split0_train_mdcg,split1_train_mdcg,mean_train_mdcg,std_train_mdcg,split0_test_map@5,split1_test_map@5,mean_test_map@5,std_test_map@5,rank_test_map@5,split0_train_map@5,split1_train_map@5,mean_train_map@5,std_train_map@5,params_str
0,0,13.276415348052979,1.431551456451416,1.3171114921569824,0.08942198753356934,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.30201342281879195,0.3221556886227545,0.3117408906882591,0.010065267620624745,6,0.3221556886227545,0.30201342281879195,0.3120845557207732,0.010071132901981278,0.5771812080536913,0.615568862275449,0.5957200694042799,0.01918264890506928,5,0.615568862275449,0.5771812080536913,0.5963750351645702,0.01919382711087886,0.4413041937247907,0.4686119083622229,0.4544921299435622,0.013645905510756097,6,0.46865273019465514,0.4414482099631064,0.4550504700788808,0.013602260115774367,0.5544891678012436,0.5788657641564414,0.5662615552833663,0.012181199889971829,6,0.5789621555391823,0.554759976777228,0.5668610661582052,0.012101089380977148,0.3539783743475018,0.374309977447702,0.3637972804138217,0.010159881135099497,4,0.374309977447702,0.3539783743475018,0.3641441758976019,0.010165801550100106,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,0,14.373374700546265,0.6919312477111816,1.5898412466049194,0.25349462032318115,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.3579418344519016,0.3844311377245509,0.3707345286292655,0.013236938143803766,5,0.3772455089820359,0.3635346756152125,0.3703900922986242,0.006855416683411691,0.5838926174496645,0.6179640718562874,0.600347021399653,0.017025805843506873,4,0.629940119760479,0.6017897091722595,0.6158649144663693,0.014075205294109772,0.46917779238287266,0.49909459166497233,0.48362575502055527,0.014949688086610815,5,0.5002548516158551,0.4825545934611639,0.49140472253850953,0.008850129077345614,0.5751630587634149,0.6013773117843774,0.5878229206908316,0.01309949311059387,5,0.6035979379625896,0.5891783788600383,0.596388158411314,0.0072097795512756635,0.3584286779588792,0.39238525546309977,0.37482760347421995,0.016968400843624425,1,0.3774009383829742,0.36883015195095725,0.37311554516696577,0.004285393216008487,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,0,23.3769713640213,1.4640551805496216,1.718428611755371,0.015802860260009766,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.36465324384787473,0.38323353293413176,0.37362637362637363,0.00928473409803573,4,0.3916167664670659,0.3635346756152125,0.37757572104113923,0.014041045425926685,0.5782997762863534,0.61437125748503,0.5957200694042799,0.018025236846273135,5,0.6239520958083832,0.6017897091722595,0.6128709024903214,0.011081193318061844,0.47237298338302514,0.4990099902203712,0.4852370092414311,0.01331074691594798,4,0.5087449838675407,0.48206947958277974,0.4954072317251602,0.013337752142380505,0.5775131523260443,0.6006664860319708,0.5886947796507688,0.011569924770525838,4,0.6103413218113105,0.5893185036713458,0.5998299127413281,0.01051140906998238,0.34761851496750823,0.39369691785260646,0.3698715319767951,0.023025783746644834,3,0.37072001451642167,0.36683658250772344,0.36877829851207256,0.0019417160043491144,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,0,34.86333179473877,0.2380356788635254,1.7661747932434082,0.03207516670227051,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.3691275167785235,0.3916167664670659,0.3799884326200116,0.011238076138271358,3,0.4035928143712575,0.3668903803131991,0.3852415973422283,0.0183512170290292,0.5894854586129754,0.6203592814371257,0.6043956043956044,0.015427921179338782,1,0.6311377245508982,0.6051454138702461,0.6181415692105722,0.012996155340326054,0.4776330556294789,0.5033363970742094,0.49004617888358526,0.012844186096214277,3,0.5153815399054987,0.48864457029884967,0.5020130551021742,0.013368484803324532,0.5820038174841571,0.603620722201916,0.5924434446902465,0.010802157673392673,3,0.6163155741872656,0.5960671847053147,0.6061913794462901,0.010124194740975423,0.3554964312346862,0.38999860020219296,0.37215884366260304,0.017241037703000173,2,0.380423464758794,0.3615768906708504,0.3710001777148222,0.0094232870439718,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
4,0,41.9537718296051,1.8794476985931396,1.6930010318756104,0.4469418525695801,40,500,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0.3724832214765101,0.40119760479041916,0.3863504916136495,0.014348830237303215,2,0.4059880239520958,0.38031319910514544,0.39315061152862063,0.012837412423475192,0.587248322147651,0.6167664670658682,0.6015037593984962,0.014750476989921926,3,0.6455089820359281,0.6308724832214765,0.6381907326287023,0.0073182494072258075,0.4796431863193289,0.5056553348400878,0.492205444280482,0.012998499711853153,2,0.5242620017014371,0.5028853590339368,0.5135736803676869,0.01068832133375014,0.5837796506983486,0.60509885147767,0.5940755053257247,0.010653392393396304,2,0.6253944388095993,0.6082504197131773,0.6168224292613883,0.008572009548211024,0.34080202794967895,0.3687123156284832,0.3542809696569095,0.013947016566553528,5,0.3629708375456878,0.3470588192568058,0.3550148284012468,0.007956009144441,"{'hidden_layer_sizes': 40, 'max_iter': 500}"
5,0,41.59850335121155,1.9149377346038818,0.7493802309036255,0.2095555067062378,80,500,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0.383668903803132,0.4239520958083832,0.4031231925968768,0.020129865829995097,1,0.4287425149700599,0.40492170022371365,0.41683210759688677,0.011910407373173115,0.5838926174496645,0.6215568862275449,0.6020821283979179,0.018821166827712475,2,0.6622754491017964,0.6610738255033557,0.661674637302576,0.0006008117992203355,0.4839603697732479,0.5179113378712541,0.5003565862925279,0.016965597773935553,1,0.5447863055540643,0.5261013075849893,0.5354438065695268,0.009342498984537484,0.5862415536049379,0.6139084103580209,0.5996029332398856,0.013825371989008586,1,0.6428495057827446,0.6280439113965983,0.6354467085896714,0.0074027971930731296,0.3366720416049275,0.36198939782772116,0.34889875788372027,0.012651305881336158,6,0.36145672291780073,0.33912945369321207,0.35029308830550643,0.011163634612294332,"{'hidden_layer_sizes': 80, 'max_iter': 500}"
0,1,8.995519161224365,3.7778470516204834,0.6225467920303345,0.005867123603820801,2,500,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0.09284116331096197,0.09820359281437126,0.09543088490456912,0.002679653251221125,6,0.09820359281437126,0.09284116331096197,0.09552237806266661,0.002681214751704644,0.2662192393736018,0.281437125748503,0.27356853672643144,0.007604511849580796,6,0.29820359281437125,0.2662192393736018,0.28221141609398653,0.01599217672038472,0.19289206641676057,0.2025350430948255,0.19754902739199726,0.004818680374333669,6,0.20578039596013065,0.1928391660083747,0.19930978098425267,0.006470614975877975,0.34649815024656194,0.35588764379195303,0.35103269455564323,0.004692012620442018,6,0.3591236595408094,0.34641411588588933,0.35276888771334936,0.006354771827460026,0.1514033915376197,0.15729465743837004,0.1542485083838467,0.002943917456577683,1,0.15732887471809628,0.15183217602680688,0.1545805253724516,0.0027483493456447045,"{'hidden_layer_sizes': 2, 'max_iter': 500}"
1,1,13.528627753257751,0.5239392518997192,0.8974076509475708,0.09534323215484619,5,500,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0.12639821029082773,0.16526946107784432,0.14517061885482938,0.019424306367894932,5,0.1592814371257485,0.15659955257270694,0.15794049484922773,0.0013409422765207762,0.32550335570469796,0.38083832335329343,0.3522267206477733,0.027651370684034744,5,0.3712574850299401,0.354586129753915,0.3629218073919276,0.008335677638012545,0.23722363051245896,0.2765736866802392,0.25622727244426724,0.01966356963363106,5,0.272854682159253,0.26513467843688965,0.26899468029807133,0.0038600018611816833,0.3826639931519216,0.41583798456192506,0.3986849780144739,0.016577335679896665,5,0.41445249067943696,0.4084383026859706,0.41144539668270375,0.0030070939967331844,0.14023368875717868,0.13879866241542888,0.1395406598414117,0.0007170953016376302,6,0.14736024055784533,0.14001784382656865,0.143689042192207,0.0036711983656383396,"{'hidden_layer_sizes': 5, 'max_iter': 500}"
2,1,24.97744643688202,5.022088646888733,1.8253202438354492,0.015353202819824219,10,500,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0.15548098434004473,0.17964071856287425,0.16714864083285136,0.012072831972463905,4,0.17604790419161676,0.16778523489932887,0.1719165695454728,0.004131334646143944,0.348993288590604,0.3916167664670659,0.36957779063042223,0.021299327291369925,3,0.4119760479041916,0.383668903803132,0.3978224758536618,0.014153572050529806,0.2576949240880782,0.28866648138744544,0.27265226957389177,0.015476759957378652,4,0.30187480841682374,0.2844270616823353,0.2931509350495795,0.008723873367244228,0.39875783177328167,0.4255318259891902,0.4116880140580033,0.013379200715500564,4,0.44160379735779853,0.42735816599462373,0.43448098167621113,0.007122815681587402,0.14556020415080817,0.14526769836949477,0.14541894196029534,0.00014616771509986346,3,0.15008632086476398,0.144065196548418,0.147075758706591,0.003010562158172983,"{'hidden_layer_sizes': 10, 'max_iter': 500}"
3,1,39.10486590862274,0.9526945352554321,1.8989185094833374,0.020772814750671387,20,500,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0.15548098434004473,0.1844311377245509,0.16946211683053788,0.014466646618071378,3,0.19161676646706588,0.1756152125279642,0.18361598949751504,0.008000776969550843,0.35570469798657717,0.3976047904191617,0.37593984962406013,0.02093784521401309,2,0.41916167664670656,0.41946308724832215,0.41931238194751436,0.00015070530080779632,0.2575417399457332,0.2893793711335982,0.2729173455222903,0.015909544707208036,3,0.3153145172016018,0.29860713159765656,0.3069608243996292,0.008353692801972623,0.39867041192994074,0.4260625642272254,0.41189912631295555,0.013688099753049679,3,0.45260075495156127,0.4402624814238212,0.4464316181876912,0.006169136763870042,0.14611391963740955,0.14380420976229358,0.1449984727052396,0.0011541823668352403,4,0.15162415428882492,0.14386005307146246,0.14774210368014368,0.0038820506086812284,"{'hidden_layer_sizes': 20, 'max_iter': 500}"
