,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",0,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.4513888888888889
1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",1,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.21064814814814814
2,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",2,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.2523148148148148
3,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",3,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.2569444444444444
4,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",4,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.43287037037037035
5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",5,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.5231481481481481
6,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.6041666666666666
7,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",1,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.4305555555555556
8,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",2,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.41203703703703703
9,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",3,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.4375
10,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",4,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y,0.5995370370370371
