,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",0,1,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_normalized_function,0.44212962962962965
1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",1,1,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_normalized_function,0.20601851851851852
2,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",2,1,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_normalized_function,0.2569444444444444
3,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",3,1,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_normalized_function,0.30092592592592593
4,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",4,1,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_normalized_function,0.4722222222222222
5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 25}",5,1,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_normalized_function,0.5648148148148148
6,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0,1,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_normalized_function,0.5925925925925926
7,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",1,1,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_normalized_function,0.46064814814814814
8,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",2,1,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_normalized_function,0.42824074074074076
9,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",3,1,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_normalized_function,0.49537037037037035
