,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",0,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_split_with_one_hot_encoding,0.43187066974595845
1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",1,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_split_with_one_hot_encoding,0.18244803695150116
2,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",2,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_split_with_one_hot_encoding,0.19861431870669746
3,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",3,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_split_with_one_hot_encoding,0.3371824480369515
4,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",4,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_split_with_one_hot_encoding,0.41570438799076215
5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",5,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_split_with_one_hot_encoding,0.6004618937644342
6,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0,0,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_split_with_one_hot_encoding,0.6120092378752887
7,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",1,0,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_split_with_one_hot_encoding,0.3856812933025404
8,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",2,0,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_split_with_one_hot_encoding,0.42032332563510394
9,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",3,0,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_split_with_one_hot_encoding,0.5150115473441108
