,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",0,2,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_projection,0.2962962962962963
1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",1,2,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_projection,0.09953703703703703
2,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",2,2,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_projection,0.10416666666666667
3,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",3,2,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_projection,0.19907407407407407
4,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",4,2,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_projection,0.3263888888888889
5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",5,2,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_projection,0.5115740740740741
6,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0,2,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_projection,0.5462962962962963
7,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",1,2,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_projection,0.2037037037037037
8,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",2,2,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_projection,0.23148148148148148
9,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",3,2,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_projection,0.3611111111111111
