,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",0,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.3625866050808314
1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",1,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.09468822170900693
2,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",2,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.09006928406466513
3,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",3,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.19630484988452657
4,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",4,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.3233256351039261
5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",5,0,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.49884526558891457
6,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",0,0,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.5727482678983834
7,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",1,0,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.27251732101616627
8,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",2,0,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.24480369515011546
9,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",3,0,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.34872979214780603
10,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 100}",4,0,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_with_random_matrix,0.49884526558891457
