,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",0,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.2708333333333333
1,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",1,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.09027777777777778
2,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",2,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.12962962962962962
3,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",3,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.1574074074074074
4,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",4,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.30092592592592593
5,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 15}",5,4,accuracy,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.4375
6,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.5833333333333334
7,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",1,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.22916666666666666
8,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",2,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.28703703703703703
9,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",3,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.31712962962962965
10,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",4,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.5092592592592593
11,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",5,4,hit@5,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.5254629629629629
12,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",0,4,mrr,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.41774988129154783
13,"{'algorithm': 'brute', 'metric': 'hamming', 'n_neighbors': 60}",1,4,mrr,KNeighborsClassifier,"{'n_neighbors': [1, 5, 10, 15, 20, 25, 40, 60, 80, 100], 'algorithm': ['brute'], 'metric': ['hamming']}",split_x_y_word2vec,0.1444664404223238
