,best_params,column,i_outer,metric,model,params,split_method,value
0,{},0,1,accuracy,LogisticRegression,{},split_x_y,0.35185185185185186
1,{},1,1,accuracy,LogisticRegression,{},split_x_y,0.14583333333333334
2,{},2,1,accuracy,LogisticRegression,{},split_x_y,0.1875
3,{},3,1,accuracy,LogisticRegression,{},split_x_y,0.24074074074074073
4,{},4,1,accuracy,LogisticRegression,{},split_x_y,0.46296296296296297
5,{},5,1,accuracy,LogisticRegression,{},split_x_y,0.5
6,{},0,1,hit@5,LogisticRegression,{},split_x_y,0.6180555555555556
7,{},1,1,hit@5,LogisticRegression,{},split_x_y,0.35648148148148145
8,{},2,1,hit@5,LogisticRegression,{},split_x_y,0.3819444444444444
9,{},3,1,hit@5,LogisticRegression,{},split_x_y,0.4236111111111111
10,{},4,1,hit@5,LogisticRegression,{},split_x_y,0.6041666666666666
11,{},5,1,hit@5,LogisticRegression,{},split_x_y,0.6944444444444444
12,{},0,1,mrr,LogisticRegression,{},split_x_y,0.4806697849217646
13,{},1,1,mrr,LogisticRegression,{},split_x_y,0.25941689890950603
14,{},2,1,mrr,LogisticRegression,{},split_x_y,0.2870312719332306
15,{},3,1,mrr,LogisticRegression,{},split_x_y,0.3400674105551725
16,{},4,1,mrr,LogisticRegression,{},split_x_y,0.5389308355365197
17,{},5,1,mrr,LogisticRegression,{},split_x_y,0.5966000507102026
18,{},0,1,mdcg,LogisticRegression,{},split_x_y,0.5859421653267205
19,{},1,1,mdcg,LogisticRegression,{},split_x_y,0.40280242726432935
20,{},2,1,mdcg,LogisticRegression,{},split_x_y,0.42194166594989874
21,{},3,1,mdcg,LogisticRegression,{},split_x_y,0.46893486397827866
22,{},4,1,mdcg,LogisticRegression,{},split_x_y,0.6312085104764141
23,{},5,1,mdcg,LogisticRegression,{},split_x_y,0.6825397251847567
24,{},0,1,map@5,LogisticRegression,{},split_x_y,0.37486952861952855
25,{},1,1,map@5,LogisticRegression,{},split_x_y,0.1606548120089787
26,{},2,1,map@5,LogisticRegression,{},split_x_y,0.13551787718454383
27,{},3,1,map@5,LogisticRegression,{},split_x_y,0.2597637586179253
28,{},4,1,map@5,LogisticRegression,{},split_x_y,0.43716620570787235
29,{},5,1,map@5,LogisticRegression,{},split_x_y,0.5712277036235369
