,best_params,column,i_outer,metric,model,params,split_method,value
0,{},0,4,accuracy,LogisticRegression,{},split_x_y_normalized_function,0.3333333333333333
1,{},1,4,accuracy,LogisticRegression,{},split_x_y_normalized_function,0.14351851851851852
2,{},2,4,accuracy,LogisticRegression,{},split_x_y_normalized_function,0.18055555555555555
3,{},3,4,accuracy,LogisticRegression,{},split_x_y_normalized_function,0.2337962962962963
4,{},4,4,accuracy,LogisticRegression,{},split_x_y_normalized_function,0.41435185185185186
5,{},5,4,accuracy,LogisticRegression,{},split_x_y_normalized_function,0.4351851851851852
6,{},0,4,hit@5,LogisticRegression,{},split_x_y_normalized_function,0.5995370370370371
7,{},1,4,hit@5,LogisticRegression,{},split_x_y_normalized_function,0.3472222222222222
8,{},2,4,hit@5,LogisticRegression,{},split_x_y_normalized_function,0.3819444444444444
9,{},3,4,hit@5,LogisticRegression,{},split_x_y_normalized_function,0.375
10,{},4,4,hit@5,LogisticRegression,{},split_x_y_normalized_function,0.5671296296296297
11,{},5,4,hit@5,LogisticRegression,{},split_x_y_normalized_function,0.6550925925925926
12,{},0,4,mrr,LogisticRegression,{},split_x_y_normalized_function,0.46667027865458627
13,{},1,4,mrr,LogisticRegression,{},split_x_y_normalized_function,0.2523014045021813
14,{},2,4,mrr,LogisticRegression,{},split_x_y_normalized_function,0.2844191087725386
15,{},3,4,mrr,LogisticRegression,{},split_x_y_normalized_function,0.3178627015892662
16,{},4,4,mrr,LogisticRegression,{},split_x_y_normalized_function,0.4987865648898764
17,{},5,4,mrr,LogisticRegression,{},split_x_y_normalized_function,0.5444948721654542
18,{},0,4,mdcg,LogisticRegression,{},split_x_y_normalized_function,0.5745812659837354
19,{},1,4,mdcg,LogisticRegression,{},split_x_y_normalized_function,0.3960766102142929
20,{},2,4,mdcg,LogisticRegression,{},split_x_y_normalized_function,0.4205284929821962
21,{},3,4,mdcg,LogisticRegression,{},split_x_y_normalized_function,0.4468368722014392
22,{},4,4,mdcg,LogisticRegression,{},split_x_y_normalized_function,0.5999234868954675
23,{},5,4,mdcg,LogisticRegression,{},split_x_y_normalized_function,0.6410336692436542
24,{},0,4,map@5,LogisticRegression,{},split_x_y_normalized_function,0.3856567660734327
25,{},1,4,map@5,LogisticRegression,{},split_x_y_normalized_function,0.15612393779060446
26,{},2,4,map@5,LogisticRegression,{},split_x_y_normalized_function,0.1332480058521725
27,{},3,4,map@5,LogisticRegression,{},split_x_y_normalized_function,0.24225393819143817
28,{},4,4,map@5,LogisticRegression,{},split_x_y_normalized_function,0.40156655844155836
29,{},5,4,map@5,LogisticRegression,{},split_x_y_normalized_function,0.5191649130190797
