,best_params,column,i_outer,metric,model,params,split_method,value
0,{},0,2,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.4398148148148148
1,{},1,2,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.23148148148148148
2,{},2,2,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.2361111111111111
3,{},3,2,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.35648148148148145
4,{},4,2,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.47453703703703703
5,{},5,2,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.5648148148148148
6,{},0,2,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.6365740740740741
7,{},1,2,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.4583333333333333
8,{},2,2,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.4513888888888889
9,{},3,2,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.5324074074074074
10,{},4,2,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.6550925925925926
11,{},5,2,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.7708333333333334
12,{},0,2,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.5269284391512765
13,{},1,2,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.33892188350668195
14,{},2,2,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.34736813972719954
15,{},3,2,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.4491818211166379
16,{},4,2,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.5606001727988302
17,{},5,2,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.6540082863004477
18,{},0,2,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.618758889477896
19,{},1,2,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.4665352642819484
20,{},2,2,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.4750364419036985
21,{},3,2,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.5573535212387439
22,{},4,2,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.6507673967998336
23,{},5,2,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.7279851657417455
24,{},0,2,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.31189163459996794
25,{},1,2,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.16247875581208912
26,{},2,2,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.15799598164181497
27,{},3,2,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.30896214125380794
28,{},4,2,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.4435938752605419
29,{},5,2,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding,0.6020667989417989
