,best_params,column,i_outer,metric,model,params,split_method,value
0,{},0,0,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.3117782909930716
1,{},1,0,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.03926096997690531
2,{},2,0,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.09237875288683603
3,{},3,0,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.02771362586605081
4,{},4,0,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.11085450346420324
5,{},5,0,accuracy,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.28868360277136257
6,{},0,0,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.5427251732101617
7,{},1,0,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.13625866050808313
8,{},2,0,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.14549653579676675
9,{},3,0,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.279445727482679
10,{},4,0,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.2471131639722864
11,{},5,0,hit@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.5773672055427251
12,{},0,0,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.38584200511444544
13,{},1,0,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.12941330709287646
14,{},2,0,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.11745663248868118
15,{},3,0,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.11089228435886057
16,{},4,0,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.15073782368264088
17,{},5,0,mrr,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.3316116610173428
18,{},0,0,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.47250281134153904
19,{},1,0,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.24934280292607996
20,{},2,0,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.27491497186789937
21,{},3,0,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.34724506741025857
22,{},4,0,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.3400053830503291
23,{},5,0,mdcg,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.5875071014043628
24,{},0,0,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.298080491486958
25,{},1,0,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.11578731891664916
26,{},2,0,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.09040760625056235
27,{},3,0,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.09485303380222548
28,{},4,0,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.2448627815602411
29,{},5,0,map@5,LogisticRegression,{},split_x_y_split_with_one_hot_encoding_and_projection,0.5506428521440069
