,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'multi_class': 'auto', 'solver': 'liblinear'}",0,3,accuracy,LogisticRegression,"{'multi_class': ['auto'], 'solver': ['liblinear']}",split_x_y_with_bag_of_words,0.4050925925925926
1,"{'multi_class': 'auto', 'solver': 'liblinear'}",1,3,accuracy,LogisticRegression,"{'multi_class': ['auto'], 'solver': ['liblinear']}",split_x_y_with_bag_of_words,0.19907407407407407
2,"{'multi_class': 'auto', 'solver': 'liblinear'}",2,3,accuracy,LogisticRegression,"{'multi_class': ['auto'], 'solver': ['liblinear']}",split_x_y_with_bag_of_words,0.1527777777777778
3,"{'multi_class': 'auto', 'solver': 'liblinear'}",3,3,accuracy,LogisticRegression,"{'multi_class': ['auto'], 'solver': ['liblinear']}",split_x_y_with_bag_of_words,0.2569444444444444
4,"{'multi_class': 'auto', 'solver': 'liblinear'}",4,3,accuracy,LogisticRegression,"{'multi_class': ['auto'], 'solver': ['liblinear']}",split_x_y_with_bag_of_words,0.4351851851851852
5,"{'multi_class': 'auto', 'solver': 'liblinear'}",5,3,accuracy,LogisticRegression,"{'multi_class': ['auto'], 'solver': ['liblinear']}",split_x_y_with_bag_of_words,0.5370370370370371
6,"{'multi_class': 'auto', 'solver': 'liblinear'}",0,3,hit@5,LogisticRegression,"{'multi_class': ['auto'], 'solver': ['liblinear']}",split_x_y_with_bag_of_words,0.5763888888888888
7,"{'multi_class': 'auto', 'solver': 'liblinear'}",1,3,hit@5,LogisticRegression,"{'multi_class': ['auto'], 'solver': ['liblinear']}",split_x_y_with_bag_of_words,0.37037037037037035
8,"{'multi_class': 'auto', 'solver': 'liblinear'}",2,3,hit@5,LogisticRegression,"{'multi_class': ['auto'], 'solver': ['liblinear']}",split_x_y_with_bag_of_words,0.31712962962962965
9,"{'multi_class': 'auto', 'solver': 'liblinear'}",3,3,hit@5,LogisticRegression,"{'multi_class': ['auto'], 'solver': ['liblinear']}",split_x_y_with_bag_of_words,0.42592592592592593
