,best_params,column,i_outer,metric,model,params,split_method,value
0,{},0,3,accuracy,LogisticRegression,{},split_x_y_with_projection,0.0
1,{},1,3,accuracy,LogisticRegression,{},split_x_y_with_projection,0.009259259259259259
2,{},2,3,accuracy,LogisticRegression,{},split_x_y_with_projection,0.0023148148148148147
3,{},3,3,accuracy,LogisticRegression,{},split_x_y_with_projection,0.0
4,{},4,3,accuracy,LogisticRegression,{},split_x_y_with_projection,0.0
5,{},5,3,accuracy,LogisticRegression,{},split_x_y_with_projection,0.0
6,{},0,3,hit@5,LogisticRegression,{},split_x_y_with_projection,0.46064814814814814
7,{},1,3,hit@5,LogisticRegression,{},split_x_y_with_projection,0.016203703703703703
8,{},2,3,hit@5,LogisticRegression,{},split_x_y_with_projection,0.013888888888888888
9,{},3,3,hit@5,LogisticRegression,{},split_x_y_with_projection,0.018518518518518517
10,{},4,3,hit@5,LogisticRegression,{},split_x_y_with_projection,0.11574074074074074
11,{},5,3,hit@5,LogisticRegression,{},split_x_y_with_projection,0.013888888888888888
12,{},0,3,mrr,LogisticRegression,{},split_x_y_with_projection,0.3043907516451405
13,{},1,3,mrr,LogisticRegression,{},split_x_y_with_projection,0.027761219518249593
14,{},2,3,mrr,LogisticRegression,{},split_x_y_with_projection,0.0274122653455952
15,{},3,3,mrr,LogisticRegression,{},split_x_y_with_projection,0.021611413277404286
16,{},4,3,mrr,LogisticRegression,{},split_x_y_with_projection,0.03570115934567989
17,{},5,3,mrr,LogisticRegression,{},split_x_y_with_projection,0.030809539660823608
18,{},0,3,mdcg,LogisticRegression,{},split_x_y_with_projection,0.20465609935911586
19,{},1,3,mdcg,LogisticRegression,{},split_x_y_with_projection,0.17234957217847546
20,{},2,3,mdcg,LogisticRegression,{},split_x_y_with_projection,0.18874946299058554
21,{},3,3,mdcg,LogisticRegression,{},split_x_y_with_projection,0.20242154367825832
22,{},4,3,mdcg,LogisticRegression,{},split_x_y_with_projection,0.2223914003766008
23,{},5,3,mdcg,LogisticRegression,{},split_x_y_with_projection,0.1877941727930928
24,{},0,3,map@5,LogisticRegression,{},split_x_y_with_projection,0.017762445887445886
25,{},1,3,map@5,LogisticRegression,{},split_x_y_with_projection,0.08966460237293569
26,{},2,3,map@5,LogisticRegression,{},split_x_y_with_projection,0.06678461199294532
27,{},3,3,map@5,LogisticRegression,{},split_x_y_with_projection,0.05456078643578643
28,{},4,3,map@5,LogisticRegression,{},split_x_y_with_projection,0.03728936187269521
29,{},5,3,map@5,LogisticRegression,{},split_x_y_with_projection,0.016839626422959757
