,best_params,column,i_outer,metric,model,params,split_method,value
0,{},0,3,accuracy,LogisticRegression,{},split_x_y_with_random_matrix,0.33564814814814814
1,{},1,3,accuracy,LogisticRegression,{},split_x_y_with_random_matrix,0.16898148148148148
2,{},2,3,accuracy,LogisticRegression,{},split_x_y_with_random_matrix,0.1388888888888889
3,{},3,3,accuracy,LogisticRegression,{},split_x_y_with_random_matrix,0.24074074074074073
4,{},4,3,accuracy,LogisticRegression,{},split_x_y_with_random_matrix,0.41435185185185186
5,{},5,3,accuracy,LogisticRegression,{},split_x_y_with_random_matrix,0.48842592592592593
6,{},0,3,hit@5,LogisticRegression,{},split_x_y_with_random_matrix,0.5578703703703703
7,{},1,3,hit@5,LogisticRegression,{},split_x_y_with_random_matrix,0.36342592592592593
8,{},2,3,hit@5,LogisticRegression,{},split_x_y_with_random_matrix,0.3194444444444444
9,{},3,3,hit@5,LogisticRegression,{},split_x_y_with_random_matrix,0.4097222222222222
10,{},4,3,hit@5,LogisticRegression,{},split_x_y_with_random_matrix,0.5925925925925926
11,{},5,3,hit@5,LogisticRegression,{},split_x_y_with_random_matrix,0.7129629629629629
12,{},0,3,mrr,LogisticRegression,{},split_x_y_with_random_matrix,0.45467392399873646
13,{},1,3,mrr,LogisticRegression,{},split_x_y_with_random_matrix,0.2726444959600556
14,{},2,3,mrr,LogisticRegression,{},split_x_y_with_random_matrix,0.23509750218251324
15,{},3,3,mrr,LogisticRegression,{},split_x_y_with_random_matrix,0.3330567170480612
16,{},4,3,mrr,LogisticRegression,{},split_x_y_with_random_matrix,0.5023046836464246
17,{},5,3,mrr,LogisticRegression,{},split_x_y_with_random_matrix,0.5904105471496154
18,{},0,3,mdcg,LogisticRegression,{},split_x_y_with_random_matrix,0.5637844317493804
19,{},1,3,mdcg,LogisticRegression,{},split_x_y_with_random_matrix,0.411919881984323
20,{},2,3,mdcg,LogisticRegression,{},split_x_y_with_random_matrix,0.3790602573222387
21,{},3,3,mdcg,LogisticRegression,{},split_x_y_with_random_matrix,0.46149132984861146
22,{},4,3,mdcg,LogisticRegression,{},split_x_y_with_random_matrix,0.6027544269288572
23,{},5,3,mdcg,LogisticRegression,{},split_x_y_with_random_matrix,0.6773609640091751
24,{},0,3,map@5,LogisticRegression,{},split_x_y_with_random_matrix,0.3486331569664903
25,{},1,3,map@5,LogisticRegression,{},split_x_y_with_random_matrix,0.17595839345839345
26,{},2,3,map@5,LogisticRegression,{},split_x_y_with_random_matrix,0.11834861511944846
27,{},3,3,map@5,LogisticRegression,{},split_x_y_with_random_matrix,0.24821759259259257
28,{},4,3,map@5,LogisticRegression,{},split_x_y_with_random_matrix,0.426945847362514
29,{},5,3,map@5,LogisticRegression,{},split_x_y_with_random_matrix,0.5736317540484207
