,best_params,column,i_outer,metric,model,params,split_method,value
0,{},0,2,accuracy,LogisticRegression,{},split_x_y_word2vec,0.29398148148148145
1,{},1,2,accuracy,LogisticRegression,{},split_x_y_word2vec,0.09953703703703703
2,{},2,2,accuracy,LogisticRegression,{},split_x_y_word2vec,0.10416666666666667
3,{},3,2,accuracy,LogisticRegression,{},split_x_y_word2vec,0.034722222222222224
4,{},4,2,accuracy,LogisticRegression,{},split_x_y_word2vec,0.020833333333333332
5,{},5,2,accuracy,LogisticRegression,{},split_x_y_word2vec,0.020833333333333332
6,{},0,2,hit@5,LogisticRegression,{},split_x_y_word2vec,0.37037037037037035
7,{},1,2,hit@5,LogisticRegression,{},split_x_y_word2vec,0.18055555555555555
8,{},2,2,hit@5,LogisticRegression,{},split_x_y_word2vec,0.14814814814814814
9,{},3,2,hit@5,LogisticRegression,{},split_x_y_word2vec,0.06944444444444445
10,{},4,2,hit@5,LogisticRegression,{},split_x_y_word2vec,0.11805555555555555
11,{},5,2,hit@5,LogisticRegression,{},split_x_y_word2vec,0.10185185185185185
12,{},0,2,mrr,LogisticRegression,{},split_x_y_word2vec,0.3409135973614527
13,{},1,2,mrr,LogisticRegression,{},split_x_y_word2vec,0.15023089148663496
14,{},2,2,mrr,LogisticRegression,{},split_x_y_word2vec,0.14601559228318942
15,{},3,2,mrr,LogisticRegression,{},split_x_y_word2vec,0.06558025836355268
16,{},4,2,mrr,LogisticRegression,{},split_x_y_word2vec,0.08054605149427163
17,{},5,2,mrr,LogisticRegression,{},split_x_y_word2vec,0.09203568230820612
18,{},0,2,mdcg,LogisticRegression,{},split_x_y_word2vec,0.4490740381284328
19,{},1,2,mdcg,LogisticRegression,{},split_x_y_word2vec,0.2905116234993892
20,{},2,2,mdcg,LogisticRegression,{},split_x_y_word2vec,0.2832932117014234
21,{},3,2,mdcg,LogisticRegression,{},split_x_y_word2vec,0.21035262088797285
22,{},4,2,mdcg,LogisticRegression,{},split_x_y_word2vec,0.22946596361381058
23,{},5,2,mdcg,LogisticRegression,{},split_x_y_word2vec,0.25647773732001306
24,{},0,2,map@5,LogisticRegression,{},split_x_y_word2vec,0.30947661135161125
25,{},1,2,map@5,LogisticRegression,{},split_x_y_word2vec,0.14490610469777135
26,{},2,2,map@5,LogisticRegression,{},split_x_y_word2vec,0.12941453222703223
27,{},3,2,map@5,LogisticRegression,{},split_x_y_word2vec,0.056649831649831645
28,{},4,2,map@5,LogisticRegression,{},split_x_y_word2vec,0.07636303511303512
29,{},5,2,map@5,LogisticRegression,{},split_x_y_word2vec,0.08182444484527818
