,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.33101851851851855
1,"{'hidden_layer_sizes': 10, 'max_iter': 500}",1,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.14583333333333334
2,"{'hidden_layer_sizes': 10, 'max_iter': 500}",2,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.1388888888888889
3,"{'hidden_layer_sizes': 10, 'max_iter': 500}",3,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.2916666666666667
4,"{'hidden_layer_sizes': 10, 'max_iter': 500}",4,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.40046296296296297
5,"{'hidden_layer_sizes': 10, 'max_iter': 500}",5,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.5393518518518519
6,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.5717592592592593
7,"{'hidden_layer_sizes': 80, 'max_iter': 500}",1,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.3148148148148148
8,"{'hidden_layer_sizes': 80, 'max_iter': 500}",2,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.3449074074074074
9,"{'hidden_layer_sizes': 80, 'max_iter': 500}",3,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.4236111111111111
10,"{'hidden_layer_sizes': 80, 'max_iter': 500}",4,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.5879629629629629
11,"{'hidden_layer_sizes': 80, 'max_iter': 500}",5,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.6921296296296297
12,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0,2,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.4174823498084577
13,"{'hidden_layer_sizes': 80, 'max_iter': 500}",1,2,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.24261054192323342
14,"{'hidden_layer_sizes': 80, 'max_iter': 500}",2,2,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y,0.2542307708459135
