,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.3888888888888889
1,"{'hidden_layer_sizes': 80, 'max_iter': 500}",1,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.18287037037037038
2,"{'hidden_layer_sizes': 80, 'max_iter': 500}",2,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.1712962962962963
3,"{'hidden_layer_sizes': 80, 'max_iter': 500}",3,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.23842592592592593
4,"{'hidden_layer_sizes': 80, 'max_iter': 500}",4,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.40046296296296297
5,"{'hidden_layer_sizes': 80, 'max_iter': 500}",5,3,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.5347222222222222
6,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.5578703703703703
7,"{'hidden_layer_sizes': 80, 'max_iter': 500}",1,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.41898148148148145
8,"{'hidden_layer_sizes': 80, 'max_iter': 500}",2,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.4236111111111111
9,"{'hidden_layer_sizes': 80, 'max_iter': 500}",3,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.44907407407407407
10,"{'hidden_layer_sizes': 80, 'max_iter': 500}",4,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.6134259259259259
11,"{'hidden_layer_sizes': 80, 'max_iter': 500}",5,3,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.7037037037037037
12,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0,3,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.46681000106879417
13,"{'hidden_layer_sizes': 80, 'max_iter': 500}",1,3,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.2888841348154888
14,"{'hidden_layer_sizes': 80, 'max_iter': 500}",2,3,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.3038169731718568
15,"{'hidden_layer_sizes': 80, 'max_iter': 500}",3,3,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.35338359449433454
16,"{'hidden_layer_sizes': 80, 'max_iter': 500}",4,3,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.5061990717152234
17,"{'hidden_layer_sizes': 80, 'max_iter': 500}",5,3,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.615933405218298
18,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.5739230146105988
19,"{'hidden_layer_sizes': 80, 'max_iter': 500}",1,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.44239370908595876
20,"{'hidden_layer_sizes': 80, 'max_iter': 500}",2,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.42496384823264427
21,"{'hidden_layer_sizes': 80, 'max_iter': 500}",3,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.4780753791320407
22,"{'hidden_layer_sizes': 80, 'max_iter': 500}",4,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.5971231943822443
23,"{'hidden_layer_sizes': 80, 'max_iter': 500}",5,3,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.7007516067491937
24,"{'hidden_layer_sizes': 2, 'max_iter': 500}",0,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.32767556517556523
25,"{'hidden_layer_sizes': 2, 'max_iter': 500}",1,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.15185876623376623
26,"{'hidden_layer_sizes': 2, 'max_iter': 500}",2,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.12861872695206028
27,"{'hidden_layer_sizes': 2, 'max_iter': 500}",3,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.26033078803912135
28,"{'hidden_layer_sizes': 2, 'max_iter': 500}",4,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.4443112173320507
29,"{'hidden_layer_sizes': 2, 'max_iter': 500}",5,3,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding,0.5672943221901555
