,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.2708333333333333
1,"{'hidden_layer_sizes': 5, 'max_iter': 500}",1,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.04398148148148148
2,"{'hidden_layer_sizes': 5, 'max_iter': 500}",2,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.07175925925925926
3,"{'hidden_layer_sizes': 5, 'max_iter': 500}",3,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.032407407407407406
4,"{'hidden_layer_sizes': 5, 'max_iter': 500}",4,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.0763888888888889
5,"{'hidden_layer_sizes': 5, 'max_iter': 500}",5,2,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.44675925925925924
6,"{'hidden_layer_sizes': 80, 'max_iter': 500}",0,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.42824074074074076
7,"{'hidden_layer_sizes': 80, 'max_iter': 500}",1,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.09490740740740741
8,"{'hidden_layer_sizes': 80, 'max_iter': 500}",2,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.12731481481481483
9,"{'hidden_layer_sizes': 80, 'max_iter': 500}",3,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.14351851851851852
10,"{'hidden_layer_sizes': 80, 'max_iter': 500}",4,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.3726851851851852
11,"{'hidden_layer_sizes': 80, 'max_iter': 500}",5,2,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.5115740740740741
12,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0,2,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.3596216965071684
13,"{'hidden_layer_sizes': 5, 'max_iter': 500}",1,2,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.11495163518567775
14,"{'hidden_layer_sizes': 5, 'max_iter': 500}",2,2,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.13879898536955823
15,"{'hidden_layer_sizes': 5, 'max_iter': 500}",3,2,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.18557560473829984
16,"{'hidden_layer_sizes': 5, 'max_iter': 500}",4,2,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.10236059003064948
17,"{'hidden_layer_sizes': 5, 'max_iter': 500}",5,2,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.46030366446502635
18,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0,2,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.4956404561650268
19,"{'hidden_layer_sizes': 5, 'max_iter': 500}",1,2,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_split_with_one_hot_encoding_and_projection,0.29845198915218807
