,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0,1,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.4537037037037037
1,"{'hidden_layer_sizes': 20, 'max_iter': 500}",1,1,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.2175925925925926
2,"{'hidden_layer_sizes': 20, 'max_iter': 500}",2,1,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.2662037037037037
3,"{'hidden_layer_sizes': 20, 'max_iter': 500}",3,1,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.27546296296296297
4,"{'hidden_layer_sizes': 20, 'max_iter': 500}",4,1,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.4791666666666667
5,"{'hidden_layer_sizes': 20, 'max_iter': 500}",5,1,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.5694444444444444
6,"{'hidden_layer_sizes': 40, 'max_iter': 500}",0,1,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.6527777777777778
7,"{'hidden_layer_sizes': 40, 'max_iter': 500}",1,1,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.48148148148148145
8,"{'hidden_layer_sizes': 40, 'max_iter': 500}",2,1,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.46296296296296297
9,"{'hidden_layer_sizes': 40, 'max_iter': 500}",3,1,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.4976851851851852
10,"{'hidden_layer_sizes': 40, 'max_iter': 500}",4,1,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.6597222222222222
11,"{'hidden_layer_sizes': 40, 'max_iter': 500}",5,1,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.7615740740740741
12,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0,1,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.5485463341280449
13,"{'hidden_layer_sizes': 20, 'max_iter': 500}",1,1,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.36804838711629784
14,"{'hidden_layer_sizes': 20, 'max_iter': 500}",2,1,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.36037257912239695
15,"{'hidden_layer_sizes': 20, 'max_iter': 500}",3,1,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_bag_of_words,0.38200300645910806
