,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0,0,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.053117782909930716
1,"{'hidden_layer_sizes': 10, 'max_iter': 500}",1,0,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.011547344110854504
2,"{'hidden_layer_sizes': 10, 'max_iter': 500}",2,0,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.004618937644341801
3,"{'hidden_layer_sizes': 10, 'max_iter': 500}",3,0,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.009237875288683603
4,"{'hidden_layer_sizes': 10, 'max_iter': 500}",4,0,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.013856812933025405
5,"{'hidden_layer_sizes': 10, 'max_iter': 500}",5,0,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.04157043879907621
6,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0,0,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.17090069284064666
7,"{'hidden_layer_sizes': 10, 'max_iter': 500}",1,0,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.13163972286374134
8,"{'hidden_layer_sizes': 10, 'max_iter': 500}",2,0,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.17551963048498845
9,"{'hidden_layer_sizes': 10, 'max_iter': 500}",3,0,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.05542725173210162
10,"{'hidden_layer_sizes': 10, 'max_iter': 500}",4,0,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.10392609699769054
11,"{'hidden_layer_sizes': 10, 'max_iter': 500}",5,0,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.09930715935334873
12,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0,0,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.10154554822388356
13,"{'hidden_layer_sizes': 20, 'max_iter': 500}",1,0,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.06116989281164995
14,"{'hidden_layer_sizes': 20, 'max_iter': 500}",2,0,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.05273827545381225
15,"{'hidden_layer_sizes': 20, 'max_iter': 500}",3,0,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.056493244530818144
16,"{'hidden_layer_sizes': 20, 'max_iter': 500}",4,0,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.21914802152539872
17,"{'hidden_layer_sizes': 20, 'max_iter': 500}",5,0,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.13602519709289687
18,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0,0,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.2901279422586046
19,"{'hidden_layer_sizes': 20, 'max_iter': 500}",1,0,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.220672520287005
20,"{'hidden_layer_sizes': 20, 'max_iter': 500}",2,0,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.23489475598852758
21,"{'hidden_layer_sizes': 20, 'max_iter': 500}",3,0,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.26827842734086493
22,"{'hidden_layer_sizes': 20, 'max_iter': 500}",4,0,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_projection,0.287482297636728
