,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'hidden_layer_sizes': 20, 'max_iter': 500}",0,4,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.3333333333333333
1,"{'hidden_layer_sizes': 20, 'max_iter': 500}",1,4,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.1412037037037037
2,"{'hidden_layer_sizes': 20, 'max_iter': 500}",2,4,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.17824074074074073
3,"{'hidden_layer_sizes': 20, 'max_iter': 500}",3,4,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.21064814814814814
4,"{'hidden_layer_sizes': 20, 'max_iter': 500}",4,4,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.39351851851851855
5,"{'hidden_layer_sizes': 20, 'max_iter': 500}",5,4,accuracy,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.4305555555555556
6,"{'hidden_layer_sizes': 5, 'max_iter': 500}",0,4,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.5902777777777778
7,"{'hidden_layer_sizes': 5, 'max_iter': 500}",1,4,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.3287037037037037
8,"{'hidden_layer_sizes': 5, 'max_iter': 500}",2,4,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.3402777777777778
9,"{'hidden_layer_sizes': 5, 'max_iter': 500}",3,4,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.3425925925925926
10,"{'hidden_layer_sizes': 5, 'max_iter': 500}",4,4,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.5486111111111112
11,"{'hidden_layer_sizes': 5, 'max_iter': 500}",5,4,hit@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.6666666666666666
12,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0,4,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.4393834147951394
13,"{'hidden_layer_sizes': 10, 'max_iter': 500}",1,4,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.22813122716793716
14,"{'hidden_layer_sizes': 10, 'max_iter': 500}",2,4,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.2618156138047477
15,"{'hidden_layer_sizes': 10, 'max_iter': 500}",3,4,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.29076801578167816
16,"{'hidden_layer_sizes': 10, 'max_iter': 500}",4,4,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.49593981045972546
17,"{'hidden_layer_sizes': 10, 'max_iter': 500}",5,4,mrr,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.5444537090555038
18,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0,4,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.562439609466083
19,"{'hidden_layer_sizes': 10, 'max_iter': 500}",1,4,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.37508389336256537
20,"{'hidden_layer_sizes': 10, 'max_iter': 500}",2,4,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.41468511353596826
21,"{'hidden_layer_sizes': 10, 'max_iter': 500}",3,4,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.4269846985884292
22,"{'hidden_layer_sizes': 10, 'max_iter': 500}",4,4,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.5894666835767373
23,"{'hidden_layer_sizes': 10, 'max_iter': 500}",5,4,mdcg,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.634519333913083
24,"{'hidden_layer_sizes': 10, 'max_iter': 500}",0,4,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.3737299583132916
25,"{'hidden_layer_sizes': 10, 'max_iter': 500}",1,4,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.15442640692640694
26,"{'hidden_layer_sizes': 10, 'max_iter': 500}",2,4,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.12547884599967932
27,"{'hidden_layer_sizes': 10, 'max_iter': 500}",3,4,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.2271169532627866
28,"{'hidden_layer_sizes': 10, 'max_iter': 500}",4,4,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.4045249619207953
29,"{'hidden_layer_sizes': 10, 'max_iter': 500}",5,4,map@5,MLPClassifier,"{'hidden_layer_sizes': [2, 5, 10, 20, 40, 80], 'max_iter': [500]}",split_x_y_with_random_matrix,0.518997564935065
