,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'C': 1000.0, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}",0,1,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_normalized_function,0.3958333333333333
1,"{'C': 1000.0, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}",1,1,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_normalized_function,0.19212962962962962
2,"{'C': 1000.0, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}",2,1,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_normalized_function,0.22453703703703703
3,"{'C': 1000.0, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}",3,1,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_normalized_function,0.27314814814814814
4,"{'C': 1000.0, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}",4,1,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_normalized_function,0.4791666666666667
5,"{'C': 1000.0, 'gamma': 0.1, 'kernel': 'rbf', 'probability': True}",5,1,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_normalized_function,0.5324074074074074
6,"{'C': 10.0, 'gamma': 10.0, 'kernel': 'rbf', 'probability': True}",0,1,hit@5,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_normalized_function,0.6296296296296297
7,"{'C': 10.0, 'gamma': 10.0, 'kernel': 'rbf', 'probability': True}",1,1,hit@5,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_normalized_function,0.42824074074074076
8,"{'C': 10.0, 'gamma': 10.0, 'kernel': 'rbf', 'probability': True}",2,1,hit@5,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_normalized_function,0.4398148148148148
9,"{'C': 10.0, 'gamma': 10.0, 'kernel': 'rbf', 'probability': True}",3,1,hit@5,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_normalized_function,0.4583333333333333
