,best_params,column,i_outer,metric,model,params,split_method,value
0,"{'C': 1000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",0,3,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_with_projection,0.020833333333333332
1,"{'C': 1000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",1,3,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_with_projection,0.032407407407407406
2,"{'C': 1000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",2,3,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_with_projection,0.016203703703703703
3,"{'C': 1000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",3,3,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_with_projection,0.004629629629629629
4,"{'C': 1000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",4,3,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_with_projection,0.0
5,"{'C': 1000.0, 'gamma': 1e-05, 'kernel': 'rbf', 'probability': True}",5,3,accuracy,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_with_projection,0.4930555555555556
6,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",0,3,hit@5,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_with_projection,0.5671296296296297
7,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",1,3,hit@5,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_with_projection,0.27314814814814814
8,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",2,3,hit@5,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_with_projection,0.24537037037037038
9,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf', 'probability': True}",3,3,hit@5,SVC,"{'C': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0], 'gamma': [1e-05, 0.001, 0.1, 10.0, 1000.0, 100000.0, 'scale'], 'kernel': ['rbf'], 'probability': [True]}",split_x_y_with_projection,0.20601851851851852
