,fold,metric,missing,value,y
0,0,Hit@5,set(),0.6766743648960739,0
1,0,Hit@5,set(),0.4665127020785219,1
2,0,Hit@5,set(),0.48036951501154734,2
3,0,Hit@5,set(),0.581986143187067,3
4,0,Hit@5,set(),0.6628175519630485,4
5,0,Hit@5,set(),0.7967667436489607,5
6,0,Hit@5,{1},0.6420323325635104,0
7,0,Hit@5,{0},0.418013856812933,1
8,0,Hit@5,{2},0.6605080831408776,0
9,0,Hit@5,{0},0.47113163972286376,2
10,0,Hit@5,{3},0.6720554272517321,0
11,0,Hit@5,{0},0.5704387990762124,3
12,0,Hit@5,{4},0.6789838337182448,0
13,0,Hit@5,{0},0.651270207852194,4
14,0,Hit@5,{5},0.6789838337182448,0
15,0,Hit@5,{0},0.7990762124711316,5
16,0,Hit@5,{2},0.418013856812933,1
17,0,Hit@5,{1},0.44803695150115475,2
18,0,Hit@5,{3},0.47344110854503463,1
19,0,Hit@5,{1},0.5773672055427251,3
20,0,Hit@5,{4},0.4618937644341801,1
21,0,Hit@5,{1},0.6720554272517321,4
22,0,Hit@5,{5},0.46420323325635104,1
23,0,Hit@5,{1},0.7852193995381063,5
24,0,Hit@5,{3},0.4226327944572748,2
25,0,Hit@5,{2},0.5542725173210161,3
26,0,Hit@5,{4},0.48036951501154734,2
27,0,Hit@5,{2},0.6558891454965358,4
28,0,Hit@5,{5},0.46882217090069284,2
29,0,Hit@5,{2},0.8060046189376443,5
30,0,Hit@5,{4},0.5542725173210161,3
31,0,Hit@5,{3},0.6420323325635104,4
32,0,Hit@5,{5},0.5519630484988453,3
33,0,Hit@5,{3},0.7875288683602771,5
34,0,Hit@5,{5},0.6143187066974596,4
35,0,Hit@5,{4},0.7852193995381063,5
36,0,Hit@5,"{1, 2}",0.6166281755196305,0
37,0,Hit@5,"{0, 2}",0.3441108545034642,1
38,0,Hit@5,"{0, 1}",0.41570438799076215,2
39,0,Hit@5,"{1, 3}",0.605080831408776,0
40,0,Hit@5,"{0, 3}",0.4133949191685912,1
41,0,Hit@5,"{0, 1}",0.5773672055427251,3
42,0,Hit@5,"{1, 4}",0.6374133949191686,0
43,0,Hit@5,"{0, 4}",0.43187066974595845,1
44,0,Hit@5,"{0, 1}",0.651270207852194,4
45,0,Hit@5,"{1, 5}",0.6397228637413395,0
46,0,Hit@5,"{0, 5}",0.40415704387990764,1
47,0,Hit@5,"{0, 1}",0.7759815242494227,5
48,0,Hit@5,"{2, 3}",0.6397228637413395,0
49,0,Hit@5,"{0, 3}",0.3995381062355658,2
50,0,Hit@5,"{0, 2}",0.5381062355658198,3
51,0,Hit@5,"{2, 4}",0.6605080831408776,0
52,0,Hit@5,"{0, 4}",0.45727482678983833,2
53,0,Hit@5,"{0, 2}",0.6420323325635104,4
54,0,Hit@5,"{2, 5}",0.6651270207852193,0
55,0,Hit@5,"{0, 5}",0.44110854503464203,2
56,0,Hit@5,"{0, 2}",0.7852193995381063,5
57,0,Hit@5,"{3, 4}",0.6720554272517321,0
58,0,Hit@5,"{0, 4}",0.5265588914549654,3
59,0,Hit@5,"{0, 3}",0.6304849884526559,4
60,0,Hit@5,"{3, 5}",0.6651270207852193,0
61,0,Hit@5,"{0, 5}",0.5519630484988453,3
62,0,Hit@5,"{0, 3}",0.7736720554272517,5
63,0,Hit@5,"{4, 5}",0.6789838337182448,0
64,0,Hit@5,"{0, 5}",0.6073903002309469,4
65,0,Hit@5,"{0, 4}",0.7621247113163973,5
66,0,Hit@5,"{2, 3}",0.41570438799076215,1
67,0,Hit@5,"{1, 3}",0.394919168591224,2
68,0,Hit@5,"{1, 2}",0.5612009237875288,3
69,0,Hit@5,"{2, 4}",0.4110854503464203,1
