,fold,metric,missing,value,y
0,0,Accuracy,set(),0.43187066974595845,0
1,0,Hit@5,set(),0.5981524249422633,0
2,0,MDCG,set(),0.6131784815754655,0
3,0,MAP@5,set(),0.2868440758625516,0
4,0,Accuracy,set(),0.19630484988452657,1
5,0,Hit@5,set(),0.3787528868360277,1
6,0,MDCG,set(),0.4225573426992107,1
7,0,MAP@5,set(),0.14016996090899092,1
8,0,Accuracy,set(),0.23787528868360278,2
9,0,Hit@5,set(),0.3995381062355658,2
10,0,MDCG,set(),0.4479052783765286,2
11,0,MAP@5,set(),0.1428995331073853,2
12,0,Accuracy,set(),0.3302540415704388,3
13,0,Hit@5,set(),0.5311778290993071,3
14,0,MDCG,set(),0.5383481517274797,3
15,0,MAP@5,set(),0.3003040300730832,3
16,0,Accuracy,set(),0.42494226327944573,4
17,0,Hit@5,set(),0.6166281755196305,4
18,0,MDCG,set(),0.6131286418009578,4
19,0,MAP@5,set(),0.42765833858212615,4
20,0,Accuracy,set(),0.5958429561200924,5
21,0,Hit@5,set(),0.7598152424942263,5
22,0,MDCG,set(),0.7416324476244279,5
23,0,MAP@5,set(),0.5769325555122321,5
24,0,Accuracy,{1},0.40877598152424943,0
25,0,Accuracy,{0},0.15011547344110854,1
26,0,Hit@5,{1},0.6027713625866051,0
27,0,Hit@5,{0},0.3348729792147806,1
28,0,MDCG,{1},0.6027442083729693,0
29,0,MDCG,{0},0.3876771956986412,1
30,0,MAP@5,{1},0.2905854653429711,0
31,0,MAP@5,{0},0.1425278186017216,1
32,0,Accuracy,{2},0.4341801385681293,0
33,0,Accuracy,{0},0.18475750577367206,2
34,0,Hit@5,{2},0.5796766743648961,0
35,0,Hit@5,{0},0.3625866050808314,2
36,0,MDCG,{2},0.603429662752638,0
37,0,MDCG,{0},0.4121960208395881,2
38,0,MAP@5,{2},0.29687951771092647,0
39,0,MAP@5,{0},0.14433570278835867,2
40,0,Accuracy,{3},0.42494226327944573,0
41,0,Accuracy,{0},0.3371824480369515,3
42,0,Hit@5,{3},0.5935334872979214,0
43,0,Hit@5,{0},0.5103926096997691,3
44,0,MDCG,{3},0.6129673486147883,0
45,0,MDCG,{0},0.533101519801169,3
46,0,MAP@5,{3},0.2892567209541805,0
47,0,MAP@5,{0},0.2941796886716055,3
48,0,Accuracy,{4},0.44110854503464203,0
49,0,Accuracy,{0},0.42494226327944573,4
50,0,Hit@5,{4},0.5981524249422633,0
51,0,Hit@5,{0},0.5981524249422633,4
52,0,MDCG,{4},0.6162333585450587,0
53,0,MDCG,{0},0.6045577170227959,4
54,0,MAP@5,{4},0.27916109294862185,0
55,0,MAP@5,{0},0.4284692520720234,4
56,0,Accuracy,{5},0.42725173210161665,0
57,0,Accuracy,{0},0.5981524249422633,5
58,0,Hit@5,{5},0.5981524249422633,0
59,0,Hit@5,{0},0.7505773672055427,5
60,0,MDCG,{5},0.6093920646558548,0
61,0,MDCG,{0},0.7368215434348834,5
62,0,MAP@5,{5},0.30034047169151096,0
63,0,MAP@5,{0},0.5823168171320596,5
64,0,Accuracy,{2},0.17090069284064666,1
65,0,Accuracy,{1},0.18013856812933027,2
66,0,Hit@5,{2},0.3625866050808314,1
67,0,Hit@5,{1},0.3695150115473441,2
68,0,MDCG,{2},0.3988339441644319,1
69,0,MDCG,{1},0.40907712390499884,2
70,0,MAP@5,{2},0.14152299971006668,1
71,0,MAP@5,{1},0.13845905441748396,2
72,0,Accuracy,{3},0.18706697459584296,1
73,0,Accuracy,{1},0.3187066974595843,3
74,0,Hit@5,{3},0.3856812933025404,1
75,0,Hit@5,{1},0.5242494226327945,3
76,0,MDCG,{3},0.41234878284364634,1
77,0,MDCG,{1},0.532361718719574,3
78,0,MAP@5,{3},0.14639078012057227,1
79,0,MAP@5,{1},0.29904606940403705,3
80,0,Accuracy,{4},0.18013856812933027,1
81,0,Accuracy,{1},0.4226327944572748,4
82,0,Hit@5,{4},0.3787528868360277,1
83,0,Hit@5,{1},0.6027713625866051,4
84,0,MDCG,{4},0.4161676149112005,1
85,0,MDCG,{1},0.6087951906935258,4
86,0,MAP@5,{4},0.14608410065684893,1
87,0,MAP@5,{1},0.42797246633274344,4
88,0,Accuracy,{5},0.17551963048498845,1
89,0,Accuracy,{1},0.6004618937644342,5
90,0,Hit@5,{5},0.3787528868360277,1
91,0,Hit@5,{1},0.7528868360277137,5
92,0,MDCG,{5},0.4071154567335612,1
93,0,MDCG,{1},0.736765163299028,5
94,0,MAP@5,{5},0.1474771802485428,1
95,0,MAP@5,{1},0.5779145796466812,5
96,0,Accuracy,{3},0.20785219399538107,2
97,0,Accuracy,{2},0.3325635103926097,3
98,0,Hit@5,{3},0.36027713625866054,2
99,0,Hit@5,{2},0.4896073903002309,3
100,0,MDCG,{3},0.42155503742553135,2
101,0,MDCG,{2},0.520781976604236,3
102,0,MAP@5,{3},0.13607130360017194,2
103,0,MAP@5,{2},0.2962479629685173,3
104,0,Accuracy,{4},0.22401847575057737,2
105,0,Accuracy,{2},0.4226327944572748,4
106,0,Hit@5,{4},0.4064665127020785,2
107,0,Hit@5,{2},0.581986143187067,4
108,0,MDCG,{4},0.4387922547074358,2
109,0,MDCG,{2},0.6023597608997487,4
110,0,MAP@5,{4},0.1488111734301111,2
111,0,MAP@5,{2},0.4299159193385521,4
