evaluate,wall_time,step,measure/reconstruction/hamming,details/measure/top-1/evaluate-0/train,details/measure/top-1/evaluate-0/validation,details/measure/top-1/evaluate-1/train,details/measure/top-1/evaluate-1/validation,details/measure/top-1/evaluate-2/train,details/measure/top-1/evaluate-2/validation,details/measure/top-1/evaluate-3/train,details/measure/top-1/evaluate-3/validation,details/measure/top-1/evaluate-4/train,details/measure/top-1/evaluate-4/validation,details/measure/top-1/evaluate-5/train,details/measure/top-1/evaluate-5/validation,measure/evaluate/top-1/train,measure/evaluate/top-1/validation,details/measure/top-5/evaluate-0/train,details/measure/top-5/evaluate-0/validation,details/measure/top-5/evaluate-1/train,details/measure/top-5/evaluate-1/validation,details/measure/top-5/evaluate-2/train,details/measure/top-5/evaluate-2/validation,details/measure/top-5/evaluate-3/train,details/measure/top-5/evaluate-3/validation,details/measure/top-5/evaluate-4/train,details/measure/top-5/evaluate-4/validation,details/measure/top-5/evaluate-5/train,details/measure/top-5/evaluate-5/validation,measure/evaluate/top-5/train,measure/evaluate/top-5/validation,measure/evaluate/Free/mean_free_energy_train,measure/evaluate/Free/mean_free_energy_validation,measure/evaluate/Free/ratio_mean_free_energy,measure/evaluate/Free/mean_free_energy_gap,measure/evaluate/Free/mean_free_energy_noisy,measure/evaluate/reconstruction/RMSE_train,measure/evaluate/reconstruction/RMSE_validation,kfold,kfold-intern,batch_size,class,visible_size,hidden_size,regularization,learning_rate,sampling_method,momentum,path
0,1557084681.605313,1,3.0737526416778564,0.3000723123550415,0.3583815097808838,0.09616775065660477,0.09248554706573486,0.1265365183353424,0.08670520037412643,0.15762834250926971,0.20809248089790344,0.3181489408016205,0.33236995339393616,0.480115681886673,0.5028901696205139,0.2464449256658554,0.26348748803138733,0.5676066279411316,0.5722543597221375,0.23716558516025543,0.1994219720363617,0.2631959617137909,0.25144508481025696,0.33044105768203735,0.38728323578834534,0.5683296918869019,0.5346820950508118,0.6102675199508667,0.647398829460144,0.42950108647346497,0.4320809245109558,-57.85021209716797,-57.78628921508789,0.9988950490951538,14.069477081298828,-43.71681213378906,0.08792699873447418,0.08741986751556396,2,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084657.908597/events.out.tfevents.1557084664.paulo-notebook
1,1557084695.1800206,2,3.0267534255981445,0.3000723123550415,0.3583815097808838,0.09616775065660477,0.09248554706573486,0.1265365183353424,0.08670520037412643,0.08459869772195816,0.10982658714056015,0.3181489408016205,0.33236995339393616,0.480115681886673,0.5028901696205139,0.23427331447601318,0.24710983037948608,0.5827910304069519,0.5924855470657349,0.2537961006164551,0.25144508481025696,0.27548807859420776,0.21387283504009247,0.34562546014785767,0.41329479217529297,0.5668835639953613,0.5491329431533813,0.6312364339828491,0.6618497371673584,0.44263678789138794,0.4470134973526001,-33.16569900512695,-32.98102569580078,0.9944317936897278,14.10324478149414,-18.87778091430664,0.08781307190656662,0.08734751492738724,2,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084657.908597/events.out.tfevents.1557084664.paulo-notebook
2,1557084704.9511564,3,3.053506851196289,0.3000723123550415,0.3583815097808838,0.09616775065660477,0.09248554706573486,0.1265365183353424,0.08670520037412643,0.08459869772195816,0.10982658714056015,0.3181489408016205,0.33236995339393616,0.480115681886673,0.5028901696205139,0.23427331447601318,0.24710983037948608,0.5777295827865601,0.5780346989631653,0.27042660117149353,0.2861271798610687,0.27187272906303406,0.24566474556922913,0.34056398272514343,0.4017341136932373,0.5683296918869019,0.5346820950508118,0.6767895817756653,0.7109826803207397,0.45095202326774597,0.4595375657081604,-20.84821319580078,-20.562231063842773,0.9862826466560364,13.821771621704102,-6.74045991897583,0.08773616701364517,0.08754365891218185,2,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084657.908597/events.out.tfevents.1557084664.paulo-notebook
3,1557084714.6908724,4,3.0253074169158936,0.3000723123550415,0.3583815097808838,0.09616775065660477,0.09248554706573486,0.1265365183353424,0.08670520037412643,0.15762834250926971,0.20809248089790344,0.3181489408016205,0.33236995339393616,0.480115681886673,0.5028901696205139,0.2464449256658554,0.26348748803138733,0.5921908617019653,0.6098265647888184,0.26391902565956116,0.24855491518974304,0.28922632336616516,0.263005793094635,0.34562546014785767,0.4046242833137512,0.5683296918869019,0.5346820950508118,0.6767895817756653,0.7109826803207397,0.4560135006904602,0.461946040391922,-13.798234939575195,-13.493020057678223,0.9778801798820496,14.12687873840332,0.633858859539032,0.0876266285777092,0.08745553344488144,2,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084657.908597/events.out.tfevents.1557084664.paulo-notebook
4,1557084724.8654666,5,2.9855387210845947,0.3000723123550415,0.3583815097808838,0.09616775065660477,0.09248554706573486,0.14099782705307007,0.09826589375734329,0.15762834250926971,0.20809248089790344,0.3181489408016205,0.33236995339393616,0.480115681886673,0.5028901696205139,0.24885514378547668,0.2654142677783966,0.571945071220398,0.5722543597221375,0.2610267400741577,0.24566474556922913,0.28344178199768066,0.24277456104755402,0.34562546014785767,0.41329479217529297,0.5683296918869019,0.5346820950508118,0.6717281341552734,0.6965317726135254,0.45034947991371155,0.45086705684661865,-9.329809188842773,-9.06318473815918,0.9714223146438599,14.653621673583984,5.5904364585876465,0.08745981752872467,0.08707725256681442,2,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084657.908597/events.out.tfevents.1557084664.paulo-notebook
5,1557084733.7715383,6,3.043383836746216,0.3000723123550415,0.3583815097808838,0.09616775065660477,0.09248554706573486,0.1265365183353424,0.08670520037412643,0.19016630947589874,0.2832369804382324,0.3181489408016205,0.33236995339393616,0.480115681886673,0.5028901696205139,0.2518679201602936,0.27601155638694763,0.5921908617019653,0.6098265647888184,0.2631959617137909,0.26878613233566284,0.2827187180519104,0.24277456104755402,0.34779465198516846,0.40751445293426514,0.560375988483429,0.5144508481025696,0.6717281341552734,0.6965317726135254,0.4530007243156433,0.4566473960876465,-5.78333044052124,-5.571727752685547,0.9634116291999817,14.492124557495117,8.92039680480957,0.08733449876308441,0.08688867837190628,2,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084657.908597/events.out.tfevents.1557084664.paulo-notebook
6,1557084743.1519036,7,3.008676767349243,0.3000723123550415,0.3583815097808838,0.09616775065660477,0.09248554706573486,0.1265365183353424,0.08670520037412643,0.15762834250926971,0.20809248089790344,0.3181489408016205,0.33236995339393616,0.480115681886673,0.5028901696205139,0.2464449256658554,0.26348748803138733,0.5871294140815735,0.5924855470657349,0.30513375997543335,0.3150289058685303,0.28778019547462463,0.23410405218601227,0.3449023962020874,0.41040462255477905,0.5683296918869019,0.5346820950508118,0.6767895817756653,0.7109826803207397,0.46167752146720886,0.46628132462501526,-2.1125805377960205,-1.8102346658706665,0.85688316822052,14.522934913635254,12.712699890136719,0.08688906580209732,0.08651698380708694,2,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084657.908597/events.out.tfevents.1557084664.paulo-notebook
7,1557084753.9146478,8,2.9110629558563232,0.33405640721321106,0.3410404622554779,0.1229211837053299,0.11849711090326309,0.1265365183353424,0.08670520037412643,0.22342732548713684,0.2976878583431244,0.4266088306903839,0.3988439440727234,0.480115681886673,0.5028901696205139,0.28561100363731384,0.2909441292285919,0.588575541973114,0.6098265647888184,0.3080260157585144,0.2803468108177185,0.28778019547462463,0.24855491518974304,0.356471449136734,0.4046242833137512,0.56326824426651,0.5317919254302979,0.6717281341552734,0.6965317726135254,0.4626415967941284,0.461946040391922,-3.7186381816864014,-3.204763174057007,0.8618109822273254,15.772841453552246,12.56807804107666,0.08339708298444748,0.08330848067998886,2,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084657.908597/events.out.tfevents.1557084664.paulo-notebook
8,1557084765.8540459,9,2.9710774421691895,0.36587128043174744,0.39306357502937317,0.12509039044380188,0.11271676421165466,0.1561822146177292,0.14450867474079132,0.23065799474716187,0.3005780279636383,0.4309472143650055,0.41040462255477905,0.5148228406906128,0.5346820950508118,0.3039286434650421,0.3159922957420349,0.5979754328727722,0.6040462255477905,0.34996384382247925,0.31213873624801636,0.32610267400741577,0.2774566411972046,0.4034707248210907,0.4364161789417267,0.5849602222442627,0.5346820950508118,0.6782357096672058,0.6878612637519836,0.4901180863380432,0.4754335284233093,-1.583391547203064,-1.1188178062438965,0.706595778465271,16.732513427734375,15.61369514465332,0.08143195509910583,0.0811898410320282,2,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084657.908597/events.out.tfevents.1557084664.paulo-notebook
9,1557084776.2474442,10,2.9710774421691895,0.37744033336639404,0.41040462255477905,0.12147505581378937,0.11560693383216858,0.17281273007392883,0.161849707365036,0.2378886491060257,0.31213873624801636,0.4345625340938568,0.41040462255477905,0.5133767127990723,0.5462427735328674,0.30959266424179077,0.3261078894138336,0.6037599444389343,0.6069363951683044,0.3550253212451935,0.32947975397109985,0.3528560996055603,0.3352601230144501,0.4266088306903839,0.4566473960876465,0.5900216698646545,0.5635837912559509,0.712942898273468,0.7225433588027954,0.5068691372871399,0.502408504486084,-0.3852505087852478,0.011928092688322067,-0.030961912125349045,16.659711837768555,16.671640396118164,0.08046604692935944,0.08014730364084244,2,0,10,RBMCF,702,1000,NoRegularization-0.0,Adam-0.05-0.9-0.999-1e-08,CD-1,0,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=1000/regularization=NoRegularization-0.0/learning_rate=Adam-0.05-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1557084657.908597/events.out.tfevents.1557084664.paulo-notebook
