evaluate,wall_time,step,measure/reconstruction/error,measure/activation/mean,measure/activation/std,measure/parameters/W/mean,measure/parameters/b_h/mean,measure/parameters/b_v/mean,measure/reconstruction_1/hamming,details/measure/top-1/evaluate-0/train,details/measure/top-1/evaluate-0/validation,details/measure/top-1/evaluate-1/train,details/measure/top-1/evaluate-1/validation,details/measure/top-1/evaluate-2/train,details/measure/top-1/evaluate-2/validation,details/measure/top-1/evaluate-3/train,details/measure/top-1/evaluate-3/validation,details/measure/top-1/evaluate-4/train,details/measure/top-1/evaluate-4/validation,details/measure/top-1/evaluate-5/train,details/measure/top-1/evaluate-5/validation,measure/evaluate/top-1/train,measure/evaluate/top-1/validation,details/measure/top-5/evaluate-0/train,details/measure/top-5/evaluate-0/validation,details/measure/top-5/evaluate-1/train,details/measure/top-5/evaluate-1/validation,details/measure/top-5/evaluate-2/train,details/measure/top-5/evaluate-2/validation,details/measure/top-5/evaluate-3/train,details/measure/top-5/evaluate-3/validation,details/measure/top-5/evaluate-4/train,details/measure/top-5/evaluate-4/validation,details/measure/top-5/evaluate-5/train,details/measure/top-5/evaluate-5/validation,measure/evaluate/top-5/train,measure/evaluate/top-5/validation,measure/evaluate/Free/mean_free_energy_train,measure/evaluate/Free/mean_free_energy_validation,measure/evaluate/Free/ratio_mean_free_energy,measure/evaluate/Free/mean_free_energy_gap,measure/evaluate/Free/mean_free_energy_noisy,measure/evaluate/reconstruction/RMSE_train,measure/evaluate/reconstruction/RMSE_validation,kfold,kfold-intern,batch_size,class,visible_size,hidden_size,regularization,learning_rate,sampling_method,momentum,path
0,1553233408.0346525,1,0.13053585588932037,6.091434955596924,6.147889137268066,-0.00010675028170226142,0.0007154371705837548,0.0036472519859671593,4.554976940155029,0.2951388955116272,0.3625866174697876,0.03587963059544563,0.027713626623153687,0.030092593282461166,0.01154734380543232,0.1684027761220932,0.19630484282970428,0.32175925374031067,0.32332563400268555,0.4878472089767456,0.49884527921676636,0.22318673133850098,0.23672054708003998,0.4982638955116272,0.5150115489959717,0.2256944477558136,0.21709007024765015,0.13946759700775146,0.1501154750585556,0.21932870149612427,0.2471131682395935,0.48495370149612427,0.46420323848724365,0.5619212985038757,0.568129301071167,0.354938268661499,0.3602771461009979,-348.1357116699219,-348.1528625488281,1.0000492334365845,1.492340087890625,-346.6605224609375,0.09178197383880615,0.0917762741446495,0,0,64,RBMCF,702,500,NoRegularization-0.0,Adam-0.001-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=Adam-0.001-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553233398.0850723/events.out.tfevents.1553233401.paulo-notebook
1,1553233480.4795513,101,0.12398022413253784,6.018518447875977,5.283220291137695,-0.002389333676546812,0.7032849192619324,-0.13210318982601166,3.044560194015503,0.2951388955116272,0.3625866174697876,0.09664351493120193,0.09468822181224823,0.12210648506879807,0.09006928652524948,0.1684027761220932,0.19630484282970428,0.32175925374031067,0.32332563400268555,0.4878472089767456,0.49884527921676636,0.2486496865749359,0.26096996665000916,0.5856481194496155,0.6120092272758484,0.27025464177131653,0.27020785212516785,0.2916666567325592,0.2725173234939575,0.35821759700775146,0.3995380997657776,0.5642361044883728,0.545034646987915,0.6730324029922485,0.6928406357765198,0.45717594027519226,0.4653579592704773,-564.20947265625,-564.0806274414062,0.9997716546058655,15.10894775390625,-548.9716796875,0.08751075714826584,0.08723977208137512,0,0,64,RBMCF,702,500,NoRegularization-0.0,Adam-0.001-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=Adam-0.001-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553233398.0850723/events.out.tfevents.1553233401.paulo-notebook
2,1553233551.5604274,201,0.12430892139673233,6.07118034362793,5.321901798248291,-0.0027780975215137005,0.7673513889312744,-0.15415669977664948,3.0092592239379883,0.2951388955116272,0.3625866174697876,0.09664351493120193,0.09468822181224823,0.12210648506879807,0.09006928652524948,0.1684027761220932,0.19630484282970428,0.32175925374031067,0.32332563400268555,0.4878472089767456,0.49884527921676636,0.2486496865749359,0.26096996665000916,0.5856481194496155,0.6120092272758484,0.27025464177131653,0.27020785212516785,0.2916666567325592,0.2725173234939575,0.35821759700775146,0.3995380997657776,0.5642361044883728,0.545034646987915,0.6753472089767456,0.6997690796852112,0.457561731338501,0.4665127098560333,-586.115478515625,-585.931884765625,0.9996867775917053,16.2862548828125,-569.6456298828125,0.0875089094042778,0.08723437786102295,0,0,64,RBMCF,702,500,NoRegularization-0.0,Adam-0.001-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=Adam-0.001-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553233398.0850723/events.out.tfevents.1553233401.paulo-notebook
3,1553233623.7849479,301,0.12357062101364136,5.947338104248047,5.335768699645996,-0.003051835810765624,0.7893169522285461,-0.17025072872638702,3.016782522201538,0.2951388955116272,0.3625866174697876,0.09664351493120193,0.09468822181224823,0.12210648506879807,0.09006928652524948,0.1684027761220932,0.19630484282970428,0.32175925374031067,0.32332563400268555,0.4878472089767456,0.49884527921676636,0.2486496865749359,0.26096996665000916,0.5856481194496155,0.6120092272758484,0.27025464177131653,0.27020785212516785,0.2916666567325592,0.2725173234939575,0.35821759700775146,0.3995380997657776,0.5642361044883728,0.5288683772087097,0.6753472089767456,0.6997690796852112,0.457561731338501,0.4638183116912842,-593.820556640625,-593.593994140625,0.9996184706687927,17.0460205078125,-576.5479736328125,0.08750569075345993,0.08723051846027374,0,0,64,RBMCF,702,500,NoRegularization-0.0,Adam-0.001-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=Adam-0.001-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553233398.0850723/events.out.tfevents.1553233401.paulo-notebook
4,1553233694.863219,401,0.12415961921215057,6.049768447875977,5.104004859924316,-0.0033192364498972893,0.7848984599113464,-0.18625973165035248,3.045717477798462,0.2951388955116272,0.3625866174697876,0.09664351493120193,0.09468822181224823,0.12210648506879807,0.09006928652524948,0.1684027761220932,0.19630484282970428,0.32175925374031067,0.32332563400268555,0.4878472089767456,0.49884527921676636,0.2486496865749359,0.26096996665000916,0.5856481194496155,0.6120092272758484,0.27025464177131653,0.27020785212516785,0.2916666567325592,0.2725173234939575,0.35821759700775146,0.3995380997657776,0.5717592835426331,0.5288683772087097,0.6753472089767456,0.6997690796852112,0.4588155746459961,0.4638183116912842,-592.15966796875,-591.91259765625,0.9995827674865723,17.4783935546875,-574.4342041015625,0.08750264346599579,0.08723698556423187,0,0,64,RBMCF,702,500,NoRegularization-0.0,Adam-0.001-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=Adam-0.001-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553233398.0850723/events.out.tfevents.1553233401.paulo-notebook
5,1553233766.0465717,501,0.12303577363491058,5.88368034362793,5.202325820922852,-0.0035450076684355736,0.7866064310073853,-0.19968532025814056,3.0387730598449707,0.2951388955116272,0.3625866174697876,0.09664351493120193,0.09468822181224823,0.12210648506879807,0.09006928652524948,0.1684027761220932,0.19630484282970428,0.32175925374031067,0.32332563400268555,0.4878472089767456,0.49884527921676636,0.2486496865749359,0.26096996665000916,0.5856481194496155,0.6120092272758484,0.27025464177131653,0.27020785212516785,0.2916666567325592,0.2725173234939575,0.35821759700775146,0.3995380997657776,0.5642361044883728,0.545034646987915,0.6753472089767456,0.6997690796852112,0.457561731338501,0.4665127098560333,-592.8345336914062,-592.5733642578125,0.9995594620704651,17.9739990234375,-574.599365234375,0.08749590069055557,0.08720144629478455,0,0,64,RBMCF,702,500,NoRegularization-0.0,Adam-0.001-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=Adam-0.001-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553233398.0850723/events.out.tfevents.1553233401.paulo-notebook
6,1553233838.5038462,601,0.12377392500638962,6.033565044403076,5.419008731842041,-0.0036925929598510265,0.7801647782325745,-0.2080983817577362,2.9895832538604736,0.2951388955116272,0.3625866174697876,0.09664351493120193,0.09468822181224823,0.12210648506879807,0.09006928652524948,0.1684027761220932,0.19630484282970428,0.32175925374031067,0.32332563400268555,0.4878472089767456,0.49884527921676636,0.2486496865749359,0.26096996665000916,0.5856481194496155,0.6120092272758484,0.27025464177131653,0.27020785212516785,0.2916666567325592,0.2725173234939575,0.35821759700775146,0.3995380997657776,0.5642361044883728,0.545034646987915,0.6753472089767456,0.6997690796852112,0.457561731338501,0.4665127098560333,-590.7134399414062,-590.4301147460938,0.9995203614234924,18.26409912109375,-572.166015625,0.08748720586299896,0.08721365034580231,0,0,64,RBMCF,702,500,NoRegularization-0.0,Adam-0.001-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=Adam-0.001-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553233398.0850723/events.out.tfevents.1553233401.paulo-notebook
7,1553233909.3866742,701,0.12408656626939774,6.049768447875977,5.055394649505615,-0.003768429858610034,0.7695485949516296,-0.21191264688968658,3.017939805984497,0.2951388955116272,0.3625866174697876,0.09664351493120193,0.09468822181224823,0.12210648506879807,0.09006928652524948,0.1684027761220932,0.19630484282970428,0.32175925374031067,0.32332563400268555,0.4878472089767456,0.49884527921676636,0.2486496865749359,0.26096996665000916,0.5856481194496155,0.6120092272758484,0.27025464177131653,0.27020785212516785,0.2916666567325592,0.2725173234939575,0.35821759700775146,0.3995380997657776,0.5642361044883728,0.5288683772087097,0.6753472089767456,0.6997690796852112,0.457561731338501,0.4638183116912842,-587.3910522460938,-587.1146240234375,0.9995294213294983,18.50347900390625,-568.6111450195312,0.08747982978820801,0.0871943011879921,0,0,64,RBMCF,702,500,NoRegularization-0.0,Adam-0.001-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=Adam-0.001-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553233398.0850723/events.out.tfevents.1553233401.paulo-notebook
8,1553233980.2549288,801,0.12336364388465881,5.948495388031006,5.296535968780518,-0.0038998133968561888,0.7557697892189026,-0.21926634013652802,2.9947917461395264,0.2951388955116272,0.3625866174697876,0.09664351493120193,0.09468822181224823,0.12210648506879807,0.09006928652524948,0.1684027761220932,0.19630484282970428,0.32175925374031067,0.32332563400268555,0.4878472089767456,0.49884527921676636,0.2486496865749359,0.26096996665000916,0.5856481194496155,0.6120092272758484,0.27025464177131653,0.27020785212516785,0.2916666567325592,0.2725173234939575,0.35821759700775146,0.3995380997657776,0.5642361044883728,0.545034646987915,0.6753472089767456,0.6997690796852112,0.457561731338501,0.4665127098560333,-582.7105712890625,-582.4063720703125,0.9994779825210571,18.67889404296875,-563.7274780273438,0.08747056126594543,0.08719839155673981,0,0,64,RBMCF,702,500,NoRegularization-0.0,Adam-0.001-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=Adam-0.001-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553233398.0850723/events.out.tfevents.1553233401.paulo-notebook
9,1553234051.3108726,901,0.1240234300494194,6.009838104248047,5.032888889312744,-0.003982133697718382,0.740828812122345,-0.2234710454940796,3.020254611968994,0.2951388955116272,0.3625866174697876,0.09664351493120193,0.09468822181224823,0.12210648506879807,0.09006928652524948,0.1684027761220932,0.19630484282970428,0.32175925374031067,0.32332563400268555,0.4878472089767456,0.49884527921676636,0.2486496865749359,0.26096996665000916,0.5856481194496155,0.6120092272758484,0.27025464177131653,0.27020785212516785,0.2916666567325592,0.2725173234939575,0.35821759700775146,0.3995380997657776,0.5642361044883728,0.5288683772087097,0.6753472089767456,0.6997690796852112,0.457561731338501,0.4638183116912842,-577.7874145507812,-577.4668579101562,0.9994451999664307,18.7919921875,-558.6748657226562,0.08745735883712769,0.08718834817409515,0,0,64,RBMCF,702,500,NoRegularization-0.0,Adam-0.001-0.9-0.999-1e-08,CD-1,0,kfold=0/kfold-intern=0/batch_size=64/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=Adam-0.001-0.9-0.999-1e-08/sampling_method=CD-1/momentum=0/1553233398.0850723/events.out.tfevents.1553233401.paulo-notebook
