evaluate,wall_time,step,measure/reconstruction/error,measure/activation/mean,measure/activation/std,measure/parameters/W/mean,measure/parameters/b_h/mean,measure/parameters/b_v/mean,measure/reconstruction_1/hamming,details/measure/top-1/evaluate-0/train,details/measure/top-1/evaluate-0/validation,details/measure/top-1/evaluate-1/train,details/measure/top-1/evaluate-1/validation,details/measure/top-1/evaluate-2/train,details/measure/top-1/evaluate-2/validation,details/measure/top-1/evaluate-3/train,details/measure/top-1/evaluate-3/validation,details/measure/top-1/evaluate-4/train,details/measure/top-1/evaluate-4/validation,details/measure/top-1/evaluate-5/train,details/measure/top-1/evaluate-5/validation,measure/evaluate/top-1/RMSE_train_y_predicted,measure/evaluate/top-1/RMSE_validation_y_predicted,measure/evaluate/top-1/train,measure/evaluate/top-1/validation,details/measure/top-5/evaluate-0/train,details/measure/top-5/evaluate-0/validation,details/measure/top-5/evaluate-1/train,details/measure/top-5/evaluate-1/validation,details/measure/top-5/evaluate-2/train,details/measure/top-5/evaluate-2/validation,details/measure/top-5/evaluate-3/train,details/measure/top-5/evaluate-3/validation,details/measure/top-5/evaluate-4/train,details/measure/top-5/evaluate-4/validation,details/measure/top-5/evaluate-5/train,details/measure/top-5/evaluate-5/validation,measure/evaluate/top-5/RMSE_train_y_predicted,measure/evaluate/top-5/RMSE_validation_y_predicted,measure/evaluate/top-5/train,measure/evaluate/top-5/validation,details/measure/expectation/normalized/evaluate-0/train,details/measure/expectation/normalized/evaluate-0/validation,details/measure/expectation/normalized/evaluate-1/train,details/measure/expectation/normalized/evaluate-1/validation,details/measure/expectation/normalized/evaluate-2/train,details/measure/expectation/normalized/evaluate-2/validation,details/measure/expectation/normalized/evaluate-3/train,details/measure/expectation/normalized/evaluate-3/validation,details/measure/expectation/normalized/evaluate-4/train,details/measure/expectation/normalized/evaluate-4/validation,details/measure/expectation/normalized/evaluate-5/train,details/measure/expectation/normalized/evaluate-5/validation,measure/evaluate/expectation/normalized/RMSE_train_y_predicted,measure/evaluate/expectation/normalized/RMSE_validation_y_predicted,measure/evaluate/expectation/normalized/train,measure/evaluate/expectation/normalized/validation,measure/evaluate/Free/mean_free_energy_train_,measure/evaluate/Free/mean_free_energy_validation,measure/evaluate/Free/diff_mean_free_energy_,measure/evaluate/reconstruction/RMSE_train,measure/evaluate/reconstruction/RMSE_validation,kfold,kfold-intern,batch_size,class,visible_size,hidden_size,regularization,learning_rate,sampling_method,momentum,path
0,1550458715.2735913,1,0.12243592739105225,5.907175540924072,5.125680923461914,-0.037394460290670395,-4.3599162101745605,-0.0011744442163035274,3.815009832382202,0.3311389088630676,0.3552631437778473,0.09743252396583557,0.1184210553765297,0.09940750151872635,0.09210526198148727,0.14878208935260773,0.15263158082962036,0.2626728117465973,0.2526315748691559,0.4832126498222351,0.4552631676197052,0.11368289589881897,0.11369959264993668,0.2371077537536621,0.23771929740905762,0.5918367505073547,0.6131578683853149,0.31204739212989807,0.28947368264198303,0.27518102526664734,0.28684210777282715,0.3502304255962372,0.3552631437778473,0.47070440649986267,0.46578946709632874,0.699144184589386,0.6947368383407593,0.20869089663028717,0.20864510536193848,0.44985735416412354,0.45087718963623047,0.0026333113200962543,0.0026315790601074696,0.0006583278300240636,0.0026315790601074696,0.0,0.0,0.025016458705067635,0.015789473429322243,0.01974983513355255,0.015789473429322243,0.009874917566776276,0.0026315790601074696,0.13010980188846588,0.13031259179115295,0.009655474685132504,0.00657894741743803,-7702.73681640625,-2027.2425537109375,-5675.494140625,0.08574097603559494,0.08574165403842926,2,0,10,RBMCF,702,500,NoRegularization-0.0,ConstantLearningRate-0.2,CD-1,1,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=ConstantLearningRate-0.2/sampling_method=CD-1/momentum=1/1550458705.0008924/events.out.tfevents.1550458708.paulo-notebook
1,1550458717.4772828,2,0.12066140025854111,5.980908393859863,5.227418422698975,-0.037773169577121735,-4.415275573730469,-0.00041472623706795275,3.472679376602173,0.33772218227386475,0.34210526943206787,0.10401579737663269,0.09736841917037964,0.11981566995382309,0.102631576359272,0.2211981564760208,0.21578946709632874,0.2633311450481415,0.2684210538864136,0.4924292266368866,0.4710526168346405,0.1122608482837677,0.11280251294374466,0.25641870498657227,0.2495613992214203,0.6102699041366577,0.6342105269432068,0.3107307553291321,0.3078947365283966,0.28308096528053284,0.2973684072494507,0.36142200231552124,0.371052622795105,0.49506253004074097,0.49210527539253235,0.6971691846847534,0.7026315927505493,0.20828969776630402,0.2079612761735916,0.4596225619316101,0.4675438702106476,0.0013166556600481272,0.0,0.0013166556600481272,0.0026315790601074696,0.009874917566776276,0.0026315790601074696,0.02369980327785015,0.01315789483487606,0.02369980327785015,0.018421052023768425,0.0157998688519001,0.015789473429322243,0.12991516292095184,0.13016854226589203,0.012617950327694416,0.008771929889917374,-8289.33203125,-2178.8564453125,-6110.4755859375,0.08454617857933044,0.08464579284191132,2,0,10,RBMCF,702,500,NoRegularization-0.0,ConstantLearningRate-0.2,CD-1,1,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=ConstantLearningRate-0.2/sampling_method=CD-1/momentum=1/1550458705.0008924/events.out.tfevents.1550458708.paulo-notebook
2,1550458719.7078257,3,0.11976036429405212,5.926267147064209,4.789821624755859,-0.03903475031256676,-4.44628381729126,-0.0009054095135070384,3.337063789367676,0.32323896884918213,0.3263157904148102,0.10533245652914047,0.10000000149011612,0.13364055752754211,0.12105263024568558,0.2211981564760208,0.2184210568666458,0.271231085062027,0.25,0.49637919664382935,0.4710526168346405,0.11211627721786499,0.11297097057104111,0.25850340723991394,0.24780701100826263,0.6109282374382019,0.628947377204895,0.3245556354522705,0.3078947365283966,0.29624754190444946,0.33421051502227783,0.3745885491371155,0.3815789520740509,0.5128374099731445,0.5236842036247253,0.6965108513832092,0.6947368383407593,0.20789968967437744,0.2075214833021164,0.4692780375480652,0.47850877046585083,0.0013166556600481272,0.007894736714661121,0.0006583278300240636,0.0,0.004608294926583767,0.007894736714661121,0.016458196565508842,0.02368421107530594,0.02304147556424141,0.015789473429322243,0.009874917566776276,0.007894736714661121,0.13013185560703278,0.13005322217941284,0.009326310828328133,0.010526316240429878,-8283.580078125,-2168.016357421875,-6115.5634765625,0.08417642116546631,0.08428908884525299,2,0,10,RBMCF,702,500,NoRegularization-0.0,ConstantLearningRate-0.2,CD-1,1,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=ConstantLearningRate-0.2/sampling_method=CD-1/momentum=1/1550458705.0008924/events.out.tfevents.1550458708.paulo-notebook
3,1550458721.9028716,4,0.11914408206939697,5.915075778961182,5.400952339172363,-0.039909545332193375,-4.456355571746826,0.00033230692497454584,3.301514148712158,0.3192889988422394,0.3131578862667084,0.10204081982374191,0.10526315867900848,0.13298222422599792,0.12368421256542206,0.222514808177948,0.21578946709632874,0.29624754190444946,0.3105263113975525,0.5227122902870178,0.49210527539253235,0.11146605014801025,0.11198997497558594,0.26596444845199585,0.2600877285003662,0.6109282374382019,0.6368421316146851,0.32126399874687195,0.3131578862667084,0.30546411871910095,0.31578946113586426,0.3785385191440582,0.38947367668151855,0.5246872901916504,0.5421052575111389,0.7103357315063477,0.7052631378173828,0.20765256881713867,0.2072967290878296,0.4752029776573181,0.4837719202041626,0.0026333113200962543,0.0026315790601074696,0.0013166556600481272,0.0,0.005924950819462538,0.0,0.021066490560770035,0.005263158120214939,0.025016458705067635,0.007894736714661121,0.008558262139558792,0.01315789483487606,0.13003788888454437,0.13042797148227692,0.01075268816202879,0.004824561532586813,-8270.451171875,-2162.17724609375,-6108.27392578125,0.0836198702454567,0.08360878378152847,2,0,10,RBMCF,702,500,NoRegularization-0.0,ConstantLearningRate-0.2,CD-1,1,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=ConstantLearningRate-0.2/sampling_method=CD-1/momentum=1/1550458705.0008924/events.out.tfevents.1550458708.paulo-notebook
4,1550458724.0715559,5,0.1187538206577301,5.968400478363037,5.378855228424072,-0.04043912887573242,-4.44334077835083,0.00047791344695724547,3.1889400482177734,0.31994733214378357,0.31578946113586426,0.10664910823106766,0.10789473354816437,0.1421988159418106,0.12368421256542206,0.222514808177948,0.21578946709632874,0.2764976918697357,0.25789472460746765,0.5194206833839417,0.4868420958518982,0.11160271614789963,0.11268316954374313,0.26453807950019836,0.25131580233573914,0.6194865107536316,0.6315789222717285,0.3238973021507263,0.3131578862667084,0.30678078532218933,0.3105263113975525,0.3903883993625641,0.3973684310913086,0.5181040167808533,0.5157894492149353,0.7123107314109802,0.6868420839309692,0.20751740038394928,0.20763032138347626,0.4784946143627167,0.47587719559669495,0.0019749836064875126,0.007894736714661121,0.0013166556600481272,0.0,0.0065832785330712795,0.0026315790601074696,0.010533245280385017,0.015789473429322243,0.025674786418676376,0.01315789483487606,0.02369980327785015,0.018421052023768425,0.12997998297214508,0.13011103868484497,0.011630458757281303,0.009649123065173626,-8805.1533203125,-2303.97216796875,-6501.18115234375,0.08329847455024719,0.0832851231098175,2,0,10,RBMCF,702,500,NoRegularization-0.0,ConstantLearningRate-0.2,CD-1,1,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=ConstantLearningRate-0.2/sampling_method=CD-1/momentum=1/1550458705.0008924/events.out.tfevents.1550458708.paulo-notebook
5,1550458726.266926,6,0.1187538206577301,5.968400478363037,4.995708465576172,-0.04191096872091293,-4.485102653503418,-0.002152669709175825,3.1948649883270264,0.31994733214378357,0.31842106580734253,0.10994075238704681,0.11315789818763733,0.12179065495729446,0.12894736230373383,0.222514808177948,0.21578946709632874,0.3094140887260437,0.31842106580734253,0.523370623588562,0.47894737124443054,0.11131465435028076,0.11186414211988449,0.2678297162055969,0.2622807025909424,0.6188281774520874,0.6315789222717285,0.333772212266922,0.3131578862667084,0.3107307553291321,0.3131578862667084,0.394996702671051,0.40526315569877625,0.5306122303009033,0.5368421077728271,0.7142857313156128,0.6947368383407593,0.20729805529117584,0.20735704898834229,0.4838709533214569,0.48245614767074585,0.0019749836064875126,0.0,0.0006583278300240636,0.0,0.0032916392665356398,0.005263158120214939,0.0065832785330712795,0.005263158120214939,0.03818301483988762,0.02368421107530594,0.0138248847797513,0.021052632480859756,0.13003642857074738,0.1301390677690506,0.01075268816202879,0.009210526011884212,-8502.54296875,-2226.93408203125,-6275.60888671875,0.08308126777410507,0.08300594240427017,2,0,10,RBMCF,702,500,NoRegularization-0.0,ConstantLearningRate-0.2,CD-1,1,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=ConstantLearningRate-0.2/sampling_method=CD-1/momentum=1/1550458705.0008924/events.out.tfevents.1550458708.paulo-notebook
6,1550458728.4484396,7,0.11851271986961365,6.0638580322265625,5.153920650482178,-0.04249489679932594,-4.458398818969727,-0.0030295338947325945,3.1645820140838623,0.33772218227386475,0.3368421196937561,0.13759051263332367,0.12631578743457794,0.1342988759279251,0.13947369158267975,0.222514808177948,0.21578946709632874,0.30480578541755676,0.2947368323802948,0.5141540765762329,0.4684210419654846,0.11081555485725403,0.1118113100528717,0.27518102526664734,0.2635965049266815,0.6194865107536316,0.6315789222717285,0.350888729095459,0.33421051502227783,0.3100724220275879,0.33421051502227783,0.3976300060749054,0.39210525155067444,0.5220539569854736,0.5421052575111389,0.7004608511924744,0.6815789341926575,0.20732438564300537,0.20722323656082153,0.4834320843219757,0.48596492409706116,0.0006583278300240636,0.0,0.0026333113200962543,0.0,0.0026333113200962543,0.005263158120214939,0.010533245280385017,0.015789473429322243,0.018433179706335068,0.01315789483487606,0.012508229352533817,0.010526316240429878,0.13022594153881073,0.13025514781475067,0.00789993442595005,0.007456140127032995,-9164.005859375,-2361.60009765625,-6802.40576171875,0.08227656781673431,0.08233559876680374,2,0,10,RBMCF,702,500,NoRegularization-0.0,ConstantLearningRate-0.2,CD-1,1,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=ConstantLearningRate-0.2/sampling_method=CD-1/momentum=1/1550458705.0008924/events.out.tfevents.1550458708.paulo-notebook
7,1550458730.6465378,8,0.11783421784639359,6.0250163078308105,4.838086128234863,-0.04347210004925728,-4.471898078918457,-0.005372046492993832,3.1711652278900146,0.36208030581474304,0.3842105269432068,0.14088216423988342,0.12631578743457794,0.1356155425310135,0.1342105269432068,0.22448979318141937,0.21315789222717285,0.3107307553291321,0.2973684072494507,0.5332455635070801,0.4815789461135864,0.11002888530492783,0.11102785915136337,0.2845073640346527,0.2728070318698883,0.623436450958252,0.6394736766815186,0.3554970324039459,0.34473684430122375,0.3245556354522705,0.31578946113586426,0.4028966426849365,0.40789473056793213,0.5306122303009033,0.5210526585578918,0.7195523381233215,0.6815789341926575,0.20693694055080414,0.20725901424884796,0.4927583932876587,0.48508772253990173,0.0,0.0,0.0006583278300240636,0.0,0.0065832785330712795,0.005263158120214939,0.008558262139558792,0.01315789483487606,0.011849901638925076,0.0,0.01974983513355255,0.028947368264198303,0.13022588193416595,0.13022513687610626,0.00789993442595005,0.007894736714661121,-9365.6748046875,-2392.071533203125,-6973.603515625,0.08151888102293015,0.08157400786876678,2,0,10,RBMCF,702,500,NoRegularization-0.0,ConstantLearningRate-0.2,CD-1,1,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=ConstantLearningRate-0.2/sampling_method=CD-1/momentum=1/1550458705.0008924/events.out.tfevents.1550458708.paulo-notebook
8,1550458732.832563,9,0.11668658256530762,6.001975059509277,5.031595706939697,-0.044776249676942825,-4.498173713684082,-0.008246378041803837,3.1119158267974854,0.33838051557540894,0.34473684430122375,0.14154048264026642,0.12894736230373383,0.13693219423294067,0.12894736230373383,0.22514812648296356,0.21315789222717285,0.30480578541755676,0.3052631616592407,0.526662290096283,0.4894736707210541,0.11050011962652206,0.11137541383504868,0.2789115607738495,0.2684210538864136,0.6287031173706055,0.6368421316146851,0.3489137589931488,0.3131578862667084,0.3258722722530365,0.3052631616592407,0.40750494599342346,0.41842105984687805,0.5345622301101685,0.5552631616592407,0.7037524580955505,0.6736842393875122,0.20699022710323334,0.2073056846857071,0.4915514588356018,0.4837719202041626,0.005266622640192509,0.005263158120214939,0.005266622640192509,0.0,0.007241606246680021,0.005263158120214939,0.020408162847161293,0.018421052023768425,0.016458196565508842,0.015789473429322243,0.012508229352533817,0.018421052023768425,0.13000984489917755,0.13005326688289642,0.01119157299399376,0.010526316240429878,-9627.962890625,-2450.371337890625,-7177.591796875,0.08144140988588333,0.0814346894621849,2,0,10,RBMCF,702,500,NoRegularization-0.0,ConstantLearningRate-0.2,CD-1,1,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=ConstantLearningRate-0.2/sampling_method=CD-1/momentum=1/1550458705.0008924/events.out.tfevents.1550458708.paulo-notebook
9,1550458735.162589,10,0.11613878607749939,5.984858512878418,4.85757303237915,-0.04521182179450989,-4.4726972579956055,-0.0077652172185480595,3.069124460220337,0.3173140287399292,0.31578946113586426,0.14944042265415192,0.12631578743457794,0.1428571492433548,0.13684210181236267,0.24423962831497192,0.2342105209827423,0.299539178609848,0.30000001192092896,0.5253456234931946,0.4868420958518982,0.11046912521123886,0.11154755204916,0.2797893285751343,0.2666666805744171,0.6352863907814026,0.6315789222717285,0.36998024582862854,0.3210526406764984,0.33706384897232056,0.3236842155456543,0.4134298861026764,0.3973684310913086,0.5470704436302185,0.550000011920929,0.7188940048217773,0.6815789341926575,0.2064916491508484,0.2072906643152237,0.5036208033561707,0.4842105209827423,0.0019749836064875126,0.007894736714661121,0.005924950819462538,0.0,0.0032916392665356398,0.010526316240429878,0.010533245280385017,0.015789473429322243,0.017116524279117584,0.007894736714661121,0.016458196565508842,0.010526316240429878,0.13013960421085358,0.13016901910305023,0.009216589853167534,0.008771929889917374,-9945.865234375,-2509.9794921875,-7435.8857421875,0.08061981946229935,0.08062941581010818,2,0,10,RBMCF,702,500,NoRegularization-0.0,ConstantLearningRate-0.2,CD-1,1,kfold=2/kfold-intern=0/batch_size=10/class=RBMCF/visible_size=702/hidden_size=500/regularization=NoRegularization-0.0/learning_rate=ConstantLearningRate-0.2/sampling_method=CD-1/momentum=1/1550458705.0008924/events.out.tfevents.1550458708.paulo-notebook
