kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,KNNModel,0.979454517364502,0.9307342171669006,0.9450985789299011,0.9703205823898315,0.9717193841934204,0.9858285784721375,True,train,MRR
0,,KNNModel,0.4163874089717865,0.18858817219734192,0.17606401443481445,0.2263128161430359,0.31120505928993225,0.5188556909561157,True,test,MRR
1,,KNNModel,0.9812936782836914,0.9333027601242065,0.946661651134491,0.973483681678772,0.9685174822807312,0.9883449077606201,True,train,MRR
1,,KNNModel,0.38355326652526855,0.2251470535993576,0.2107374519109726,0.2752021551132202,0.36474767327308655,0.5443856716156006,True,test,MRR
2,,KNNModel,0.9807268977165222,0.9378936290740967,0.9489697217941284,0.9716469049453735,0.969115138053894,0.9877839684486389,True,train,MRR
2,,KNNModel,0.41303330659866333,0.2547757923603058,0.21119289100170135,0.25240808725357056,0.3833271563053131,0.5066306591033936,True,test,MRR
3,,KNNModel,0.9807320237159729,0.9312494397163391,0.9440744519233704,0.9715499877929688,0.9705723524093628,0.9896583557128906,True,train,MRR
3,,KNNModel,0.4064130187034607,0.2671698331832886,0.21271079778671265,0.2740243077278137,0.3544256091117859,0.5010535717010498,True,test,MRR
4,,KNNModel,0.9826188683509827,0.935779869556427,0.945975124835968,0.9729713797569275,0.969245970249176,0.9884458184242249,True,train,MRR
4,,KNNModel,0.39254048466682434,0.261411190032959,0.20439599454402924,0.3051982522010803,0.37199312448501587,0.531677782535553,True,test,MRR
